Geography,Sex (3),Detailed Mother,Total - Knowledge of Official Languages,  English only,  French only,  Both English and French,  Neither English nor French
Alberta (00048)   20000,Total - Sex,Total - Detailed Mother Tongue,2519180,2318935,1940,167155,31150
Alberta (00048)   20000,Total - Sex,Single responses,2489005,2294165,1895,162160,30790
Alberta (00048)   20000,Total - Sex,  English,2031115,1931740,20,98715,640
Alberta (00048)   20000,Total - Sex,  French,53715,4145,1670,47890,10
Alberta (00048)   20000,Total - Sex,  Non-official languages,404180,358285,210,15550,30140
Alberta (00048)   20000,Total - Sex,    Aboriginal languages,22665,21310,10,260,1090
Alberta (00048)   20000,Total - Sex,      Algonquian languages,17815,16810,0,190,805
Alberta (00048)   20000,Total - Sex,        Algonquin,-,-,-,-,-
Alberta (00048)   20000,Total - Sex,        Attikamek,-,-,-,-,-
Alberta (00048)   20000,Total - Sex,        Blackfoot,3370,3335,0,0,25
Alberta (00048)   20000,Total - Sex,        Cree,13800,12860,10,175,755
Alberta (00048)   20000,Total - Sex,        Malecite,0,0,0,0,0
Alberta (00048)   20000,Total - Sex,        Micmac,15,10,0,0,0
Alberta (00048)   20000,Total - Sex,        Montagnais-Naskapi,0,0,0,0,0
Alberta (00048)   20000,Total - Sex,        Ojibway,580,550,0,10,25
Alberta (00048)   20000,Total - Sex,        Oji-Cree,-,-,-,-,-
Alberta (00048)   20000,Total - Sex,"        Algonquian languages, n.i.e.",50,55,0,0,0
Alberta (00048)   20000,Total - Sex,      Athapaskan languages,2050,1875,0,40,135
Alberta (00048)   20000,Total - Sex,        Carrier,0,0,0,0,0
Alberta (00048)   20000,Total - Sex,        Chilcotin,10,10,0,0,0
Alberta (00048)   20000,Total - Sex,        Chipewyan,750,710,0,15,20
Alberta (00048)   20000,Total - Sex,        Dene,-,-,-,-,-
Alberta (00048)   20000,Total - Sex,        Dogrib,30,25,0,0,0
Alberta (00048)   20000,Total - Sex,        Kutchin-Gwich'in (Loucheux),15,10,0,0,0
Alberta (00048)   20000,Total - Sex,        North Slave (Hare),0,0,0,0,0
Alberta (00048)   20000,Total - Sex,        South Slave,905,785,0,15,105
Alberta (00048)   20000,Total - Sex,"        Athapaskan languages, n.i.e.",330,325,0,0,0
Alberta (00048)   20000,Total - Sex,      Haida,0,0,0,0,0
Alberta (00048)   20000,Total - Sex,      Iroquoian languages,15,15,0,0,0
Alberta (00048)   20000,Total - Sex,        Mohawk,10,10,0,0,0
Alberta (00048)   20000,Total - Sex,"        Iroquoian languages, n.i.e.",0,10,0,0,0
Alberta (00048)   20000,Total - Sex,      Kutenai,0,0,0,0,0
Alberta (00048)   20000,Total - Sex,      Salish languages,10,10,0,0,0
Alberta (00048)   20000,Total - Sex,        Shuswap,-,-,-,-,-
Alberta (00048)   20000,Total - Sex,        Thompson (Ntlakapamux),-,-,-,-,-
Alberta (00048)   20000,Total - Sex,"        Salish languages, n.i.e.",15,10,0,0,0
Alberta (00048)   20000,Total - Sex,      Siouan languages,2525,2355,0,20,145
Alberta (00048)   20000,Total - Sex,        Dakota/Sioux,2525,2360,0,20,150
Alberta (00048)   20000,Total - Sex,      Tlingit,0,0,0,0,0
Alberta (00048)   20000,Total - Sex,      Tsimshian languages,0,0,0,0,0
Alberta (00048)   20000,Total - Sex,        Tsimshian,0,0,0,0,0
Alberta (00048)   20000,Total - Sex,        Gitksan,-,-,-,-,-
Alberta (00048)   20000,Total - Sex,        Nishga,-,-,-,-,-
Alberta (00048)   20000,Total - Sex,      Wakashan languages,0,0,0,0,0
Alberta (00048)   20000,Total - Sex,        Nootka,-,-,-,-,-
Alberta (00048)   20000,Total - Sex,"        Wakashan languages, n.i.e.",0,0,0,0,0
Alberta (00048)   20000,Total - Sex,      Inuktitut (Eskimo),120,115,0,0,0
Alberta (00048)   20000,Total - Sex,"      Aboriginal languages, n.i.e.",130,120,0,0,0
Alberta (00048)   20000,Total - Sex,    Romance languages,37250,30985,65,3010,3195
Alberta (00048)   20000,Total - Sex,      Italian,14465,12490,10,1265,700
Alberta (00048)   20000,Total - Sex,      Portuguese,5545,4410,25,505,600
Alberta (00048)   20000,Total - Sex,      Romanian,1585,1355,10,175,40
Alberta (00048)   20000,Total - Sex,      Spanish,15575,12690,15,1015,1850
Alberta (00048)   20000,Total - Sex,"      Romance languages, n.i.e.",75,30,0,50,0
Alberta (00048)   20000,Total - Sex,    Germanic languages,111110,104910,10,4295,1895
Alberta (00048)   20000,Total - Sex,      German,80035,75795,10,2480,1740
Alberta (00048)   20000,Total - Sex,      Yiddish,410,375,0,30,0
Alberta (00048)   20000,Total - Sex,      Netherlandic languages,21475,19865,0,1510,100
Alberta (00048)   20000,Total - Sex,        Dutch,20635,19185,0,1350,100
Alberta (00048)   20000,Total - Sex,        Flemish,410,280,0,135,0
Alberta (00048)   20000,Total - Sex,        Frisian,425,400,0,25,0
Alberta (00048)   20000,Total - Sex,      Scandinavian languages,8985,8695,0,240,55
Alberta (00048)   20000,Total - Sex,        Danish,4330,4210,0,100,20
Alberta (00048)   20000,Total - Sex,        Icelandic,250,245,0,0,0
Alberta (00048)   20000,Total - Sex,        Norwegian,2550,2445,0,80,25
Alberta (00048)   20000,Total - Sex,        Swedish,1855,1785,0,60,15
Alberta (00048)   20000,Total - Sex,"      Germanic languages, n.i.e.",210,170,0,35,0
Alberta (00048)   20000,Total - Sex,    Celtic languages,550,510,0,40,0
Alberta (00048)   20000,Total - Sex,      Gaelic languages,260,230,0,30,0
Alberta (00048)   20000,Total - Sex,      Welsh,290,275,0,15,0
Alberta (00048)   20000,Total - Sex,"      Celtic languages, n.i.e.",0,0,0,0,0
Alberta (00048)   20000,Total - Sex,    Slavic languages,77895,72830,10,2615,2440
Alberta (00048)   20000,Total - Sex,      Bulgarian,255,235,0,15,10
Alberta (00048)   20000,Total - Sex,      Byelorussian,30,30,0,0,0
Alberta (00048)   20000,Total - Sex,      Croatian,2110,1945,0,140,25
Alberta (00048)   20000,Total - Sex,      Czech,3855,3550,0,245,65
Alberta (00048)   20000,Total - Sex,      Macedonian,10,10,0,0,0
Alberta (00048)   20000,Total - Sex,      Polish,19950,17470,0,1055,1420
