Geography,Sex (3),Detailed Mother,Total - Knowledge of Official Languages,  English only,  French only,  Both English and French,  Neither English nor French
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,Total - Detailed Mother Tongue,3247505,2976330,1140,207170,62865
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,Single responses,3213220,2947930,1080,201750,62460
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,  English,2545495,2413445,15,131090,935
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,  French,48840,5055,775,42995,10
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,  Non-official languages,618890,529430,290,27660,61515
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,    Aboriginal languages,11870,11630,0,105,130
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,      Algonquian languages,1745,1680,0,45,10
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,        Algonquin,-,-,-,-,-
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,        Attikamek,-,-,-,-,-
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,        Blackfoot,55,55,0,0,0
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,        Cree,1375,1335,0,35,0
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,        Malecite,0,0,0,0,0
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,        Micmac,30,25,0,0,0
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,        Montagnais-Naskapi,0,0,0,0,0
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,        Ojibway,275,260,0,10,10
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,        Oji-Cree,-,-,-,-,-
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,"        Algonquian languages, n.i.e.",0,0,0,0,0
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,      Athapaskan languages,3170,3085,0,0,80
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,        Carrier,1715,1670,0,10,35
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,        Chilcotin,840,805,0,0,35
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,        Chipewyan,15,10,0,0,0
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,        Dene,-,-,-,-,-
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,        Dogrib,0,0,0,0,0
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,        Kutchin-Gwich'in (Loucheux),15,10,0,0,0
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,        North Slave (Hare),0,0,0,0,0
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,        South Slave,125,120,0,0,0
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,"        Athapaskan languages, n.i.e.",465,455,0,0,0
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,      Haida,90,85,0,0,10
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,      Iroquoian languages,35,35,0,0,0
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,        Mohawk,0,10,0,0,0
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,"        Iroquoian languages, n.i.e.",30,30,0,0,0
