Geography,Sex (3),Detailed Mother,Total - Knowledge of Official Languages,  English only,  French only,  Both English and French,  Neither English nor French
Manitoba (00046)   20000,Total - Sex,Total - Detailed Mother Tongue,1079390,965105,1905,98800,13590
Manitoba (00046)   20000,Total - Sex,Single responses,1060855,949545,1895,95965,13455
Manitoba (00046)   20000,Total - Sex,  English,784210,738320,30,45585,270
Manitoba (00046)   20000,Total - Sex,  French,49130,2915,1810,44395,10
Manitoba (00046)   20000,Total - Sex,  Non-official languages,227515,208305,55,5980,13170
Manitoba (00046)   20000,Total - Sex,    Aboriginal languages,31440,28175,0,130,3135
Manitoba (00046)   20000,Total - Sex,      Algonquian languages,29825,26690,0,120,3015
Manitoba (00046)   20000,Total - Sex,        Algonquin,-,-,-,-,-
Manitoba (00046)   20000,Total - Sex,        Attikamek,-,-,-,-,-
Manitoba (00046)   20000,Total - Sex,        Blackfoot,0,0,0,0,0
Manitoba (00046)   20000,Total - Sex,        Cree,21415,18740,0,55,2625
Manitoba (00046)   20000,Total - Sex,        Malecite,0,0,0,0,0
Manitoba (00046)   20000,Total - Sex,        Micmac,10,0,0,0,10
Manitoba (00046)   20000,Total - Sex,        Montagnais-Naskapi,0,0,0,0,0
Manitoba (00046)   20000,Total - Sex,        Ojibway,8385,7935,10,60,385
Manitoba (00046)   20000,Total - Sex,        Oji-Cree,-,-,-,-,-
Manitoba (00046)   20000,Total - Sex,"        Algonquian languages, n.i.e.",15,15,0,0,0
Manitoba (00046)   20000,Total - Sex,      Athapaskan languages,680,580,0,10,90
Manitoba (00046)   20000,Total - Sex,        Carrier,0,0,0,0,0
Manitoba (00046)   20000,Total - Sex,        Chilcotin,0,0,0,0,0
Manitoba (00046)   20000,Total - Sex,        Chipewyan,35,30,0,0,10
Manitoba (00046)   20000,Total - Sex,        Dene,-,-,-,-,-
Manitoba (00046)   20000,Total - Sex,        Dogrib,0,0,0,0,10
Manitoba (00046)   20000,Total - Sex,        Kutchin-Gwich'in (Loucheux),0,0,0,0,0
Manitoba (00046)   20000,Total - Sex,        North Slave (Hare),0,0,0,0,0
Manitoba (00046)   20000,Total - Sex,        South Slave,0,0,0,0,0
Manitoba (00046)   20000,Total - Sex,"        Athapaskan languages, n.i.e.",645,545,0,10,90
Manitoba (00046)   20000,Total - Sex,      Haida,0,0,0,0,0
Manitoba (00046)   20000,Total - Sex,      Iroquoian languages,0,0,0,0,0
Manitoba (00046)   20000,Total - Sex,        Mohawk,10,0,0,0,0
Manitoba (00046)   20000,Total - Sex,"        Iroquoian languages, n.i.e.",0,0,0,0,0
Manitoba (00046)   20000,Total - Sex,      Kutenai,0,0,0,0,0
Manitoba (00046)   20000,Total - Sex,      Salish languages,0,0,0,0,0
Manitoba (00046)   20000,Total - Sex,        Shuswap,-,-,-,-,-
Manitoba (00046)   20000,Total - Sex,        Thompson (Ntlakapamux),-,-,-,-,-
Manitoba (00046)   20000,Total - Sex,"        Salish languages, n.i.e.",0,0,0,0,0
Manitoba (00046)   20000,Total - Sex,      Siouan languages,650,625,0,0,20
Manitoba (00046)   20000,Total - Sex,        Dakota/Sioux,650,625,0,0,20
Manitoba (00046)   20000,Total - Sex,      Tlingit,0,0,0,0,0
Manitoba (00046)   20000,Total - Sex,      Tsimshian languages,0,0,0,0,0
Manitoba (00046)   20000,Total - Sex,        Tsimshian,0,0,0,0,0
Manitoba (00046)   20000,Total - Sex,        Gitksan,-,-,-,-,-
Manitoba (00046)   20000,Total - Sex,        Nishga,-,-,-,-,-
Manitoba (00046)   20000,Total - Sex,      Wakashan languages,0,0,0,0,0
Manitoba (00046)   20000,Total - Sex,        Nootka,-,-,-,-,-
Manitoba (00046)   20000,Total - Sex,"        Wakashan languages, n.i.e.",0,0,0,0,0
Manitoba (00046)   20000,Total - Sex,      Inuktitut (Eskimo),125,120,0,0,10
Manitoba (00046)   20000,Total - Sex,"      Aboriginal languages, n.i.e.",160,150,0,0,0
Manitoba (00046)   20000,Total - Sex,    Romance languages,17395,14130,15,1220,2030
Manitoba (00046)   20000,Total - Sex,      Italian,5220,4455,10,415,340
Manitoba (00046)   20000,Total - Sex,      Portuguese,7245,5700,10,565,970
Manitoba (00046)   20000,Total - Sex,      Romanian,600,510,0,60,35
Manitoba (00046)   20000,Total - Sex,      Spanish,4325,3465,0,175,685
Manitoba (00046)   20000,Total - Sex,"      Romance languages, n.i.e.",0,0,0,0,0
Manitoba (00046)   20000,Total - Sex,    Germanic languages,79165,75535,15,1640,1980
Manitoba (00046)   20000,Total - Sex,      German,67975,64925,15,1065,1975
Manitoba (00046)   20000,Total - Sex,      Yiddish,1590,1520,0,70,0
Manitoba (00046)   20000,Total - Sex,      Netherlandic languages,5855,5435,0,420,0
Manitoba (00046)   20000,Total - Sex,        Dutch,4920,4675,0,245,0
Manitoba (00046)   20000,Total - Sex,        Flemish,885,710,0,170,0
Manitoba (00046)   20000,Total - Sex,        Frisian,50,50,0,0,0
Manitoba (00046)   20000,Total - Sex,      Scandinavian languages,3685,3600,0,85,0
Manitoba (00046)   20000,Total - Sex,        Danish,670,645,0,25,0
