Geography,Sex (3),Detailed Mother,Total - Knowledge of Official Languages,  English only,  French only,  Both English and French,  Neither English nor French
New Brunswick - Nouveau-Brunswick (00013)   20000,Total - Sex,Total - Detailed Mother Tongue,716495,414955,89505,211525,515
New Brunswick - Nouveau-Brunswick (00013)   20000,Total - Sex,Single responses,711765,414160,89415,207695,500
New Brunswick - Nouveau-Brunswick (00013)   20000,Total - Sex,  English,460535,404875,305,55340,10
New Brunswick - Nouveau-Brunswick (00013)   20000,Total - Sex,  French,241570,1575,89010,150950,30
New Brunswick - Nouveau-Brunswick (00013)   20000,Total - Sex,  Non-official languages,9665,7710,100,1405,450
New Brunswick - Nouveau-Brunswick (00013)   20000,Total - Sex,    Aboriginal languages,1720,1640,0,40,45
New Brunswick - Nouveau-Brunswick (00013)   20000,Total - Sex,      Algonquian languages,1605,1530,0,30,45
New Brunswick - Nouveau-Brunswick (00013)   20000,Total - Sex,        Algonquin,-,-,-,-,-
New Brunswick - Nouveau-Brunswick (00013)   20000,Total - Sex,        Attikamek,-,-,-,-,-
New Brunswick - Nouveau-Brunswick (00013)   20000,Total - Sex,        Blackfoot,0,0,0,0,0
New Brunswick - Nouveau-Brunswick (00013)   20000,Total - Sex,        Cree,10,0,0,0,0
New Brunswick - Nouveau-Brunswick (00013)   20000,Total - Sex,        Malecite,210,210,0,0,0
New Brunswick - Nouveau-Brunswick (00013)   20000,Total - Sex,        Micmac,1395,1320,0,30,45
New Brunswick - Nouveau-Brunswick (00013)   20000,Total - Sex,        Montagnais-Naskapi,0,0,0,0,0
New Brunswick - Nouveau-Brunswick (00013)   20000,Total - Sex,        Ojibway,0,10,0,0,0
New Brunswick - Nouveau-Brunswick (00013)   20000,Total - Sex,        Oji-Cree,-,-,-,-,-
New Brunswick - Nouveau-Brunswick (00013)   20000,Total - Sex,"        Algonquian languages, n.i.e.",0,0,0,0,0
New Brunswick - Nouveau-Brunswick (00013)   20000,Total - Sex,      Athapaskan languages,0,0,0,0,0
New Brunswick - Nouveau-Brunswick (00013)   20000,Total - Sex,        Carrier,0,0,0,0,0
New Brunswick - Nouveau-Brunswick (00013)   20000,Total - Sex,        Chilcotin,0,0,0,0,0
New Brunswick - Nouveau-Brunswick (00013)   20000,Total - Sex,        Chipewyan,0,0,0,0,0
New Brunswick - Nouveau-Brunswick (00013)   20000,Total - Sex,        Dene,-,-,-,-,-
New Brunswick - Nouveau-Brunswick (00013)   20000,Total - Sex,        Dogrib,0,0,0,0,0
New Brunswick - Nouveau-Brunswick (00013)   20000,Total - Sex,        Kutchin-Gwich'in (Loucheux),0,0,0,0,0
New Brunswick - Nouveau-Brunswick (00013)   20000,Total - Sex,        North Slave (Hare),0,0,0,0,0
New Brunswick - Nouveau-Brunswick (00013)   20000,Total - Sex,        South Slave,0,0,0,0,0
New Brunswick - Nouveau-Brunswick (00013)   20000,Total - Sex,"        Athapaskan languages, n.i.e.",0,0,0,0,0
New Brunswick - Nouveau-Brunswick (00013)   20000,Total - Sex,      Haida,0,0,0,0,0
New Brunswick - Nouveau-Brunswick (00013)   20000,Total - Sex,      Iroquoian languages,0,0,0,0,0
New Brunswick - Nouveau-Brunswick (00013)   20000,Total - Sex,        Mohawk,0,0,0,10,0
New Brunswick - Nouveau-Brunswick (00013)   20000,Total - Sex,"        Iroquoian languages, n.i.e.",0,0,0,0,0
New Brunswick - Nouveau-Brunswick (00013)   20000,Total - Sex,      Kutenai,0,0,0,0,0
New Brunswick - Nouveau-Brunswick (00013)   20000,Total - Sex,      Salish languages,0,0,0,0,0
New Brunswick - Nouveau-Brunswick (00013)   20000,Total - Sex,        Shuswap,-,-,-,-,-
New Brunswick - Nouveau-Brunswick (00013)   20000,Total - Sex,        Thompson (Ntlakapamux),-,-,-,-,-
New Brunswick - Nouveau-Brunswick (00013)   20000,Total - Sex,"        Salish languages, n.i.e.",0,0,0,0,0
New Brunswick - Nouveau-Brunswick (00013)   20000,Total - Sex,      Siouan languages,0,0,0,0,0
New Brunswick - Nouveau-Brunswick (00013)   20000,Total - Sex,        Dakota/Sioux,0,0,0,0,0
New Brunswick - Nouveau-Brunswick (00013)   20000,Total - Sex,      Tlingit,0,0,0,0,0
