Geography,Sex (3),Detailed Mother,Total - Knowledge of Official Languages,  English only,  French only,  Both English and French,  Neither English nor French
Ontario (00035)   20000,Total - Sex,Total - Detailed Mother Tongue,9977055,8593635,54245,1136245,192930
Ontario (00035)   20000,Total - Sex,Single responses,9846715,8500230,53530,1101310,191650
Ontario (00035)   20000,Total - Sex,  English,7380370,6820710,440,555275,3950
Ontario (00035)   20000,Total - Sex,  French,485395,15125,49350,420815,105
Ontario (00035)   20000,Total - Sex,  Non-official languages,1980955,1664395,3745,125220,187595
Ontario (00035)   20000,Total - Sex,    Aboriginal languages,21375,18315,30,255,2780
Ontario (00035)   20000,Total - Sex,      Algonquian languages,19865,16885,20,205,2750
Ontario (00035)   20000,Total - Sex,        Algonquin,-,-,-,-,-
Ontario (00035)   20000,Total - Sex,        Attikamek,-,-,-,-,-
Ontario (00035)   20000,Total - Sex,        Blackfoot,0,0,0,0,0
Ontario (00035)   20000,Total - Sex,        Cree,4395,3900,15,60,415
Ontario (00035)   20000,Total - Sex,        Malecite,15,15,0,0,0
Ontario (00035)   20000,Total - Sex,        Micmac,110,85,0,20,0
Ontario (00035)   20000,Total - Sex,        Montagnais-Naskapi,25,20,0,10,0
Ontario (00035)   20000,Total - Sex,        Ojibway,11335,9745,0,95,1490
Ontario (00035)   20000,Total - Sex,        Oji-Cree,-,-,-,-,-
Ontario (00035)   20000,Total - Sex,"        Algonquian languages, n.i.e.",3985,3120,0,15,845
Ontario (00035)   20000,Total - Sex,      Athapaskan languages,155,150,0,0,10
Ontario (00035)   20000,Total - Sex,        Carrier,10,10,0,0,0
Ontario (00035)   20000,Total - Sex,        Chilcotin,0,0,0,0,0
Ontario (00035)   20000,Total - Sex,        Chipewyan,110,105,0,10,0
Ontario (00035)   20000,Total - Sex,        Dene,-,-,-,-,-
Ontario (00035)   20000,Total - Sex,        Dogrib,10,10,0,0,0
Ontario (00035)   20000,Total - Sex,        Kutchin-Gwich'in (Loucheux),0,0,0,0,0
Ontario (00035)   20000,Total - Sex,        North Slave (Hare),0,0,0,0,0
Ontario (00035)   20000,Total - Sex,        South Slave,10,10,0,0,0
