Geography,Sex (3),Detailed Mother,Total - Knowledge of Official Languages,  English only,  French only,  Both English and French,  Neither English nor French
Yukon Territory - Territoire du Yukon (00060)   00000,Total - Sex,Total - Detailed Mother Tongue,27655,25035,25,2570,30
Yukon Territory - Territoire du Yukon (00060)   00000,Total - Sex,Single responses,27360,24800,25,2500,30
Yukon Territory - Territoire du Yukon (00060)   00000,Total - Sex,  English,24410,22820,0,1585,0
Yukon Territory - Territoire du Yukon (00060)   00000,Total - Sex,  French,865,35,25,800,0
Yukon Territory - Territoire du Yukon (00060)   00000,Total - Sex,  Non-official languages,2085,1935,0,115,30
Yukon Territory - Territoire du Yukon (00060)   00000,Total - Sex,    Aboriginal languages,735,715,0,10,10
Yukon Territory - Territoire du Yukon (00060)   00000,Total - Sex,      Algonquian languages,35,35,0,0,0
Yukon Territory - Territoire du Yukon (00060)   00000,Total - Sex,        Algonquin,-,-,-,-,-
Yukon Territory - Territoire du Yukon (00060)   00000,Total - Sex,        Attikamek,-,-,-,-,-
Yukon Territory - Territoire du Yukon (00060)   00000,Total - Sex,        Blackfoot,0,0,0,0,0
Yukon Territory - Territoire du Yukon (00060)   00000,Total - Sex,        Cree,25,25,0,0,0
Yukon Territory - Territoire du Yukon (00060)   00000,Total - Sex,        Malecite,0,0,0,0,0
Yukon Territory - Territoire du Yukon (00060)   00000,Total - Sex,        Micmac,0,0,0,0,0
Yukon Territory - Territoire du Yukon (00060)   00000,Total - Sex,        Montagnais-Naskapi,0,0,0,0,0
Yukon Territory - Territoire du Yukon (00060)   00000,Total - Sex,        Ojibway,0,10,0,0,0
Yukon Territory - Territoire du Yukon (00060)   00000,Total - Sex,        Oji-Cree,-,-,-,-,-
Yukon Territory - Territoire du Yukon (00060)   00000,Total - Sex,"        Algonquian languages, n.i.e.",0,0,0,0,0
Yukon Territory - Territoire du Yukon (00060)   00000,Total - Sex,      Athapaskan languages,585,575,0,0,0
Yukon Territory - Territoire du Yukon (00060)   00000,Total - Sex,        Carrier,10,0,0,0,0
Yukon Territory - Territoire du Yukon (00060)   00000,Total - Sex,        Chilcotin,0,0,0,0,0
Yukon Territory - Territoire du Yukon (00060)   00000,Total - Sex,        Chipewyan,25,30,0,0,0
Yukon Territory - Territoire du Yukon (00060)   00000,Total - Sex,        Dene,-,-,-,-,-
Yukon Territory - Territoire du Yukon (00060)   00000,Total - Sex,        Dogrib,0,0,0,0,0
Yukon Territory - Territoire du Yukon (00060)   00000,Total - Sex,        Kutchin-Gwich'in (Loucheux),125,125,0,0,0
Yukon Territory - Territoire du Yukon (00060)   00000,Total - Sex,        North Slave (Hare),0,0,0,0,0
Yukon Territory - Territoire du Yukon (00060)   00000,Total - Sex,        South Slave,0,0,0,0,0
Yukon Territory - Territoire du Yukon (00060)   00000,Total - Sex,"        Athapaskan languages, n.i.e.",425,420,0,0,10
Yukon Territory - Territoire du Yukon (00060)   00000,Total - Sex,      Haida,0,0,0,0,0
Yukon Territory - Territoire du Yukon (00060)   00000,Total - Sex,      Iroquoian languages,0,0,0,0,0
Yukon Territory - Territoire du Yukon (00060)   00000,Total - Sex,        Mohawk,0,0,0,0,0
Yukon Territory - Territoire du Yukon (00060)   00000,Total - Sex,"        Iroquoian languages, n.i.e.",0,0,0,0,0
Yukon Territory - Territoire du Yukon (00060)   00000,Total - Sex,      Kutenai,0,0,0,0,0
Yukon Territory - Territoire du Yukon (00060)   00000,Total - Sex,      Salish languages,0,0,0,0,0
Yukon Territory - Territoire du Yukon (00060)   00000,Total - Sex,        Shuswap,-,-,-,-,-
Yukon Territory - Territoire du Yukon (00060)   00000,Total - Sex,        Thompson (Ntlakapamux),-,-,-,-,-
Yukon Territory - Territoire du Yukon (00060)   00000,Total - Sex,"        Salish languages, n.i.e.",0,0,0,0,0
Yukon Territory - Territoire du Yukon (00060)   00000,Total - Sex,      Siouan languages,0,0,0,0,0
