Geography,Sex (3),Detailed Mother,Total - Knowledge of Official Languages,  English only,  French only,  Both English and French,  Neither English nor French
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,Total - Detailed Mother Tongue,547160,525195,155,21260,550
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,Single responses,546435,524755,150,20995,535
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,  English,538695,519970,0,18630,100
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,  French,2275,130,150,2000,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,  Non-official languages,5465,4660,0,365,435
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,    Aboriginal languages,1670,1500,0,10,165
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,      Algonquian languages,1235,1090,0,0,135
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,        Algonquin,0,0,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,        Attikamek,0,0,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,        Blackfoot,0,0,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,        Cree,0,0,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,        Malecite,0,0,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,        Micmac,0,0,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,        Montagnais-Naskapi,1220,1080,0,0,135
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,        Ojibway,10,10,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,        Oji-Cree,0,0,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,"        Algonquian languages, n.i.e.",0,0,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,      Athapaskan languages,0,0,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,        Carrier,0,0,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,        Chilcotin,0,0,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,        Chipewyan,0,0,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,        Dene,0,0,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,        Dogrib,0,0,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,        Kutchin-Gwich'in (Loucheux),0,0,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,        North Slave (Hare),0,0,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,        South Slave,0,0,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,"        Athapaskan languages, n.i.e.",0,0,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,      Haida,0,0,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,      Iroquoian languages,0,0,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,        Mohawk,0,0,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,"        Iroquoian languages, n.i.e.",0,0,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,      Kutenai,0,0,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,      Salish languages,0,0,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,        Shuswap,0,0,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,        Thompson (Ntlakapamux),0,0,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,"        Salish languages, n.i.e.",0,0,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,      Siouan languages,0,0,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,        Dakota/Sioux,0,0,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,      Tlingit,0,0,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,      Tsimshian languages,0,0,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,        Tsimshian,0,0,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,        Gitksan,0,0,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,        Nishga,0,0,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,      Wakashan languages,0,0,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,        Nootka,0,0,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,"        Wakashan languages, n.i.e.",0,0,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,      Inuktitut (Eskimo),435,405,0,0,30
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,"      Aboriginal languages, n.i.e.",0,0,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,    Romance languages,355,285,0,60,10
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,      Italian,125,70,0,40,10
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,      Portuguese,95,85,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,      Romanian,0,0,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,      Spanish,140,130,0,10,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,"      Romance languages, n.i.e.",0,0,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,    Germanic languages,840,685,0,135,15
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,      German,305,240,0,65,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,      Yiddish,0,0,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,      Netherlandic languages,140,110,0,30,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,        Dutch,130,105,0,25,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,        Flemish,10,0,0,10,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,        Frisian,0,10,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,      Scandinavian languages,335,280,0,35,20
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,        Danish,45,35,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,        Icelandic,10,0,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,        Norwegian,280,235,0,30,20
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,        Swedish,0,10,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,"      Germanic languages, n.i.e.",60,60,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,    Celtic languages,30,30,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,      Gaelic languages,20,15,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,      Welsh,15,15,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,"      Celtic languages, n.i.e.",0,0,0,0,0
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,    Slavic languages,525,465,0,35,20
Newfoundland - Terre-Neuve (00010)   00000,Total - Sex,      Bulgarian,95,90,0,10,0
