Geography,Sex (3),Detailed Mother,Total - Knowledge of Official Languages,  English only,  French only,  Both English and French,  Neither English nor French
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,Total - Detailed Mother Tongue,64125,55880,40,4035,4170
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,Single responses,63120,55005,40,3915,4155
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,  English,35835,33475,0,2350,15
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,  French,1355,75,25,1260,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,  Non-official languages,25925,21460,15,305,4140
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,    Aboriginal languages,23880,19675,10,125,4070
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,      Algonquian languages,220,210,0,15,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,        Algonquin,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,        Attikamek,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,        Blackfoot,0,10,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,        Cree,185,175,0,10,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,        Malecite,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,        Micmac,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,        Montagnais-Naskapi,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,        Ojibway,20,20,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,        Oji-Cree,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,"        Algonquian languages, n.i.e.",15,10,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,      Athapaskan languages,5150,4655,10,45,440
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,        Carrier,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,        Chilcotin,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,        Chipewyan,510,470,0,10,30
