Geography,Sex (3),Detailed Mother,Total - Knowledge of Official Languages,  English only,  French only,  Both English and French,  Neither English nor French
Quebec - Québec (00024)   20000,Total - Sex,Total - Detailed Mother Tongue,7045085,358505,3951715,2660590,74270
Quebec - Québec (00024)   20000,Total - Sex,Single responses,6944165,349795,3931745,2589135,73490
Quebec - Québec (00024)   20000,Total - Sex,  English,586435,218900,5230,362045,255
Quebec - Québec (00024)   20000,Total - Sex,  French,5700150,1535,3777870,1919935,810
Quebec - Québec (00024)   20000,Total - Sex,  Non-official languages,657580,129360,148640,307155,72425
Quebec - Québec (00024)   20000,Total - Sex,    Aboriginal languages,32780,10675,10550,4470,7075
Quebec - Québec (00024)   20000,Total - Sex,      Algonquian languages,24835,7045,9560,3760,4475
Quebec - Québec (00024)   20000,Total - Sex,        Algonquin,1830,365,835,515,110
Quebec - Québec (00024)   20000,Total - Sex,        Attikamek,3895,0,2675,80,1140
Quebec - Québec (00024)   20000,Total - Sex,        Blackfoot,0,0,0,0,0
Quebec - Québec (00024)   20000,Total - Sex,        Cree,10730,5585,225,2595,2325
Quebec - Québec (00024)   20000,Total - Sex,        Malecite,0,0,0,0,0
Quebec - Québec (00024)   20000,Total - Sex,        Micmac,820,640,0,180,0
Quebec - Québec (00024)   20000,Total - Sex,        Montagnais-Naskapi,7525,435,5825,370,895
Quebec - Québec (00024)   20000,Total - Sex,        Ojibway,25,0,0,20,0
Quebec - Québec (00024)   20000,Total - Sex,        Oji-Cree,0,0,0,0,0
Quebec - Québec (00024)   20000,Total - Sex,"        Algonquian languages, n.i.e.",0,0,0,0,0
Quebec - Québec (00024)   20000,Total - Sex,      Athapaskan languages,45,10,10,20,0
Quebec - Québec (00024)   20000,Total - Sex,        Carrier,10,0,0,0,0
Quebec - Québec (00024)   20000,Total - Sex,        Chilcotin,0,0,0,0,0
Quebec - Québec (00024)   20000,Total - Sex,        Chipewyan,0,0,0,0,0
Quebec - Québec (00024)   20000,Total - Sex,        Dene,10,0,0,10,0
Quebec - Québec (00024)   20000,Total - Sex,        Dogrib,0,0,0,0,0
Quebec - Québec (00024)   20000,Total - Sex,        Kutchin-Gwich'in (Loucheux),0,0,0,0,0
Quebec - Québec (00024)   20000,Total - Sex,        North Slave (Hare),0,0,0,0,0
Quebec - Québec (00024)   20000,Total - Sex,        South Slave,30,0,10,15,0
Quebec - Québec (00024)   20000,Total - Sex,"        Athapaskan languages, n.i.e.",0,0,0,0,0
Quebec - Québec (00024)   20000,Total - Sex,      Haida,0,0,0,0,0
Quebec - Québec (00024)   20000,Total - Sex,      Iroquoian languages,65,25,10,35,0
Quebec - Québec (00024)   20000,Total - Sex,        Mohawk,60,25,10,35,0
Quebec - Québec (00024)   20000,Total - Sex,"        Iroquoian languages, n.i.e.",10,0,0,0,0
Quebec - Québec (00024)   20000,Total - Sex,      Kutenai,0,0,0,0,0
Quebec - Québec (00024)   20000,Total - Sex,      Salish languages,0,0,0,0,0
Quebec - Québec (00024)   20000,Total - Sex,        Shuswap,0,0,0,0,0
Quebec - Québec (00024)   20000,Total - Sex,        Thompson (Ntlakapamux),0,0,0,0,0
Quebec - Québec (00024)   20000,Total - Sex,"        Salish languages, n.i.e.",0,0,0,0,0
Quebec - Québec (00024)   20000,Total - Sex,      Siouan languages,15,15,0,10,0
Quebec - Québec (00024)   20000,Total - Sex,        Dakota/Sioux,20,10,0,10,0
Quebec - Québec (00024)   20000,Total - Sex,      Tlingit,0,0,0,0,0
Quebec - Québec (00024)   20000,Total - Sex,      Tsimshian languages,0,0,0,0,0
Quebec - Québec (00024)   20000,Total - Sex,        Tsimshian,0,0,0,0,0
Quebec - Québec (00024)   20000,Total - Sex,        Gitksan,0,0,0,0,0
Quebec - Québec (00024)   20000,Total - Sex,        Nishga,0,0,0,0,0
Quebec - Québec (00024)   20000,Total - Sex,      Wakashan languages,0,0,0,0,0
Quebec - Québec (00024)   20000,Total - Sex,        Nootka,0,0,0,0,0
Quebec - Québec (00024)   20000,Total - Sex,"        Wakashan languages, n.i.e.",0,0,0,0,0
Quebec - Québec (00024)   20000,Total - Sex,      Inuktitut (Eskimo),7685,3560,920,615,2600
Quebec - Québec (00024)   20000,Total - Sex,"      Aboriginal languages, n.i.e.",130,25,60,35,0
Quebec - Québec (00024)   20000,Total - Sex,    Romance languages,239165,13700,66270,136230,22960
Quebec - Québec (00024)   20000,Total - Sex,      Italian,130070,7520,23185,88430,10935
Quebec - Québec (00024)   20000,Total - Sex,      Portuguese,32615,2320,10870,16340,3090
Quebec - Québec (00024)   20000,Total - Sex,      Romanian,10420,705,2840,6285,585
Quebec - Québec (00024)   20000,Total - Sex,      Spanish,65805,3155,29345,24960,8350
Quebec - Québec (00024)   20000,Total - Sex,"      Romance languages, n.i.e.",255,0,30,225,0
Quebec - Québec (00024)   20000,Total - Sex,    Germanic languages,34015,13560,1490,17555,1415
Quebec - Québec (00024)   20000,Total - Sex,      German,18225,6575,1175,10165,305
Quebec - Québec (00024)   20000,Total - Sex,      Yiddish,9965,5195,45,3695,1035
Quebec - Québec (00024)   20000,Total - Sex,      Netherlandic languages,4320,1095,245,2965,10
Quebec - Québec (00024)   20000,Total - Sex,        Dutch,3650,1070,105,2460,10
Quebec - Québec (00024)   20000,Total - Sex,        Flemish,665,25,140,500,0
Quebec - Québec (00024)   20000,Total - Sex,        Frisian,0,0,0,0,0
Quebec - Québec (00024)   20000,Total - Sex,      Scandinavian languages,1310,665,0,580,60
Quebec - Québec (00024)   20000,Total - Sex,        Danish,485,270,0,210,0
Quebec - Québec (00024)   20000,Total - Sex,        Icelandic,10,0,0,10,0
Quebec - Québec (00024)   20000,Total - Sex,        Norwegian,230,125,0,105,0
Quebec - Québec (00024)   20000,Total - Sex,        Swedish,585,270,0,250,60
Quebec - Québec (00024)   20000,Total - Sex,"      Germanic languages, n.i.e.",200,20,20,160,0
Quebec - Québec (00024)   20000,Total - Sex,    Celtic languages,230,55,80,90,0
Quebec - Québec (00024)   20000,Total - Sex,      Gaelic languages,60,25,0,35,0
Quebec - Québec (00024)   20000,Total - Sex,      Welsh,60,30,0,35,0
Quebec - Québec (00024)   20000,Total - Sex,"      Celtic languages, n.i.e.",105,0,80,25,0
Quebec - Québec (00024)   20000,Total - Sex,    Slavic languages,47955,13895,6420,23565,4070
Quebec - Québec (00024)   20000,Total - Sex,      Bulgarian,1780,225,365,1075,105
Quebec - Québec (00024)   20000,Total - Sex,      Byelorussian,35,10,0,30,0
Quebec - Québec (00024)   20000,Total - Sex,      Croatian,2415,605,260,1390,160
Quebec - Québec (00024)   20000,Total - Sex,      Czech,1990,650,120,1200,20
