Geography,Sex (3),Detailed Mother,Total - Knowledge of Official Languages,  English only,  French only,  Both English and French,  Neither English nor French
Saskatchewan (00047)   20000,Total - Sex,Total - Detailed Mother Tongue,976615,920555,345,50770,4945
Saskatchewan (00047)   20000,Total - Sex,Single responses,962815,908055,335,49535,4885
Saskatchewan (00047)   20000,Total - Sex,  English,816950,786440,0,30385,130
Saskatchewan (00047)   20000,Total - Sex,  French,19075,1975,300,16800,0
Saskatchewan (00047)   20000,Total - Sex,  Non-official languages,126780,119645,35,2350,4755
Saskatchewan (00047)   20000,Total - Sex,    Aboriginal languages,29215,27125,10,155,1925
Saskatchewan (00047)   20000,Total - Sex,      Algonquian languages,22525,21285,10,130,1105
Saskatchewan (00047)   20000,Total - Sex,        Algonquin,0,0,0,0,0
Saskatchewan (00047)   20000,Total - Sex,        Attikamek,0,0,0,0,0
Saskatchewan (00047)   20000,Total - Sex,        Blackfoot,20,20,0,0,0
Saskatchewan (00047)   20000,Total - Sex,        Cree,21090,19910,0,105,1075
Saskatchewan (00047)   20000,Total - Sex,        Malecite,0,0,0,0,0
Saskatchewan (00047)   20000,Total - Sex,        Micmac,0,0,0,0,0
Saskatchewan (00047)   20000,Total - Sex,        Montagnais-Naskapi,0,0,0,0,0
Saskatchewan (00047)   20000,Total - Sex,        Ojibway,1335,1295,0,10,30
Saskatchewan (00047)   20000,Total - Sex,        Oji-Cree,0,10,0,0,0
Saskatchewan (00047)   20000,Total - Sex,"        Algonquian languages, n.i.e.",70,55,0,15,0
Saskatchewan (00047)   20000,Total - Sex,      Athapaskan languages,6315,5465,0,20,825
Saskatchewan (00047)   20000,Total - Sex,        Carrier,0,0,0,0,0
Saskatchewan (00047)   20000,Total - Sex,        Chilcotin,0,0,0,0,0
Saskatchewan (00047)   20000,Total - Sex,        Chipewyan,35,35,0,0,0
Saskatchewan (00047)   20000,Total - Sex,        Dene,6270,5425,0,20,820
Saskatchewan (00047)   20000,Total - Sex,        Dogrib,0,0,0,0,0
Saskatchewan (00047)   20000,Total - Sex,        Kutchin-Gwich'in (Loucheux),0,0,0,0,0
Saskatchewan (00047)   20000,Total - Sex,        North Slave (Hare),0,0,0,0,0
Saskatchewan (00047)   20000,Total - Sex,        South Slave,0,0,0,0,0
Saskatchewan (00047)   20000,Total - Sex,"        Athapaskan languages, n.i.e.",10,0,0,0,0
Saskatchewan (00047)   20000,Total - Sex,      Haida,0,0,0,0,0
Saskatchewan (00047)   20000,Total - Sex,      Iroquoian languages,0,0,0,0,0
Saskatchewan (00047)   20000,Total - Sex,        Mohawk,0,0,0,0,0
Saskatchewan (00047)   20000,Total - Sex,"        Iroquoian languages, n.i.e.",0,0,0,0,0
Saskatchewan (00047)   20000,Total - Sex,      Kutenai,0,0,0,0,0
Saskatchewan (00047)   20000,Total - Sex,      Salish languages,0,0,0,0,0
Saskatchewan (00047)   20000,Total - Sex,        Shuswap,0,0,0,0,0
Saskatchewan (00047)   20000,Total - Sex,        Thompson (Ntlakapamux),0,0,0,0,0
Saskatchewan (00047)   20000,Total - Sex,"        Salish languages, n.i.e.",0,0,0,0,0
Saskatchewan (00047)   20000,Total - Sex,      Siouan languages,355,355,0,0,0
Saskatchewan (00047)   20000,Total - Sex,        Dakota/Sioux,355,355,0,0,0
Saskatchewan (00047)   20000,Total - Sex,      Tlingit,0,0,0,0,0
Saskatchewan (00047)   20000,Total - Sex,      Tsimshian languages,0,0,0,0,0
Saskatchewan (00047)   20000,Total - Sex,        Tsimshian,0,0,0,0,0
Saskatchewan (00047)   20000,Total - Sex,        Gitksan,0,0,0,0,0
Saskatchewan (00047)   20000,Total - Sex,        Nishga,0,0,0,0,0
Saskatchewan (00047)   20000,Total - Sex,      Wakashan languages,0,0,0,0,0
Saskatchewan (00047)   20000,Total - Sex,        Nootka,0,0,0,0,0
Saskatchewan (00047)   20000,Total - Sex,"        Wakashan languages, n.i.e.",0,0,0,0,0
Saskatchewan (00047)   20000,Total - Sex,      Inuktitut (Eskimo),10,10,0,0,0
Saskatchewan (00047)   20000,Total - Sex,"      Aboriginal languages, n.i.e.",10,10,0,0,0
Saskatchewan (00047)   20000,Total - Sex,    Romance languages,3825,3335,0,345,145
Saskatchewan (00047)   20000,Total - Sex,      Italian,895,785,0,90,15
Saskatchewan (00047)   20000,Total - Sex,      Portuguese,365,325,0,20,20
Saskatchewan (00047)   20000,Total - Sex,      Romanian,895,815,0,60,20
Saskatchewan (00047)   20000,Total - Sex,      Spanish,1680,1410,0,175,90
Saskatchewan (00047)   20000,Total - Sex,"      Romance languages, n.i.e.",0,0,0,0,0
Saskatchewan (00047)   20000,Total - Sex,    Germanic languages,43100,41875,20,675,530
Saskatchewan (00047)   20000,Total - Sex,      German,36965,35940,20,475,525
Saskatchewan (00047)   20000,Total - Sex,      Yiddish,40,35,0,0,0
Saskatchewan (00047)   20000,Total - Sex,      Netherlandic languages,2480,2335,0,145,0
Saskatchewan (00047)   20000,Total - Sex,        Dutch,2250,2130,0,115,0
Saskatchewan (00047)   20000,Total - Sex,        Flemish,220,190,0,25,0
Saskatchewan (00047)   20000,Total - Sex,        Frisian,10,15,0,0,0
Saskatchewan (00047)   20000,Total - Sex,      Scandinavian languages,3390,3345,0,50,0
Saskatchewan (00047)   20000,Total - Sex,        Danish,460,455,0,0,0
Saskatchewan (00047)   20000,Total - Sex,        Icelandic,255,245,0,10,0
Saskatchewan (00047)   20000,Total - Sex,        Norwegian,1795,1770,0,25,0
Saskatchewan (00047)   20000,Total - Sex,        Swedish,880,875,0,10,0
Saskatchewan (00047)   20000,Total - Sex,"      Germanic languages, n.i.e.",230,225,0,0,0
Saskatchewan (00047)   20000,Total - Sex,    Celtic languages,110,100,0,10,0
Saskatchewan (00047)   20000,Total - Sex,      Gaelic languages,50,45,0,10,0
Saskatchewan (00047)   20000,Total - Sex,      Welsh,45,40,0,10,0
Saskatchewan (00047)   20000,Total - Sex,"      Celtic languages, n.i.e.",10,15,0,0,0
Saskatchewan (00047)   20000,Total - Sex,    Slavic languages,30600,29715,0,480,405
Saskatchewan (00047)   20000,Total - Sex,      Bulgarian,15,15,0,0,0
Saskatchewan (00047)   20000,Total - Sex,      Byelorussian,0,0,0,0,0
Saskatchewan (00047)   20000,Total - Sex,      Croatian,405,370,0,15,20
Saskatchewan (00047)   20000,Total - Sex,      Czech,600,595,0,0,0
Saskatchewan (00047)   20000,Total - Sex,      Macedonian,0,0,0,0,0
Saskatchewan (00047)   20000,Total - Sex,      Polish,3475,3295,0,135,40
Saskatchewan (00047)   20000,Total - Sex,      Russian,1650,1595,0,30,25
Saskatchewan (00047)   20000,Total - Sex,      Serbian,95,90,0,0,0
Saskatchewan (00047)   20000,Total - Sex,      Serbo-Croatian,565,465,0,10,90
Saskatchewan (00047)   20000,Total - Sex,      Slovak,240,225,0,10,10
Saskatchewan (00047)   20000,Total - Sex,      Slovenian,80,70,0,10,0
Saskatchewan (00047)   20000,Total - Sex,      Ukrainian,23355,22880,0,260,210
Saskatchewan (00047)   20000,Total - Sex,"      Slavic languages, n.i.e.",115,105,0,0,10
Saskatchewan (00047)   20000,Total - Sex,    Baltic languages,85,80,0,0,0
Saskatchewan (00047)   20000,Total - Sex,      Latvian (Lettish),25,20,0,0,0
Saskatchewan (00047)   20000,Total - Sex,      Lithuanian,70,60,0,0,0
Saskatchewan (00047)   20000,Total - Sex,    Finno-Ugric languages,3405,3345,0,35,20
Saskatchewan (00047)   20000,Total - Sex,      Estonian,20,20,0,0,0
Saskatchewan (00047)   20000,Total - Sex,      Finnish,340,330,0,0,0
Saskatchewan (00047)   20000,Total - Sex,      Hungarian,3050,3000,10,25,20
Saskatchewan (00047)   20000,Total - Sex,    Greek,1240,1140,0,65,30
Saskatchewan (00047)   20000,Total - Sex,    Armenian,10,10,0,0,0
Saskatchewan (00047)   20000,Total - Sex,    Turkic languages,30,25,0,10,0
Saskatchewan (00047)   20000,Total - Sex,      Turkish,30,25,0,10,0
Saskatchewan (00047)   20000,Total - Sex,"      Turkic languages, n.i.e.",0,0,0,0,0
Saskatchewan (00047)   20000,Total - Sex,    Semitic languages,1175,1015,0,45,110
Saskatchewan (00047)   20000,Total - Sex,      Amharic,85,85,0,0,0
Saskatchewan (00047)   20000,Total - Sex,      Arabic,590,495,0,40,55
Saskatchewan (00047)   20000,Total - Sex,      Hebrew,10,10,0,10,0
Saskatchewan (00047)   20000,Total - Sex,      Maltese,0,10,0,0,0
Saskatchewan (00047)   20000,Total - Sex,      Somali,20,0,0,0,15
Saskatchewan (00047)   20000,Total - Sex,      Tingringa,330,305,0,0,20
Saskatchewan (00047)   20000,Total - Sex,"      Semitic languages, n.i.e.",130,110,0,0,15
Saskatchewan (00047)   20000,Total - Sex,    Indo-Iranian languages,2000,1770,0,75,155
Saskatchewan (00047)   20000,Total - Sex,      Bengali,110,110,0,0,0
Saskatchewan (00047)   20000,Total - Sex,      Gujarati,365,330,0,35,0
Saskatchewan (00047)   20000,Total - Sex,      Hindi,300,265,0,15,10
Saskatchewan (00047)   20000,Total - Sex,      Konkani,10,10,0,0,0
Saskatchewan (00047)   20000,Total - Sex,      Kurdish,20,20,0,0,0
Saskatchewan (00047)   20000,Total - Sex,      Marathi,45,45,0,0,0
Saskatchewan (00047)   20000,Total - Sex,      Pashto,30,15,0,0,15
Saskatchewan (00047)   20000,Total - Sex,      Persian (Farsi),355,305,0,10,45
Saskatchewan (00047)   20000,Total - Sex,      Punjabi,500,405,0,10,80
Saskatchewan (00047)   20000,Total - Sex,      Sindhi,0,0,0,0,0
Saskatchewan (00047)   20000,Total - Sex,      Sinhalese,85,80,0,0,0
Saskatchewan (00047)   20000,Total - Sex,      Urdu,140,130,0,0,0
Saskatchewan (00047)   20000,Total - Sex,"      Indo-Iranian languages, n.i.e.",35,35,0,0,0
Saskatchewan (00047)   20000,Total - Sex,    Dravidian languages,390,375,0,10,10
Saskatchewan (00047)   20000,Total - Sex,      Kannada,50,50,0,0,0
Saskatchewan (00047)   20000,Total - Sex,      Malayalam,75,70,0,10,0
Saskatchewan (00047)   20000,Total - Sex,      Tamil,200,195,0,0,0
Saskatchewan (00047)   20000,Total - Sex,      Telugu,55,60,0,0,0
Saskatchewan (00047)   20000,Total - Sex,"      Dravidian languages, n.i.e.",0,0,0,0,0
Saskatchewan (00047)   20000,Total - Sex,    Japanese,170,160,0,0,10
Saskatchewan (00047)   20000,Total - Sex,    Korean,235,190,0,30,15
Saskatchewan (00047)   20000,Total - Sex,    Sino-Tibetan languages,6560,5270,0,265,1030
Saskatchewan (00047)   20000,Total - Sex,      Chinese,6525,5250,0,255,1015
Saskatchewan (00047)   20000,Total - Sex,"      Sino-Tibetan languages, n.i.e.",40,20,0,10,10
Saskatchewan (00047)   20000,Total - Sex,    Tai languages,585,545,0,30,10
Saskatchewan (00047)   20000,Total - Sex,      Lao,505,465,0,30,10
Saskatchewan (00047)   20000,Total - Sex,      Thai,85,85,0,0,0
Saskatchewan (00047)   20000,Total - Sex,    Austro-Asiatic languages,1705,1355,0,60,280
Saskatchewan (00047)   20000,Total - Sex,      Khmer (Cambodian),80,40,0,0,30
Saskatchewan (00047)   20000,Total - Sex,      Vietnamese,1625,1315,10,60,245
Saskatchewan (00047)   20000,Total - Sex,"      Austro-Asiatic languages, n.i.e.",0,0,0,0,0
Saskatchewan (00047)   20000,Total - Sex,    Malayo-Polynesian languages,1785,1750,0,20,20
Saskatchewan (00047)   20000,Total - Sex,      Malay-Bahasa,90,80,0,0,10
Saskatchewan (00047)   20000,Total - Sex,      Tagalog (Pilipino),1580,1545,0,15,10
Saskatchewan (00047)   20000,Total - Sex,"      Malayo-Polynesian languages, n.i.e.",120,120,0,0,0
Saskatchewan (00047)   20000,Total - Sex,"    Asiatic languages, n.i.e.",0,0,0,0,10
Saskatchewan (00047)   20000,Total - Sex,    Niger-Congo languages,380,340,0,30,15
Saskatchewan (00047)   20000,Total - Sex,      Bantu languages,105,110,0,0,0
Saskatchewan (00047)   20000,Total - Sex,        Swahili,70,70,0,0,0
