Geography,Sex (3),Detailed Mother,Total - Knowledge of official languages,  English only,  French only,  English and French,  Neither English nor French
Alberta (48)  20000,Total - Sex,Total - Detailed mother tongue,2941150,2704895,1895,202905,31455
Alberta (48)  20000,Total - Sex,  Single responses,2907380,2677800,1840,196495,31240
Alberta (48)  20000,Total - Sex,    English,2379515,2253840,60,124945,675
Alberta (48)  20000,Total - Sex,    French,58645,4675,1450,52510,0
Alberta (48)  20000,Total - Sex,    Non-official languages,469220,419290,330,19035,30565
Alberta (48)  20000,Total - Sex,      Italian,13940,11980,0,1335,620
Alberta (48)  20000,Total - Sex,      Cantonese,26255,20600,15,765,4875
Alberta (48)  20000,Total - Sex,      Mandarin,5585,4725,10,130,725
Alberta (48)  20000,Total - Sex,      Hakka,570,455,0,30,90
Alberta (48)  20000,Total - Sex,"      Chinese, n.o.s.",45795,36700,10,755,8330
Alberta (48)  20000,Total - Sex,      German,78045,73390,25,2730,1900
Alberta (48)  20000,Total - Sex,      Portuguese,6110,5185,0,465,455
Alberta (48)  20000,Total - Sex,      Polish,20635,18810,20,1285,520
Alberta (48)  20000,Total - Sex,      Ukrainian,33975,33045,30,640,255
Alberta (48)  20000,Total - Sex,      Spanish,19825,17275,10,1500,1035
Alberta (48)  20000,Total - Sex,      Dutch,19570,18365,10,1130,70
Alberta (48)  20000,Total - Sex,      Punjabi,22535,18560,0,570,3405
Alberta (48)  20000,Total - Sex,      Greek,2770,2410,0,220,135
Alberta (48)  20000,Total - Sex,      Arabic,15395,13310,75,1235,775
Alberta (48)  20000,Total - Sex,      Tagalog (Pilipino),18710,18300,0,245,160
Alberta (48)  20000,Total - Sex,      Hungarian,6980,6485,0,370,125
Alberta (48)  20000,Total - Sex,      Vietnamese,16680,14035,40,520,2080
Alberta (48)  20000,Total - Sex,      Cree,15100,14530,0,190,380
Alberta (48)  20000,Total - Sex,      Persian (Farsi),3695,3155,10,190,355
Alberta (48)  20000,Total - Sex,      Croatian,4195,3930,10,135,120
Alberta (48)  20000,Total - Sex,      Gujarati,4905,4420,0,205,285
Alberta (48)  20000,Total - Sex,      Korean,6330,5305,0,195,835
Alberta (48)  20000,Total - Sex,      Russian,6985,6260,0,435,285
Alberta (48)  20000,Total - Sex,      Hindi,6315,5920,0,140,255
Alberta (48)  20000,Total - Sex,      Tamil,1115,1020,0,45,50
Alberta (48)  20000,Total - Sex,      Japanese,3630,3355,0,145,130
Alberta (48)  20000,Total - Sex,      Creoles,255,140,0,105,0
Alberta (48)  20000,Total - Sex,      Finnish,1245,1155,0,75,15
Alberta (48)  20000,Total - Sex,      Czech,3520,3240,0,250,25
Alberta (48)  20000,Total - Sex,      Armenian,265,200,0,55,10
Alberta (48)  20000,Total - Sex,      Yiddish,355,285,0,75,0
Alberta (48)  20000,Total - Sex,      Urdu,4915,4500,0,75,340
Alberta (48)  20000,Total - Sex,      Inuktitut (Eskimo),95,95,0,0,0
Alberta (48)  20000,Total - Sex,      Romanian,2890,2200,10,585,100
Alberta (48)  20000,Total - Sex,      Ojibway,645,580,0,10,60
Alberta (48)  20000,Total - Sex,      Danish,3615,3480,0,120,20
Alberta (48)  20000,Total - Sex,      Slovak,1610,1530,0,75,10
Alberta (48)  20000,Total - Sex,      Macedonian,90,60,10,0,15
Alberta (48)  20000,Total - Sex,      Khmer (Cambodian),1450,1275,0,60,110
Alberta (48)  20000,Total - Sex,      Norwegian,1665,1665,0,0,0
Alberta (48)  20000,Total - Sex,      Hebrew,595,510,0,80,0
Alberta (48)  20000,Total - Sex,      Estonian,195,165,0,30,0
Alberta (48)  20000,Total - Sex,      Swedish,1350,1250,0,90,10
Alberta (48)  20000,Total - Sex,      Lao,1035,840,10,85,105
Alberta (48)  20000,Total - Sex,      Lithuanian,360,335,0,30,0
Alberta (48)  20000,Total - Sex,      Serbian,2130,1915,0,60,155
Alberta (48)  20000,Total - Sex,      Latvian (Lettish),320,300,0,15,0
Alberta (48)  20000,Total - Sex,      Slovenian,890,830,0,45,10
Alberta (48)  20000,Total - Sex,      Turkish,810,695,0,75,40
Alberta (48)  20000,Total - Sex,      Bengali,1195,1125,0,15,55
Alberta (48)  20000,Total - Sex,      Maltese,75,65,0,0,0
Alberta (48)  20000,Total - Sex,      Flemish,335,220,0,120,0
Alberta (48)  20000,Total - Sex,      Montagnais-Naskapi,0,0,0,0,0
Alberta (48)  20000,Total - Sex,      Bulgarian,400,370,0,30,0
Alberta (48)  20000,Total - Sex,      Micmac,0,0,0,0,0
Alberta (48)  20000,Total - Sex,      Gaelic languages,245,190,0,50,0
Alberta (48)  20000,Total - Sex,      South Slave,250,240,0,10,10
Alberta (48)  20000,Total - Sex,      Chipewyan,225,215,0,10,0
Alberta (48)  20000,Total - Sex,      Dogrib,10,10,0,0,0
