Geography,Sex (3),Detailed Mother,Total - Knowledge of official languages,  English only,  French only,  English and French,  Neither English nor French
British Columbia - Colombie-Britannique (59)  20000,Total - Sex,Total - Detailed mother tongue,3868875,3493680,1815,269360,104020
British Columbia - Colombie-Britannique (59)  20000,Total - Sex,  Single responses,3820125,3454855,1725,260130,103415
British Columbia - Colombie-Britannique (59)  20000,Total - Sex,    English,2825785,2653915,50,170510,1310
British Columbia - Colombie-Britannique (59)  20000,Total - Sex,    French,54400,4990,995,48395,20
British Columbia - Colombie-Britannique (59)  20000,Total - Sex,    Non-official languages,939945,795955,675,41225,102085
British Columbia - Colombie-Britannique (59)  20000,Total - Sex,      Italian,28165,24615,25,2750,780
British Columbia - Colombie-Britannique (59)  20000,Total - Sex,      Cantonese,127155,97410,50,2875,26820
British Columbia - Colombie-Britannique (59)  20000,Total - Sex,      Mandarin,48880,40340,15,865,7665
British Columbia - Colombie-Britannique (59)  20000,Total - Sex,      Hakka,1620,1380,20,30,200
British Columbia - Colombie-Britannique (59)  20000,Total - Sex,"      Chinese, n.o.s.",130330,103210,55,2410,24660
British Columbia - Colombie-Britannique (59)  20000,Total - Sex,      German,84605,77855,25,6240,485
British Columbia - Colombie-Britannique (59)  20000,Total - Sex,      Portuguese,14155,12185,20,1165,780
British Columbia - Colombie-Britannique (59)  20000,Total - Sex,      Polish,17320,15450,20,1340,515
British Columbia - Colombie-Britannique (59)  20000,Total - Sex,      Ukrainian,13605,13015,10,445,130
British Columbia - Colombie-Britannique (59)  20000,Total - Sex,      Spanish,28235,23520,80,2955,1690
British Columbia - Colombie-Britannique (59)  20000,Total - Sex,      Dutch,26745,24305,0,2360,75
British Columbia - Colombie-Britannique (59)  20000,Total - Sex,      Punjabi,121740,98125,40,2470,21105
British Columbia - Colombie-Britannique (59)  20000,Total - Sex,      Greek,6685,5895,10,560,220
British Columbia - Colombie-Britannique (59)  20000,Total - Sex,      Arabic,6240,4830,25,1075,310
British Columbia - Colombie-Britannique (59)  20000,Total - Sex,      Tagalog (Pilipino),35940,35020,40,420,455
British Columbia - Colombie-Britannique (59)  20000,Total - Sex,      Hungarian,10775,9790,10,725,255
British Columbia - Colombie-Britannique (59)  20000,Total - Sex,      Vietnamese,23220,18215,50,820,4135
British Columbia - Colombie-Britannique (59)  20000,Total - Sex,      Cree,1185,1145,0,35,0
British Columbia - Colombie-Britannique (59)  20000,Total - Sex,      Persian (Farsi),21290,18070,35,1915,1270
British Columbia - Colombie-Britannique (59)  20000,Total - Sex,      Croatian,8520,7820,10,465,225
British Columbia - Colombie-Britannique (59)  20000,Total - Sex,      Gujarati,6200,5515,10,340,335
British Columbia - Colombie-Britannique (59)  20000,Total - Sex,      Korean,28105,23280,35,635,4155
British Columbia - Colombie-Britannique (59)  20000,Total - Sex,      Russian,14920,13655,30,675,565
British Columbia - Colombie-Britannique (59)  20000,Total - Sex,      Hindi,20295,18770,0,605,920
British Columbia - Colombie-Britannique (59)  20000,Total - Sex,      Tamil,2250,2055,0,100,90
British Columbia - Colombie-Britannique (59)  20000,Total - Sex,      Japanese,17900,16135,0,355,1410
British Columbia - Colombie-Britannique (59)  20000,Total - Sex,      Creoles,295,105,0,190,0
