Geography,Sex (3),Detailed Mother,Total - Knowledge of official languages,  English only,  French only,  English and French,  Neither English nor French
Canada (01)  20000,Total - Sex,Total - Detailed mother tongue,29639030,20014640,3946525,5231575,446290
Canada (01)  20000,Total - Sex,  Single responses,29257890,19802225,3929280,5083185,443205
Canada (01)  20000,Total - Sex,    English,17352315,15782795,3980,1558980,6560
Canada (01)  20000,Total - Sex,    French,6703330,35435,3756940,2909905,1045
Canada (01)  20000,Total - Sex,    Non-official languages,5202240,3983990,168350,614300,435600
Canada (01)  20000,Total - Sex,      Italian,469485,293630,22015,117895,35950
Canada (01)  20000,Total - Sex,      Cantonese,322315,245005,695,11860,64755
Canada (01)  20000,Total - Sex,      Mandarin,101790,82935,405,3315,15130
Canada (01)  20000,Total - Sex,      Hakka,4560,3825,20,200,520
Canada (01)  20000,Total - Sex,"      Chinese, n.o.s.",425080,323405,4700,21290,75685
Canada (01)  20000,Total - Sex,      German,438080,394030,1340,34130,8585
Canada (01)  20000,Total - Sex,      Portuguese,213810,147365,11155,30495,24805
Canada (01)  20000,Total - Sex,      Polish,208375,175340,1900,23255,7880
Canada (01)  20000,Total - Sex,      Ukrainian,148085,136815,360,8625,2285
Canada (01)  20000,Total - Sex,      Spanish,245495,147490,30525,49400,18085
Canada (01)  20000,Total - Sex,      Dutch,128670,116430,120,11675,440
Canada (01)  20000,Total - Sex,      Punjabi,271225,219610,335,10040,41240
Canada (01)  20000,Total - Sex,      Greek,120365,82735,805,29040,7785
Canada (01)  20000,Total - Sex,      Arabic,199940,101555,24180,62250,11965
Canada (01)  20000,Total - Sex,      Tagalog (Pilipino),174060,165980,270,5455,2355
Canada (01)  20000,Total - Sex,      Hungarian,75550,63725,455,8660,2710
Canada (01)  20000,Total - Sex,      Vietnamese,122055,82635,6470,15980,16970
Canada (01)  20000,Total - Sex,      Cree,72880,65280,185,3250,4165
Canada (01)  20000,Total - Sex,      Persian (Farsi),94095,73205,1590,11790,7505
Canada (01)  20000,Total - Sex,      Croatian,54880,48165,455,4360,1900
Canada (01)  20000,Total - Sex,      Gujarati,57560,48065,120,4440,4935
Canada (01)  20000,Total - Sex,      Korean,85070,69890,200,3955,11025
Canada (01)  20000,Total - Sex,      Russian,94555,75095,2240,10720,6500
Canada (01)  20000,Total - Sex,      Hindi,56325,50995,30,2930,2370
Canada (01)  20000,Total - Sex,      Tamil,92010,78145,515,5350,7995
Canada (01)  20000,Total - Sex,      Japanese,34815,30955,95,1335,2425
Canada (01)  20000,Total - Sex,      Creoles,39610,1925,22170,14080,1435
Canada (01)  20000,Total - Sex,      Finnish,22400,20835,0,1140,430
Canada (01)  20000,Total - Sex,      Czech,24795,21075,90,3360,265
Canada (01)  20000,Total - Sex,      Armenian,27350,10670,1350,13270,2050
Canada (01)  20000,Total - Sex,      Yiddish,19295,13235,15,4685,1360
Canada (01)  20000,Total - Sex,      Urdu,80895,70610,290,4865,5130
Canada (01)  20000,Total - Sex,      Inuktitut (Eskimo),29005,21055,965,1160,5830
Canada (01)  20000,Total - Sex,      Romanian,50895,26280,2690,19665,2260
Canada (01)  20000,Total - Sex,      Ojibway,21005,19970,10,145,880
Canada (01)  20000,Total - Sex,      Danish,18230,17060,10,1125,35
Canada (01)  20000,Total - Sex,      Slovak,17540,15130,70,2145,195
Canada (01)  20000,Total - Sex,      Macedonian,16905,15300,20,625,955
Canada (01)  20000,Total - Sex,      Khmer (Cambodian),15985,7535,3200,3415,1830
Canada (01)  20000,Total - Sex,      Norwegian,8725,8240,20,460,10
Canada (01)  20000,Total - Sex,      Hebrew,12430,9000,145,3180,100
Canada (01)  20000,Total - Sex,      Estonian,8720,7700,0,945,65
Canada (01)  20000,Total - Sex,      Swedish,9070,7960,10,1070,35
Canada (01)  20000,Total - Sex,      Lao,12945,7405,1935,2480,1125
Canada (01)  20000,Total - Sex,      Lithuanian,8770,7275,40,1285,175
Canada (01)  20000,Total - Sex,      Serbian,41180,34090,545,3505,3040
Canada (01)  20000,Total - Sex,      Latvian (Lettish),8235,7055,10,1120,50
Canada (01)  20000,Total - Sex,      Slovenian,12805,11450,40,1175,145
Canada (01)  20000,Total - Sex,      Turkish,16780,11450,1035,2510,1785
Canada (01)  20000,Total - Sex,      Bengali,29510,23990,265,3245,2010
Canada (01)  20000,Total - Sex,      Maltese,7375,7060,0,255,60
Canada (01)  20000,Total - Sex,      Flemish,6015,4280,115,1615,0
Canada (01)  20000,Total - Sex,      Montagnais-Naskapi,9705,1605,6445,625,1030
Canada (01)  20000,Total - Sex,      Bulgarian,9125,6110,430,2225,365
Canada (01)  20000,Total - Sex,      Micmac,7230,6840,10,285,100
Canada (01)  20000,Total - Sex,      Gaelic languages,2160,1895,10,250,10
Canada (01)  20000,Total - Sex,      South Slave,1390,1295,0,25,65
Canada (01)  20000,Total - Sex,      Chipewyan,575,550,0,25,10
Canada (01)  20000,Total - Sex,      Dogrib,1865,1680,10,10,175
Canada (01)  20000,Total - Sex,      Kutchin-Gwich'in (Loucheux),320,320,0,0,0
Canada (01)  20000,Total - Sex,      Tlingit,105,105,0,0,0
Canada (01)  20000,Total - Sex,      Serbo-Croatian,26685,19770,1825,3025,2065
Canada (01)  20000,Total - Sex,      Dakota/Sioux,3900,3790,0,35,85
Canada (01)  20000,Total - Sex,      Malay-Bahasa,6410,5925,0,215,265
Canada (01)  20000,Total - Sex,      Blackfoot,2745,2695,0,25,15
