Geography,Sex (3),Detailed Mother,Total - Knowledge of official languages,  English only,  French only,  English and French,  Neither English nor French
Manitoba (46)  20000,Total - Sex,Total - Detailed mother tongue,1103700,990280,1250,102840,9325
Manitoba (46)  20000,Total - Sex,  Single responses,1087410,976710,1245,100185,9275
Manitoba (46)  20000,Total - Sex,    English,823910,770485,20,53220,190
Manitoba (46)  20000,Total - Sex,    French,44340,2645,1085,40615,0
Manitoba (46)  20000,Total - Sex,    Non-official languages,219160,203580,140,6355,9090
Manitoba (46)  20000,Total - Sex,      Italian,4945,4320,0,435,190
Manitoba (46)  20000,Total - Sex,      Cantonese,2530,2005,0,35,490
Manitoba (46)  20000,Total - Sex,      Mandarin,700,625,0,20,60
Manitoba (46)  20000,Total - Sex,      Hakka,15,15,0,0,0
Manitoba (46)  20000,Total - Sex,"      Chinese, n.o.s.",5945,4965,0,150,825
Manitoba (46)  20000,Total - Sex,      German,63215,60465,25,890,1830
Manitoba (46)  20000,Total - Sex,      Portuguese,7005,5925,10,500,575
Manitoba (46)  20000,Total - Sex,      Polish,9915,9140,15,505,255
Manitoba (46)  20000,Total - Sex,      Ukrainian,26540,25580,10,685,255
Manitoba (46)  20000,Total - Sex,      Spanish,5210,4435,0,485,295
Manitoba (46)  20000,Total - Sex,      Dutch,3975,3705,0,235,35
Manitoba (46)  20000,Total - Sex,      Punjabi,5420,4680,10,135,595
Manitoba (46)  20000,Total - Sex,      Greek,1310,1205,0,90,15
Manitoba (46)  20000,Total - Sex,      Arabic,1285,965,0,145,170
Manitoba (46)  20000,Total - Sex,      Tagalog (Pilipino),18385,17665,30,295,395
Manitoba (46)  20000,Total - Sex,      Hungarian,1840,1705,10,95,35
Manitoba (46)  20000,Total - Sex,      Vietnamese,2945,2495,0,115,340
Manitoba (46)  20000,Total - Sex,      Cree,18115,17240,10,75,785
Manitoba (46)  20000,Total - Sex,      Persian (Farsi),690,550,0,35,100
Manitoba (46)  20000,Total - Sex,      Croatian,1595,1420,0,100,75
Manitoba (46)  20000,Total - Sex,      Gujarati,405,325,0,55,20
Manitoba (46)  20000,Total - Sex,      Korean,870,780,0,10,85
Manitoba (46)  20000,Total - Sex,      Russian,1730,1465,10,90,165
Manitoba (46)  20000,Total - Sex,      Hindi,710,630,0,45,35
Manitoba (46)  20000,Total - Sex,      Tamil,240,225,0,0,10
Manitoba (46)  20000,Total - Sex,      Japanese,550,535,0,0,20
Manitoba (46)  20000,Total - Sex,      Creoles,220,155,10,55,0
Manitoba (46)  20000,Total - Sex,      Finnish,360,360,0,0,0
Manitoba (46)  20000,Total - Sex,      Czech,910,810,0,90,10
Manitoba (46)  20000,Total - Sex,      Armenian,15,10,0,10,0
Manitoba (46)  20000,Total - Sex,      Yiddish,1065,1015,0,50,0
Manitoba (46)  20000,Total - Sex,      Urdu,550,515,0,15,20
Manitoba (46)  20000,Total - Sex,      Inuktitut (Eskimo),70,70,0,0,0
Manitoba (46)  20000,Total - Sex,      Romanian,595,475,0,105,15
Manitoba (46)  20000,Total - Sex,      Ojibway,8885,8580,0,30,270
Manitoba (46)  20000,Total - Sex,      Danish,365,340,0,30,0
Manitoba (46)  20000,Total - Sex,      Slovak,665,610,0,50,10
Manitoba (46)  20000,Total - Sex,      Macedonian,25,30,0,0,0
Manitoba (46)  20000,Total - Sex,      Khmer (Cambodian),345,315,0,15,20
