Geography,Sex (3),Detailed Mother,Total - Knowledge of official languages,  English only,  French only,  English and French,  Neither English nor French
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,Total - Detailed mother tongue,719710,406995,66415,245865,430
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,  Single responses,713770,406035,66300,241010,420
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,    English,465170,395140,225,69750,55
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,    French,236665,1485,65995,169170,20
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,    Non-official languages,11930,9410,85,2095,350
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,      Italian,515,275,10,210,20
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,      Cantonese,190,140,0,10,35
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,      Mandarin,105,85,0,15,0
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,      Hakka,0,0,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,"      Chinese, n.o.s.",915,710,0,140,65
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,      German,1420,1075,0,340,0
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,      Portuguese,155,95,0,60,0
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,      Polish,220,150,10,55,10
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,      Ukrainian,105,80,0,20,0
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,      Spanish,510,355,0,140,15
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,      Dutch,855,700,0,155,0
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,      Punjabi,75,70,0,0,10
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,      Greek,170,115,0,50,0
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,      Arabic,535,310,20,210,0
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,      Tagalog (Pilipino),150,130,0,20,0
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,      Hungarian,145,115,0,30,0
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,      Vietnamese,180,85,0,70,20
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,      Cree,10,10,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,      Persian (Farsi),135,100,0,35,0
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,      Croatian,40,35,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,      Gujarati,65,60,0,10,0
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,      Korean,60,30,0,0,25
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,      Russian,30,25,0,10,10
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,      Hindi,90,75,0,10,0
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,      Tamil,55,50,0,10,0
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,      Japanese,55,45,0,10,0
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,      Creoles,15,0,0,15,0
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,      Finnish,55,55,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,      Czech,55,50,0,10,0
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,      Armenian,0,0,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,      Yiddish,0,10,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,      Urdu,110,105,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,      Inuktitut (Eskimo),15,15,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,      Romanian,65,10,10,55,0
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,      Ojibway,0,0,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,      Danish,215,180,0,30,0
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,      Slovak,55,30,0,30,0
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,      Macedonian,0,0,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,      Khmer (Cambodian),15,0,0,15,0
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,      Norwegian,60,55,0,10,0
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,      Hebrew,10,0,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,      Estonian,10,10,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,      Swedish,55,55,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,      Lao,0,0,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,      Lithuanian,10,0,0,10,0
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,      Serbian,95,70,0,20,0
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,      Latvian (Lettish),20,15,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,      Slovenian,10,10,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,      Turkish,25,25,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,      Bengali,60,45,0,15,0
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,      Maltese,0,0,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,      Flemish,20,25,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,      Montagnais-Naskapi,0,0,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,      Bulgarian,0,0,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,      Micmac,2265,2170,0,70,25
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,      Gaelic languages,45,35,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,      South Slave,0,0,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,      Chipewyan,0,0,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,      Dogrib,0,0,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,      Kutchin-Gwich'in (Loucheux),0,0,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,      Tlingit,0,0,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,      Serbo-Croatian,45,45,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,      Dakota/Sioux,0,0,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,      Malay-Bahasa,15,10,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,      Blackfoot,0,0,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,      Malayalam,10,10,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,      Thai,20,20,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,      Kurdish,30,10,0,0,25
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,      Pashto,0,0,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,      Other languages,1745,1430,40,185,90
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,  Multiple responses,5945,960,115,4855,10
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,    English and French,5255,420,110,4725,0
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,    English and non-official language,550,495,0,50,10
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,    French and non-official language,105,30,0,55,10
New Brunswick - Nouveau-Brunswick (13)  00000,Total - Sex,"    English, French and non-official language",35,10,0,25,0
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,Total - Detailed mother tongue,352495,201740,30885,119670,200
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,  Single responses,349670,201285,30820,117380,190
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,    English,227440,195645,120,31640,35
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,    French,116145,750,30660,84725,15
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,    Non-official languages,6085,4890,45,1015,140
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,      Italian,285,170,10,110,0
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,      Cantonese,110,80,0,10,20
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,      Mandarin,35,25,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,      Hakka,0,10,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,"      Chinese, n.o.s.",475,380,0,70,25
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,      German,665,550,0,115,0
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,      Portuguese,80,55,0,25,0
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,      Polish,110,75,0,40,0
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,      Ukrainian,50,35,0,15,0
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,      Spanish,260,185,0,65,0
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,      Dutch,465,400,0,65,0
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,      Punjabi,45,45,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,      Greek,110,90,0,25,0
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,      Arabic,300,185,10,100,0
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,      Tagalog (Pilipino),40,30,0,10,0
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,      Hungarian,75,60,0,20,0
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,      Vietnamese,90,40,0,40,0
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,      Cree,10,0,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,      Persian (Farsi),65,35,0,30,0
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,      Croatian,10,10,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,      Gujarati,35,35,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,      Korean,45,30,0,0,15
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,      Russian,15,15,0,0,10
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,      Hindi,40,25,0,10,10
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,      Tamil,45,45,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,      Japanese,25,20,0,10,0
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,      Creoles,10,0,0,10,0
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,      Finnish,10,10,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,      Czech,40,35,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,      Armenian,10,0,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,      Yiddish,0,0,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,      Urdu,50,45,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,      Inuktitut (Eskimo),10,10,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,      Romanian,25,0,10,20,0
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,      Ojibway,0,0,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,      Danish,115,90,0,25,0
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,      Slovak,25,15,0,10,0
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,      Macedonian,0,0,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,      Khmer (Cambodian),0,0,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,      Norwegian,45,45,0,10,0
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,      Hebrew,0,0,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,      Estonian,0,10,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,      Swedish,25,25,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,      Lao,0,0,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,      Lithuanian,10,10,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,      Serbian,50,45,0,10,0
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,      Latvian (Lettish),10,10,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,      Slovenian,10,0,0,10,0
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,      Turkish,20,20,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,      Bengali,35,30,0,10,0
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,      Maltese,0,0,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,      Flemish,10,10,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,      Montagnais-Naskapi,0,0,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,      Bulgarian,0,0,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,      Micmac,1100,1060,0,25,15
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,      Gaelic languages,0,0,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,      South Slave,0,0,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,      Chipewyan,0,0,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,      Dogrib,0,0,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,      Kutchin-Gwich'in (Loucheux),0,0,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,      Tlingit,0,0,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,      Serbo-Croatian,15,15,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,      Dakota/Sioux,0,0,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,      Malay-Bahasa,10,10,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,      Blackfoot,0,0,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,      Malayalam,10,10,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,      Thai,0,0,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,      Kurdish,20,0,0,0,10
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,      Pashto,0,0,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,      Other languages,940,770,20,125,25
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,  Multiple responses,2825,455,70,2285,15
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,    English and French,2475,190,60,2225,0
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,    English and non-official language,285,255,0,25,10
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,    French and non-official language,50,15,10,20,10
New Brunswick - Nouveau-Brunswick (13)  00000,  Male,"    English, French and non-official language",15,0,0,15,0
New Brunswick - Nouveau-Brunswick (13)  00000,  Female,Total - Detailed mother tongue,367220,205255,35530,126200,235
New Brunswick - Nouveau-Brunswick (13)  00000,  Female,  Single responses,364100,204750,35480,123630,235
New Brunswick - Nouveau-Brunswick (13)  00000,  Female,    English,237730,199495,105,38110,20
New Brunswick - Nouveau-Brunswick (13)  00000,  Female,    French,120520,730,35335,84445,10
New Brunswick - Nouveau-Brunswick (13)  00000,  Female,    Non-official languages,5850,4520,40,1075,215
New Brunswick - Nouveau-Brunswick (13)  00000,  Female,      Italian,230,105,0,100,20
New Brunswick - Nouveau-Brunswick (13)  00000,  Female,      Cantonese,85,55,0,10,20
New Brunswick - Nouveau-Brunswick (13)  00000,  Female,      Mandarin,70,60,0,10,0
New Brunswick - Nouveau-Brunswick (13)  00000,  Female,      Hakka,0,0,0,0,0
New Brunswick - Nouveau-Brunswick (13)  00000,  Female,"      Chinese, n.o.s.",440,330,0,75,40
New Brunswick - Nouveau-Brunswick (13)  00000,  Female,      German,755,525,0,230,0
New Brunswick - Nouveau-Brunswick (13)  00000,  Female,      Portuguese,70,40,0,30,0
New Brunswick - Nouveau-Brunswick (13)  00000,  Female,      Polish,105,75,0,15,10
New Brunswick - Nouveau-Brunswick (13)  00000,  Female,      Ukrainian,50,40,0,10,0
New Brunswick - Nouveau-Brunswick (13)  00000,  Female,      Spanish,250,165,0,75,10
