Geography,Sex (3),Detailed Mother,Total - Knowledge of official languages,  English only,  French only,  English and French,  Neither English nor French
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,Total - Detailed mother tongue,508075,486395,145,20895,655
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,  Single responses,507425,486040,145,20615,635
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,    English,499755,481290,0,18385,75
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,    French,2180,190,120,1870,0
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,    Non-official languages,5495,4560,15,360,565
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,      Italian,115,80,0,20,10
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,      Cantonese,50,35,0,10,0
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,      Mandarin,25,25,0,0,0
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,      Hakka,0,0,0,0,0
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,"      Chinese, n.o.s.",440,400,0,0,40
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,      German,335,290,0,45,0
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,      Portuguese,105,90,0,15,0
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,      Polish,75,65,0,15,0
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,      Ukrainian,20,15,0,10,0
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,      Spanish,55,30,0,25,0
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,      Dutch,90,65,0,20,0
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,      Punjabi,95,75,0,15,0
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,      Greek,40,35,0,0,0
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,      Arabic,215,175,0,35,0
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,      Tagalog (Pilipino),135,130,0,0,0
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,      Hungarian,50,35,0,10,0
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,      Vietnamese,60,35,0,0,25
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,      Cree,10,0,0,0,0
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,      Persian (Farsi),70,65,0,0,0
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,      Croatian,45,35,0,10,10
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,      Gujarati,50,45,0,10,0
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,      Korean,50,45,0,10,0
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,      Russian,70,60,0,0,10
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,      Hindi,55,50,0,10,10
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,      Tamil,90,85,0,0,0
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,      Japanese,45,40,0,0,0
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,      Creoles,0,0,0,0,0
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,      Finnish,15,15,0,0,0
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,      Czech,15,15,0,0,0
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,      Armenian,0,0,0,0,0
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,      Yiddish,10,10,0,0,0
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,      Urdu,90,85,0,0,0
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,      Inuktitut (Eskimo),550,520,0,0,30
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,      Romanian,15,20,0,0,0
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,      Ojibway,10,0,0,0,0
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,      Danish,60,55,0,0,0
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,      Slovak,25,15,0,10,0
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,      Macedonian,10,15,0,0,0
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,      Khmer (Cambodian),0,0,0,0,0
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,      Norwegian,40,30,0,10,0
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,      Hebrew,0,0,0,0,0
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,      Estonian,10,10,0,0,0
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,      Swedish,30,25,0,0,0
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,      Lao,0,0,0,0,0
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,      Lithuanian,0,0,0,0,0
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,      Serbian,15,10,0,0,10
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,      Latvian (Lettish),20,20,0,0,0
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,      Slovenian,10,10,0,0,0
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,      Turkish,25,0,0,15,0
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,      Bengali,55,50,0,10,0
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,      Maltese,0,0,0,0,0
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,      Flemish,10,10,0,0,0
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,      Montagnais-Naskapi,1495,1155,15,20,315
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,      Bulgarian,75,55,0,15,0
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,      Micmac,0,0,0,0,0
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,      Gaelic languages,15,0,0,10,0
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,      South Slave,0,0,0,0,0
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,      Chipewyan,0,0,0,0,0
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,      Dogrib,0,0,0,0,0
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,      Kutchin-Gwich'in (Loucheux),0,0,0,0,0
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,      Tlingit,0,0,0,0,0
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,      Serbo-Croatian,75,50,0,0,25
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,      Dakota/Sioux,0,0,0,0,0
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,      Malay-Bahasa,0,0,0,0,0
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,      Blackfoot,0,0,0,0,0
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,      Malayalam,10,10,0,0,0
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,      Thai,10,10,0,10,0
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,      Kurdish,0,0,0,0,0
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,      Pashto,0,0,0,0,0
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,      Other languages,435,335,0,10,85
Newfoundland and Labrador - Terre-Neuve-et-Labrador (10)  00000,Total - Sex,  Multiple responses,650,350,0,285,15
