Geography,Sex (3),Detailed Mother,Total - Knowledge of official languages,  English only,  French only,  English and French,  Neither English nor French
Northwest Territories - Territoires du Nord-Ouest (61)  00001,Total - Sex,Total - Detailed mother tongue,37100,33550,35,3130,385
Northwest Territories - Territoires du Nord-Ouest (61)  00001,Total - Sex,  Single responses,36660,33210,40,3030,385
Northwest Territories - Territoires du Nord-Ouest (61)  00001,Total - Sex,    English,28650,26650,0,1995,0
Northwest Territories - Territoires du Nord-Ouest (61)  00001,Total - Sex,    French,950,95,35,815,0
Northwest Territories - Territoires du Nord-Ouest (61)  00001,Total - Sex,    Non-official languages,7065,6460,0,215,380
Northwest Territories - Territoires du Nord-Ouest (61)  00001,Total - Sex,      Italian,60,45,0,10,0
Northwest Territories - Territoires du Nord-Ouest (61)  00001,Total - Sex,      Cantonese,65,60,0,10,0
Northwest Territories - Territoires du Nord-Ouest (61)  00001,Total - Sex,      Mandarin,0,10,0,0,10
Northwest Territories - Territoires du Nord-Ouest (61)  00001,Total - Sex,      Hakka,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (61)  00001,Total - Sex,"      Chinese, n.o.s.",95,80,0,0,10
Northwest Territories - Territoires du Nord-Ouest (61)  00001,Total - Sex,      German,215,180,0,35,0
Northwest Territories - Territoires du Nord-Ouest (61)  00001,Total - Sex,      Portuguese,15,10,0,0,0
Northwest Territories - Territoires du Nord-Ouest (61)  00001,Total - Sex,      Polish,40,35,0,10,0
Northwest Territories - Territoires du Nord-Ouest (61)  00001,Total - Sex,      Ukrainian,55,50,0,0,0
Northwest Territories - Territoires du Nord-Ouest (61)  00001,Total - Sex,      Spanish,60,50,0,10,0
Northwest Territories - Territoires du Nord-Ouest (61)  00001,Total - Sex,      Dutch,65,50,0,15,0
Northwest Territories - Territoires du Nord-Ouest (61)  00001,Total - Sex,      Punjabi,20,25,0,0,0
Northwest Territories - Territoires du Nord-Ouest (61)  00001,Total - Sex,      Greek,25,20,0,10,0
Northwest Territories - Territoires du Nord-Ouest (61)  00001,Total - Sex,      Arabic,65,55,0,10,10
Northwest Territories - Territoires du Nord-Ouest (61)  00001,Total - Sex,      Tagalog (Pilipino),300,295,0,10,0
Northwest Territories - Territoires du Nord-Ouest (61)  00001,Total - Sex,      Hungarian,25,20,0,10,0
Northwest Territories - Territoires du Nord-Ouest (61)  00001,Total - Sex,      Vietnamese,155,140,0,0,10
Northwest Territories - Territoires du Nord-Ouest (61)  00001,Total - Sex,      Cree,155,140,0,10,10
Northwest Territories - Territoires du Nord-Ouest (61)  00001,Total - Sex,      Persian (Farsi),20,10,0,10,0
Northwest Territories - Territoires du Nord-Ouest (61)  00001,Total - Sex,      Croatian,15,15,0,0,0
Northwest Territories - Territoires du Nord-Ouest (61)  00001,Total - Sex,      Gujarati,10,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (61)  00001,Total - Sex,      Korean,15,10,0,0,10
Northwest Territories - Territoires du Nord-Ouest (61)  00001,Total - Sex,      Russian,25,25,0,0,0
Northwest Territories - Territoires du Nord-Ouest (61)  00001,Total - Sex,      Hindi,10,10,0,0,0
Northwest Territories - Territoires du Nord-Ouest (61)  00001,Total - Sex,      Tamil,10,10,0,0,10
Northwest Territories - Territoires du Nord-Ouest (61)  00001,Total - Sex,      Japanese,20,15,0,0,0
Northwest Territories - Territoires du Nord-Ouest (61)  00001,Total - Sex,      Creoles,0,10,0,0,0
Northwest Territories - Territoires du Nord-Ouest (61)  00001,Total - Sex,      Finnish,10,10,0,0,0
Northwest Territories - Territoires du Nord-Ouest (61)  00001,Total - Sex,      Czech,15,10,0,0,0
Northwest Territories - Territoires du Nord-Ouest (61)  00001,Total - Sex,      Armenian,10,10,0,0,0
Northwest Territories - Territoires du Nord-Ouest (61)  00001,Total - Sex,      Yiddish,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (61)  00001,Total - Sex,      Urdu,10,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (61)  00001,Total - Sex,      Inuktitut (Eskimo),765,730,0,0,25
Northwest Territories - Territoires du Nord-Ouest (61)  00001,Total - Sex,      Romanian,15,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (61)  00001,Total - Sex,      Ojibway,65,60,0,0,0
Northwest Territories - Territoires du Nord-Ouest (61)  00001,Total - Sex,      Danish,25,25,0,0,0
Northwest Territories - Territoires du Nord-Ouest (61)  00001,Total - Sex,      Slovak,40,35,0,10,0
Northwest Territories - Territoires du Nord-Ouest (61)  00001,Total - Sex,      Macedonian,10,10,0,0,0
Northwest Territories - Territoires du Nord-Ouest (61)  00001,Total - Sex,      Khmer (Cambodian),0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (61)  00001,Total - Sex,      Norwegian,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (61)  00001,Total - Sex,      Hebrew,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (61)  00001,Total - Sex,      Estonian,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (61)  00001,Total - Sex,      Swedish,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (61)  00001,Total - Sex,      Lao,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (61)  00001,Total - Sex,      Lithuanian,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (61)  00001,Total - Sex,      Serbian,10,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (61)  00001,Total - Sex,      Latvian (Lettish),0,10,0,0,0
Northwest Territories - Territoires du Nord-Ouest (61)  00001,Total - Sex,      Slovenian,10,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (61)  00001,Total - Sex,      Turkish,10,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (61)  00001,Total - Sex,      Bengali,10,10,0,0,0
Northwest Territories - Territoires du Nord-Ouest (61)  00001,Total - Sex,      Maltese,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (61)  00001,Total - Sex,      Flemish,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (61)  00001,Total - Sex,      Montagnais-Naskapi,0,10,0,0,0
Northwest Territories - Territoires du Nord-Ouest (61)  00001,Total - Sex,      Bulgarian,10,10,0,0,0
Northwest Territories - Territoires du Nord-Ouest (61)  00001,Total - Sex,      Micmac,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (61)  00001,Total - Sex,      Gaelic languages,10,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (61)  00001,Total - Sex,      South Slave,1005,930,0,20,55
Northwest Territories - Territoires du Nord-Ouest (61)  00001,Total - Sex,      Chipewyan,300,280,0,10,10
