Geography,Sex (3),Detailed Mother,Total - Knowledge of official languages,  English only,  French only,  English and French,  Neither English nor French
Nova Scotia - Nouvelle-Écosse (12)  00000,Total - Sex,Total - Detailed mother tongue,897570,805545,795,90265,970
Nova Scotia - Nouvelle-Écosse (12)  00000,Total - Sex,  Single responses,893195,803610,780,87865,935
Nova Scotia - Nouvelle-Écosse (12)  00000,Total - Sex,    English,832660,779380,25,53155,100
Nova Scotia - Nouvelle-Écosse (12)  00000,Total - Sex,    French,34025,1410,720,31895,0
Nova Scotia - Nouvelle-Écosse (12)  00000,Total - Sex,    Non-official languages,26510,22815,35,2820,835
Nova Scotia - Nouvelle-Écosse (12)  00000,Total - Sex,      Italian,865,740,0,125,0
Nova Scotia - Nouvelle-Écosse (12)  00000,Total - Sex,      Cantonese,425,380,10,10,30
Nova Scotia - Nouvelle-Écosse (12)  00000,Total - Sex,      Mandarin,190,160,0,10,20
Nova Scotia - Nouvelle-Écosse (12)  00000,Total - Sex,      Hakka,10,10,0,0,0
Nova Scotia - Nouvelle-Écosse (12)  00000,Total - Sex,"      Chinese, n.o.s.",1500,1295,0,50,155
Nova Scotia - Nouvelle-Écosse (12)  00000,Total - Sex,      German,3020,2395,0,505,115
Nova Scotia - Nouvelle-Écosse (12)  00000,Total - Sex,      Portuguese,355,270,10,75,0
Nova Scotia - Nouvelle-Écosse (12)  00000,Total - Sex,      Polish,960,765,0,165,30
Nova Scotia - Nouvelle-Écosse (12)  00000,Total - Sex,      Ukrainian,315,250,0,55,10
Nova Scotia - Nouvelle-Écosse (12)  00000,Total - Sex,      Spanish,700,535,0,165,10
Nova Scotia - Nouvelle-Écosse (12)  00000,Total - Sex,      Dutch,1975,1725,0,230,20
Nova Scotia - Nouvelle-Écosse (12)  00000,Total - Sex,      Punjabi,275,250,0,25,0
Nova Scotia - Nouvelle-Écosse (12)  00000,Total - Sex,      Greek,1110,1005,0,85,15
Nova Scotia - Nouvelle-Écosse (12)  00000,Total - Sex,      Arabic,4035,3330,0,590,110
Nova Scotia - Nouvelle-Écosse (12)  00000,Total - Sex,      Tagalog (Pilipino),340,330,0,0,0
Nova Scotia - Nouvelle-Écosse (12)  00000,Total - Sex,      Hungarian,320,285,0,35,0
Nova Scotia - Nouvelle-Écosse (12)  00000,Total - Sex,      Vietnamese,475,395,0,40,35
