Geography,Sex (3),Detailed Mother,Total - Knowledge of official languages,  English only,  French only,  English and French,  Neither English nor French
Nunavut (62)  00001,Total - Sex,Total - Detailed mother tongue,26665,22125,25,1010,3500
Nunavut (62)  00001,Total - Sex,  Single responses,26210,21710,25,985,3490
Nunavut (62)  00001,Total - Sex,    English,6940,6430,0,500,10
Nunavut (62)  00001,Total - Sex,    French,395,25,20,345,0
Nunavut (62)  00001,Total - Sex,    Non-official languages,18875,15250,0,135,3485
Nunavut (62)  00001,Total - Sex,      Italian,10,10,0,10,0
Nunavut (62)  00001,Total - Sex,      Cantonese,10,10,0,0,0
Nunavut (62)  00001,Total - Sex,      Mandarin,0,0,0,0,0
Nunavut (62)  00001,Total - Sex,      Hakka,0,0,0,0,0
Nunavut (62)  00001,Total - Sex,"      Chinese, n.o.s.",15,10,0,0,0
Nunavut (62)  00001,Total - Sex,      German,25,20,0,0,0
Nunavut (62)  00001,Total - Sex,      Portuguese,10,0,0,10,0
Nunavut (62)  00001,Total - Sex,      Polish,10,15,0,0,0
Nunavut (62)  00001,Total - Sex,      Ukrainian,10,10,0,0,0
Nunavut (62)  00001,Total - Sex,      Spanish,15,10,0,10,0
Nunavut (62)  00001,Total - Sex,      Dutch,0,0,0,0,0
Nunavut (62)  00001,Total - Sex,      Punjabi,0,0,0,0,0
Nunavut (62)  00001,Total - Sex,      Greek,0,0,0,0,0
Nunavut (62)  00001,Total - Sex,      Arabic,10,10,0,0,0
Nunavut (62)  00001,Total - Sex,      Tagalog (Pilipino),25,20,0,0,0
Nunavut (62)  00001,Total - Sex,      Hungarian,10,10,0,0,0
Nunavut (62)  00001,Total - Sex,      Vietnamese,0,0,0,0,0
Nunavut (62)  00001,Total - Sex,      Cree,0,10,0,0,0
Nunavut (62)  00001,Total - Sex,      Persian (Farsi),0,0,0,0,0
Nunavut (62)  00001,Total - Sex,      Croatian,0,0,0,0,0
Nunavut (62)  00001,Total - Sex,      Gujarati,0,0,0,0,0
Nunavut (62)  00001,Total - Sex,      Korean,0,0,0,0,0
Nunavut (62)  00001,Total - Sex,      Russian,10,0,0,0,0
Nunavut (62)  00001,Total - Sex,      Hindi,0,0,0,0,0
Nunavut (62)  00001,Total - Sex,      Tamil,0,0,0,0,0
Nunavut (62)  00001,Total - Sex,      Japanese,0,0,0,0,0
Nunavut (62)  00001,Total - Sex,      Creoles,0,0,0,0,0
Nunavut (62)  00001,Total - Sex,      Finnish,10,10,0,0,0
Nunavut (62)  00001,Total - Sex,      Czech,0,10,0,0,0
Nunavut (62)  00001,Total - Sex,      Armenian,0,0,0,0,0
Nunavut (62)  00001,Total - Sex,      Yiddish,0,0,0,0,0
Nunavut (62)  00001,Total - Sex,      Urdu,0,10,0,0,0
Nunavut (62)  00001,Total - Sex,      Inuktitut (Eskimo),18605,15045,0,80,3475
Nunavut (62)  00001,Total - Sex,      Romanian,0,0,0,0,0
Nunavut (62)  00001,Total - Sex,      Ojibway,0,0,0,0,0
Nunavut (62)  00001,Total - Sex,      Danish,0,10,0,0,0
Nunavut (62)  00001,Total - Sex,      Slovak,0,0,0,0,0
Nunavut (62)  00001,Total - Sex,      Macedonian,0,0,0,0,0
Nunavut (62)  00001,Total - Sex,      Khmer (Cambodian),0,0,0,0,0
Nunavut (62)  00001,Total - Sex,      Norwegian,0,0,0,0,0
Nunavut (62)  00001,Total - Sex,      Hebrew,0,0,0,0,0
Nunavut (62)  00001,Total - Sex,      Estonian,10,0,0,0,0
Nunavut (62)  00001,Total - Sex,      Swedish,0,0,0,0,0
Nunavut (62)  00001,Total - Sex,      Lao,0,0,0,0,0
Nunavut (62)  00001,Total - Sex,      Lithuanian,0,10,0,0,0
Nunavut (62)  00001,Total - Sex,      Serbian,0,0,0,0,0
Nunavut (62)  00001,Total - Sex,      Latvian (Lettish),0,0,0,0,0
Nunavut (62)  00001,Total - Sex,      Slovenian,0,0,0,0,0
Nunavut (62)  00001,Total - Sex,      Turkish,0,0,0,0,0
Nunavut (62)  00001,Total - Sex,      Bengali,0,0,0,0,0
Nunavut (62)  00001,Total - Sex,      Maltese,0,0,0,0,0
Nunavut (62)  00001,Total - Sex,      Flemish,0,0,0,0,0
Nunavut (62)  00001,Total - Sex,      Montagnais-Naskapi,0,0,0,0,0
Nunavut (62)  00001,Total - Sex,      Bulgarian,0,0,0,0,0
Nunavut (62)  00001,Total - Sex,      Micmac,0,0,0,0,0
Nunavut (62)  00001,Total - Sex,      Gaelic languages,0,0,0,0,0
Nunavut (62)  00001,Total - Sex,      South Slave,0,10,0,0,0
Nunavut (62)  00001,Total - Sex,      Chipewyan,10,0,0,0,0
Nunavut (62)  00001,Total - Sex,      Dogrib,0,0,0,0,0
Nunavut (62)  00001,Total - Sex,      Kutchin-Gwich'in (Loucheux),0,0,0,0,0
Nunavut (62)  00001,Total - Sex,      Tlingit,0,0,0,0,0
Nunavut (62)  00001,Total - Sex,      Serbo-Croatian,0,0,0,0,0
Nunavut (62)  00001,Total - Sex,      Dakota/Sioux,0,0,0,0,0
Nunavut (62)  00001,Total - Sex,      Malay-Bahasa,0,0,0,0,0
Nunavut (62)  00001,Total - Sex,      Blackfoot,0,0,0,0,0
Nunavut (62)  00001,Total - Sex,      Malayalam,0,0,0,0,0
Nunavut (62)  00001,Total - Sex,      Thai,0,0,0,0,0
Nunavut (62)  00001,Total - Sex,      Kurdish,0,0,0,0,0
Nunavut (62)  00001,Total - Sex,      Pashto,0,0,0,0,0
Nunavut (62)  00001,Total - Sex,      Other languages,45,30,0,0,0
Nunavut (62)  00001,Total - Sex,  Multiple responses,455,415,0,25,10
Nunavut (62)  00001,Total - Sex,    English and French,20,10,0,15,0
Nunavut (62)  00001,Total - Sex,    English and non-official language,430,410,0,10,15
Nunavut (62)  00001,Total - Sex,    French and non-official language,10,0,0,0,0
Nunavut (62)  00001,Total - Sex,"    English, French and non-official language",0,0,0,0,0
Nunavut (62)  00001,  Male,Total - Detailed mother tongue,13775,11450,10,575,1735
Nunavut (62)  00001,  Male,  Single responses,13545,11245,15,560,1735
Nunavut (62)  00001,  Male,    English,3730,3450,0,275,10
Nunavut (62)  00001,  Male,    French,240,20,10,210,0
Nunavut (62)  00001,  Male,    Non-official languages,9580,7775,0,70,1730
Nunavut (62)  00001,  Male,      Italian,10,10,0,0,0
Nunavut (62)  00001,  Male,      Cantonese,10,0,0,0,0
Nunavut (62)  00001,  Male,      Mandarin,0,0,0,0,0
Nunavut (62)  00001,  Male,      Hakka,0,0,0,0,0
Nunavut (62)  00001,  Male,"      Chinese, n.o.s.",10,0,0,0,0
Nunavut (62)  00001,  Male,      German,15,10,0,10,0
Nunavut (62)  00001,  Male,      Portuguese,15,0,0,10,0
Nunavut (62)  00001,  Male,      Polish,10,10,0,0,0
Nunavut (62)  00001,  Male,      Ukrainian,10,0,0,0,0
Nunavut (62)  00001,  Male,      Spanish,10,0,0,0,0
Nunavut (62)  00001,  Male,      Dutch,0,0,0,0,0
Nunavut (62)  00001,  Male,      Punjabi,0,10,0,0,0
Nunavut (62)  00001,  Male,      Greek,10,0,0,0,0
Nunavut (62)  00001,  Male,      Arabic,10,0,0,0,0
Nunavut (62)  00001,  Male,      Tagalog (Pilipino),0,10,0,0,0
Nunavut (62)  00001,  Male,      Hungarian,0,0,0,0,0
Nunavut (62)  00001,  Male,      Vietnamese,0,0,0,0,0
Nunavut (62)  00001,  Male,      Cree,0,0,0,0,0
Nunavut (62)  00001,  Male,      Persian (Farsi),0,0,0,0,0
Nunavut (62)  00001,  Male,      Croatian,0,0,0,0,0
Nunavut (62)  00001,  Male,      Gujarati,0,10,0,0,0
Nunavut (62)  00001,  Male,      Korean,0,0,0,0,0
Nunavut (62)  00001,  Male,      Russian,0,0,0,0,0
Nunavut (62)  00001,  Male,      Hindi,0,0,0,0,0
Nunavut (62)  00001,  Male,      Tamil,0,0,0,0,0
Nunavut (62)  00001,  Male,      Japanese,0,0,0,0,0
Nunavut (62)  00001,  Male,      Creoles,0,0,0,10,0
Nunavut (62)  00001,  Male,      Finnish,0,0,0,0,0
Nunavut (62)  00001,  Male,      Czech,0,10,0,0,0
Nunavut (62)  00001,  Male,      Armenian,0,0,0,0,0
Nunavut (62)  00001,  Male,      Yiddish,0,0,0,0,0
Nunavut (62)  00001,  Male,      Urdu,0,0,0,0,0
Nunavut (62)  00001,  Male,      Inuktitut (Eskimo),9425,7665,0,35,1725
Nunavut (62)  00001,  Male,      Romanian,0,0,0,0,0
Nunavut (62)  00001,  Male,      Ojibway,0,0,0,0,0
Nunavut (62)  00001,  Male,      Danish,10,10,0,0,0
Nunavut (62)  00001,  Male,      Slovak,0,0,0,0,0
Nunavut (62)  00001,  Male,      Macedonian,0,0,0,0,0
Nunavut (62)  00001,  Male,      Khmer (Cambodian),0,0,0,0,0
Nunavut (62)  00001,  Male,      Norwegian,0,0,0,0,0
Nunavut (62)  00001,  Male,      Hebrew,0,0,0,0,0
Nunavut (62)  00001,  Male,      Estonian,0,0,0,0,0
Nunavut (62)  00001,  Male,      Swedish,0,0,0,0,0
Nunavut (62)  00001,  Male,      Lao,0,0,0,0,0
Nunavut (62)  00001,  Male,      Lithuanian,0,0,0,0,0
Nunavut (62)  00001,  Male,      Serbian,0,0,0,0,0
Nunavut (62)  00001,  Male,      Latvian (Lettish),0,0,0,0,0
Nunavut (62)  00001,  Male,      Slovenian,0,0,0,0,0
Nunavut (62)  00001,  Male,      Turkish,0,0,0,0,0
Nunavut (62)  00001,  Male,      Bengali,0,0,0,0,0
Nunavut (62)  00001,  Male,      Maltese,0,0,0,0,0
Nunavut (62)  00001,  Male,      Flemish,0,0,0,0,0
Nunavut (62)  00001,  Male,      Montagnais-Naskapi,0,0,0,0,0
Nunavut (62)  00001,  Male,      Bulgarian,0,0,0,0,0
Nunavut (62)  00001,  Male,      Micmac,0,0,0,0,0
Nunavut (62)  00001,  Male,      Gaelic languages,10,0,0,0,0
Nunavut (62)  00001,  Male,      South Slave,0,0,0,0,0
Nunavut (62)  00001,  Male,      Chipewyan,10,0,0,0,0
Nunavut (62)  00001,  Male,      Dogrib,0,0,0,0,0
Nunavut (62)  00001,  Male,      Kutchin-Gwich'in (Loucheux),0,0,0,0,0
Nunavut (62)  00001,  Male,      Tlingit,0,0,0,0,0
Nunavut (62)  00001,  Male,      Serbo-Croatian,0,0,0,0,0
Nunavut (62)  00001,  Male,      Dakota/Sioux,0,0,0,0,0
Nunavut (62)  00001,  Male,      Malay-Bahasa,0,0,0,0,0
Nunavut (62)  00001,  Male,      Blackfoot,0,0,0,0,0
Nunavut (62)  00001,  Male,      Malayalam,0,0,0,0,0
Nunavut (62)  00001,  Male,      Thai,0,0,0,0,0
Nunavut (62)  00001,  Male,      Kurdish,0,0,0,0,0
Nunavut (62)  00001,  Male,      Pashto,0,0,0,0,0
Nunavut (62)  00001,  Male,      Other languages,25,15,0,0,0
Nunavut (62)  00001,  Male,  Multiple responses,225,205,0,15,10
Nunavut (62)  00001,  Male,    English and French,10,0,0,10,0
Nunavut (62)  00001,  Male,    English and non-official language,210,200,0,0,10
Nunavut (62)  00001,  Male,    French and non-official language,0,0,0,10,0
Nunavut (62)  00001,  Male,"    English, French and non-official language",0,0,0,10,0
Nunavut (62)  00001,  Female,Total - Detailed mother tongue,12895,10675,15,440,1765
Nunavut (62)  00001,  Female,  Single responses,12665,10470,10,425,1760
Nunavut (62)  00001,  Female,    English,3215,2985,0,225,0
Nunavut (62)  00001,  Female,    French,155,0,10,135,0
Nunavut (62)  00001,  Female,    Non-official languages,9300,7475,0,65,1750
Nunavut (62)  00001,  Female,      Italian,0,0,0,0,0
Nunavut (62)  00001,  Female,      Cantonese,10,0,0,0,0
Nunavut (62)  00001,  Female,      Mandarin,0,10,0,0,0
Nunavut (62)  00001,  Female,      Hakka,0,0,0,0,0
Nunavut (62)  00001,  Female,"      Chinese, n.o.s.",10,0,0,0,0
Nunavut (62)  00001,  Female,      German,10,10,0,0,0
Nunavut (62)  00001,  Female,      Portuguese,0,0,0,0,0
Nunavut (62)  00001,  Female,      Polish,0,0,0,0,0
Nunavut (62)  00001,  Female,      Ukrainian,10,0,0,0,0
Nunavut (62)  00001,  Female,      Spanish,10,10,0,0,0
Nunavut (62)  00001,  Female,      Dutch,0,0,0,0,0
Nunavut (62)  00001,  Female,      Punjabi,0,0,0,0,0
Nunavut (62)  00001,  Female,      Greek,0,0,0,0,0
Nunavut (62)  00001,  Female,      Arabic,0,0,0,10,0
Nunavut (62)  00001,  Female,      Tagalog (Pilipino),15,10,0,0,0
Nunavut (62)  00001,  Female,      Hungarian,0,10,0,0,0
Nunavut (62)  00001,  Female,      Vietnamese,0,0,0,0,0
Nunavut (62)  00001,  Female,      Cree,10,0,0,0,0
Nunavut (62)  00001,  Female,      Persian (Farsi),0,0,0,0,0
Nunavut (62)  00001,  Female,      Croatian,0,0,0,0,0
Nunavut (62)  00001,  Female,      Gujarati,0,0,0,0,0
Nunavut (62)  00001,  Female,      Korean,0,10,0,0,0
Nunavut (62)  00001,  Female,      Russian,0,10,0,0,0
Nunavut (62)  00001,  Female,      Hindi,0,0,0,0,0
Nunavut (62)  00001,  Female,      Tamil,0,0,0,0,0
Nunavut (62)  00001,  Female,      Japanese,0,0,0,0,0
Nunavut (62)  00001,  Female,      Creoles,0,0,0,0,0
Nunavut (62)  00001,  Female,      Finnish,0,10,0,0,0
Nunavut (62)  00001,  Female,      Czech,0,0,0,0,0
Nunavut (62)  00001,  Female,      Armenian,0,0,0,0,0
Nunavut (62)  00001,  Female,      Yiddish,0,0,0,0,0
Nunavut (62)  00001,  Female,      Urdu,0,0,0,0,0
Nunavut (62)  00001,  Female,      Inuktitut (Eskimo),9175,7380,0,40,1755
Nunavut (62)  00001,  Female,      Romanian,0,0,0,0,0
Nunavut (62)  00001,  Female,      Ojibway,0,10,0,0,0
Nunavut (62)  00001,  Female,      Danish,0,0,0,0,0
Nunavut (62)  00001,  Female,      Slovak,0,0,0,0,0
Nunavut (62)  00001,  Female,      Macedonian,0,0,0,0,0
Nunavut (62)  00001,  Female,      Khmer (Cambodian),0,0,0,0,0
Nunavut (62)  00001,  Female,      Norwegian,0,0,0,0,0
Nunavut (62)  00001,  Female,      Hebrew,0,0,0,0,0
Nunavut (62)  00001,  Female,      Estonian,0,0,0,0,0
Nunavut (62)  00001,  Female,      Swedish,0,0,0,0,0
Nunavut (62)  00001,  Female,      Lao,0,0,0,0,0
Nunavut (62)  00001,  Female,      Lithuanian,0,0,0,0,0
Nunavut (62)  00001,  Female,      Serbian,0,0,0,0,0
Nunavut (62)  00001,  Female,      Latvian (Lettish),0,0,0,0,0
Nunavut (62)  00001,  Female,      Slovenian,0,0,0,0,0
Nunavut (62)  00001,  Female,      Turkish,0,0,0,0,0
Nunavut (62)  00001,  Female,      Bengali,0,0,0,0,0
Nunavut (62)  00001,  Female,      Maltese,0,0,0,0,0
Nunavut (62)  00001,  Female,      Flemish,0,0,0,0,0
Nunavut (62)  00001,  Female,      Montagnais-Naskapi,0,0,0,0,0
Nunavut (62)  00001,  Female,      Bulgarian,0,0,0,0,0
Nunavut (62)  00001,  Female,      Micmac,0,0,0,0,0
Nunavut (62)  00001,  Female,      Gaelic languages,0,0,0,0,0
Nunavut (62)  00001,  Female,      South Slave,0,0,0,0,0
Nunavut (62)  00001,  Female,      Chipewyan,0,0,0,0,0
Nunavut (62)  00001,  Female,      Dogrib,0,0,0,0,0
Nunavut (62)  00001,  Female,      Kutchin-Gwich'in (Loucheux),0,0,0,0,0
Nunavut (62)  00001,  Female,      Tlingit,0,0,0,0,0
Nunavut (62)  00001,  Female,      Serbo-Croatian,0,0,0,0,0
Nunavut (62)  00001,  Female,      Dakota/Sioux,0,0,0,0,0
Nunavut (62)  00001,  Female,      Malay-Bahasa,0,0,0,0,0
Nunavut (62)  00001,  Female,      Blackfoot,0,0,0,0,0
Nunavut (62)  00001,  Female,      Malayalam,0,0,0,0,0
Nunavut (62)  00001,  Female,      Thai,0,0,0,0,0
Nunavut (62)  00001,  Female,      Kurdish,0,0,0,0,0
Nunavut (62)  00001,  Female,      Pashto,0,0,0,0,0
Nunavut (62)  00001,  Female,      Other languages,20,15,0,0,0
Nunavut (62)  00001,  Female,  Multiple responses,230,215,0,10,10
Nunavut (62)  00001,  Female,    English and French,10,0,0,10,0
Nunavut (62)  00001,  Female,    English and non-official language,220,210,0,10,0
Nunavut (62)  00001,  Female,    French and non-official language,0,0,0,0,0
Nunavut (62)  00001,  Female,"    English, French and non-official language",0,0,0,0,0
