Geography,Sex (3),Detailed Mother,Total - Knowledge of official languages,  English only,  French only,  English and French,  Neither English nor French
Ontario (35)  20000,Total - Sex,Total - Detailed mother tongue,11285550,9690745,42305,1319715,232775
Ontario (35)  20000,Total - Sex,  Single responses,11122940,9577425,41660,1272515,231335
Ontario (35)  20000,Total - Sex,    English,7965225,7304680,490,656340,3710
Ontario (35)  20000,Total - Sex,    French,485635,15565,35810,434090,155
Ontario (35)  20000,Total - Sex,    Non-official languages,2672085,2257180,5360,182080,227460
Ontario (35)  20000,Total - Sex,      Italian,295205,244925,390,23470,26420
Ontario (35)  20000,Total - Sex,      Cantonese,158035,121120,40,5805,31065
Ontario (35)  20000,Total - Sex,      Mandarin,41845,34510,35,1105,6195
Ontario (35)  20000,Total - Sex,      Hakka,2245,1900,0,120,220
Ontario (35)  20000,Total - Sex,"      Chinese, n.o.s.",202120,160610,125,7060,34325
Ontario (35)  20000,Total - Sex,      German,156080,139775,80,12420,3800
Ontario (35)  20000,Total - Sex,      Portuguese,152115,121675,425,9505,20525
Ontario (35)  20000,Total - Sex,      Polish,138935,122930,130,9960,5915
Ontario (35)  20000,Total - Sex,      Ukrainian,48620,43730,20,3445,1430
Ontario (35)  20000,Total - Sex,      Spanish,118690,96525,370,11630,10175
Ontario (35)  20000,Total - Sex,      Dutch,69655,64325,10,5085,240
Ontario (35)  20000,Total - Sex,      Punjabi,110540,91910,35,4105,14490
Ontario (35)  20000,Total - Sex,      Greek,65285,57690,50,3995,3560
Ontario (35)  20000,Total - Sex,      Arabic,94635,70515,840,16760,6515
Ontario (35)  20000,Total - Sex,      Tagalog (Pilipino),88870,85880,105,1685,1205
Ontario (35)  20000,Total - Sex,      Hungarian,45270,39770,25,3475,1995
Ontario (35)  20000,Total - Sex,      Vietnamese,55235,44105,235,3285,7595
Ontario (35)  20000,Total - Sex,      Cree,4405,3905,0,175,320
Ontario (35)  20000,Total - Sex,      Persian (Farsi),56910,47990,55,4320,4545
Ontario (35)  20000,Total - Sex,      Croatian,37255,33615,50,2240,1355
Ontario (35)  20000,Total - Sex,      Gujarati,39820,34405,0,1835,3590
Ontario (35)  20000,Total - Sex,      Korean,45700,38325,35,1805,5535
Ontario (35)  20000,Total - Sex,      Russian,56605,48760,35,3440,4370
Ontario (35)  20000,Total - Sex,      Hindi,26310,23870,35,1390,1020
Ontario (35)  20000,Total - Sex,      Tamil,76810,68205,85,2230,6295
Ontario (35)  20000,Total - Sex,      Japanese,10760,9610,10,350,785
Ontario (35)  20000,Total - Sex,      Creoles,3860,1240,650,1865,105
Ontario (35)  20000,Total - Sex,      Finnish,14590,13580,0,660,350
Ontario (35)  20000,Total - Sex,      Czech,12090,10515,0,1385,180
Ontario (35)  20000,Total - Sex,      Armenian,12170,8575,35,2715,855
Ontario (35)  20000,Total - Sex,      Yiddish,7925,6760,0,905,265
Ontario (35)  20000,Total - Sex,      Urdu,64140,57665,20,2560,3890
Ontario (35)  20000,Total - Sex,      Inuktitut (Eskimo),160,115,0,45,0
Ontario (35)  20000,Total - Sex,      Romanian,28600,18595,200,8430,1360
Ontario (35)  20000,Total - Sex,      Ojibway,9705,9100,0,60,535
Ontario (35)  20000,Total - Sex,      Danish,6160,5760,0,385,10
Ontario (35)  20000,Total - Sex,      Slovak,10710,9795,0,780,145
Ontario (35)  20000,Total - Sex,      Macedonian,16555,15065,0,540,935
Ontario (35)  20000,Total - Sex,      Khmer (Cambodian),5210,4315,35,225,640
Ontario (35)  20000,Total - Sex,      Norwegian,1255,1100,0,150,0
Ontario (35)  20000,Total - Sex,      Hebrew,7935,6835,0,1055,50
Ontario (35)  20000,Total - Sex,      Estonian,6875,6170,0,660,45
Ontario (35)  20000,Total - Sex,      Swedish,2805,2375,0,425,0
Ontario (35)  20000,Total - Sex,      Lao,5050,4270,20,310,445
Ontario (35)  20000,Total - Sex,      Lithuanian,6905,6075,10,660,150
Ontario (35)  20000,Total - Sex,      Serbian,32000,27310,55,2295,2345
Ontario (35)  20000,Total - Sex,      Latvian (Lettish),6575,5780,0,760,40
Ontario (35)  20000,Total - Sex,      Slovenian,9180,8495,20,540,125
Ontario (35)  20000,Total - Sex,      Turkish,10320,8505,30,745,1035
Ontario (35)  20000,Total - Sex,      Bengali,19780,17715,0,1140,920
Ontario (35)  20000,Total - Sex,      Maltese,7005,6760,0,190,55
Ontario (35)  20000,Total - Sex,      Flemish,3590,2970,0,615,0
Ontario (35)  20000,Total - Sex,      Montagnais-Naskapi,0,0,0,0,0
Ontario (35)  20000,Total - Sex,      Bulgarian,5660,4675,15,745,220
Ontario (35)  20000,Total - Sex,      Micmac,60,50,0,15,0
Ontario (35)  20000,Total - Sex,      Gaelic languages,725,655,0,65,10
Ontario (35)  20000,Total - Sex,      South Slave,0,0,0,0,0
Ontario (35)  20000,Total - Sex,      Chipewyan,10,10,0,0,0
Ontario (35)  20000,Total - Sex,      Dogrib,10,0,0,0,0
Ontario (35)  20000,Total - Sex,      Kutchin-Gwich'in (Loucheux),0,0,0,0,0
Ontario (35)  20000,Total - Sex,      Tlingit,0,0,0,0,0
Ontario (35)  20000,Total - Sex,      Serbo-Croatian,14625,12155,75,1190,1210
Ontario (35)  20000,Total - Sex,      Dakota/Sioux,15,10,0,10,0
Ontario (35)  20000,Total - Sex,      Malay-Bahasa,3325,3110,0,65,145
Ontario (35)  20000,Total - Sex,      Blackfoot,20,10,0,10,0
Ontario (35)  20000,Total - Sex,      Malayalam,5065,4695,0,170,190
Ontario (35)  20000,Total - Sex,      Thai,1350,1285,0,55,10
Ontario (35)  20000,Total - Sex,      Kurdish,3410,3015,0,90,305
Ontario (35)  20000,Total - Sex,      Pashto,3960,3385,0,100,475
Ontario (35)  20000,Total - Sex,      Other languages,124745,108080,990,8755,6920
Ontario (35)  20000,Total - Sex,  Multiple responses,162610,113320,640,47200,1450
Ontario (35)  20000,Total - Sex,    English and French,37135,5700,170,31245,20
Ontario (35)  20000,Total - Sex,    English and non-official language,114275,103760,40,9220,1250
Ontario (35)  20000,Total - Sex,    French and non-official language,8005,2965,425,4440,175
Ontario (35)  20000,Total - Sex,"    English, French and non-official language",3200,895,10,2290,0
Ontario (35)  20000,  Male,Total - Detailed mother tongue,5529145,4822335,18360,598125,90320
Ontario (35)  20000,  Male,  Single responses,5450095,4765890,18170,576285,89750
Ontario (35)  20000,  Male,    English,3913300,3625390,250,285830,1815
Ontario (35)  20000,  Male,    French,230080,7530,15765,206720,70
Ontario (35)  20000,  Male,    Non-official languages,1306710,1132970,2155,83735,87850
Ontario (35)  20000,  Male,      Italian,148330,128065,190,10390,9690
Ontario (35)  20000,  Male,      Cantonese,75515,60605,20,2575,12305
Ontario (35)  20000,  Male,      Mandarin,20700,17440,20,520,2720
Ontario (35)  20000,  Male,      Hakka,1135,1000,0,50,90
Ontario (35)  20000,  Male,"      Chinese, n.o.s.",97770,81060,30,3195,13480
Ontario (35)  20000,  Male,      German,72970,66030,45,5220,1665
Ontario (35)  20000,  Male,      Portuguese,74920,62105,230,4090,8500
Ontario (35)  20000,  Male,      Polish,65235,58765,40,4285,2145
Ontario (35)  20000,  Male,      Ukrainian,21650,19815,0,1345,495
Ontario (35)  20000,  Male,      Spanish,57865,47775,150,5130,4815
Ontario (35)  20000,  Male,      Dutch,34520,31910,0,2500,110
Ontario (35)  20000,  Male,      Punjabi,56730,49760,15,1920,5040
Ontario (35)  20000,  Male,      Greek,32945,29860,20,1770,1300
Ontario (35)  20000,  Male,      Arabic,50685,39125,255,8795,2505
Ontario (35)  20000,  Male,      Tagalog (Pilipino),36220,35025,80,690,420
Ontario (35)  20000,  Male,      Hungarian,22275,19920,10,1575,775
Ontario (35)  20000,  Male,      Vietnamese,26975,22610,130,1625,2605
Ontario (35)  20000,  Male,      Cree,2120,1905,0,60,150
Ontario (35)  20000,  Male,      Persian (Farsi),30120,26185,25,2195,1720
Ontario (35)  20000,  Male,      Croatian,18735,17345,15,890,485
