Geography,Sex (3),Detailed Mother,Total - Knowledge of official languages,  English only,  French only,  English and French,  Neither English nor French
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,Total - Detailed mother tongue,133385,117245,100,15990,55
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,  Single responses,132855,117030,100,15670,55
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,    English,125125,114730,0,10375,20
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,    French,5665,470,100,5100,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,    Non-official languages,2065,1830,0,205,35
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,      Italian,60,45,0,15,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,      Cantonese,0,0,0,0,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,      Mandarin,20,15,0,0,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,      Hakka,0,0,0,0,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,"      Chinese, n.o.s.",115,90,0,0,25
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,      German,195,130,0,65,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,      Portuguese,20,15,0,0,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,      Polish,65,55,0,10,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,      Ukrainian,15,15,0,0,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,      Spanish,55,45,0,0,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,      Dutch,480,450,0,30,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,      Punjabi,0,0,0,0,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,      Greek,0,0,0,0,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,      Arabic,145,100,0,50,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,      Tagalog (Pilipino),25,25,0,0,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,      Hungarian,50,40,0,10,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,      Vietnamese,10,10,0,0,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,      Cree,0,0,0,0,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,      Persian (Farsi),15,10,0,0,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,      Croatian,85,85,0,0,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,      Gujarati,0,0,0,0,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,      Korean,0,0,0,0,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,      Russian,10,10,0,0,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,      Hindi,10,10,0,0,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,      Tamil,10,10,0,0,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,      Japanese,50,50,0,0,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,      Creoles,0,0,0,0,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,      Finnish,10,10,0,0,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,      Czech,10,10,0,0,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,      Armenian,0,0,0,0,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,      Yiddish,0,0,0,0,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,      Urdu,15,20,0,0,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,      Inuktitut (Eskimo),10,10,0,0,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,      Romanian,0,10,0,0,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,      Ojibway,0,10,0,0,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,      Danish,25,25,0,0,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,      Slovak,0,0,0,10,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,      Macedonian,0,0,0,0,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,      Khmer (Cambodian),0,0,0,0,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,      Norwegian,0,0,0,0,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,      Hebrew,0,0,0,0,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,      Estonian,0,0,0,0,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,      Swedish,0,10,0,0,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,      Lao,0,0,0,0,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,      Lithuanian,0,0,0,0,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,      Serbian,0,0,0,0,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,      Latvian (Lettish),15,15,0,0,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,      Slovenian,15,15,0,0,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,      Turkish,0,0,0,0,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,      Bengali,10,10,0,0,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,      Maltese,10,0,0,0,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,      Flemish,25,20,0,0,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,      Montagnais-Naskapi,0,0,0,0,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,      Bulgarian,0,0,0,0,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,      Micmac,185,185,0,0,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,      Gaelic languages,10,15,0,0,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,      South Slave,0,0,0,0,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,      Chipewyan,0,0,0,0,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,      Dogrib,0,0,0,0,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,      Kutchin-Gwich'in (Loucheux),0,0,0,0,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,      Tlingit,0,0,0,0,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,      Serbo-Croatian,0,0,0,0,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,      Dakota/Sioux,0,0,0,0,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,      Malay-Bahasa,0,0,0,0,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,      Blackfoot,0,0,0,0,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,      Malayalam,0,0,0,0,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,      Thai,0,0,0,0,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,      Kurdish,0,10,0,0,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,      Pashto,15,15,0,0,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,      Other languages,255,245,0,0,10
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,  Multiple responses,530,215,0,315,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,    English and French,440,125,0,310,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,    English and non-official language,90,85,0,0,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,    French and non-official language,10,0,0,0,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,Total - Sex,"    English, French and non-official language",0,0,0,0,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,  Male,Total - Detailed mother tongue,65055,58100,60,6880,10
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,  Male,  Single responses,64825,57990,60,6760,15
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,  Male,    English,61175,56840,0,4330,10
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,  Male,    French,2595,200,55,2330,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,  Male,    Non-official languages,1060,950,0,105,10
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,  Male,      Italian,35,40,0,0,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,  Male,      Cantonese,0,0,0,0,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,  Male,      Mandarin,10,10,0,0,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,  Male,      Hakka,0,0,0,0,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,  Male,"      Chinese, n.o.s.",55,50,0,0,10
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,  Male,      German,85,50,0,35,0
Prince Edward Island - Île-du-Prince-Édouard (11)  00000,  Male,      Portuguese,15,10,0,0,0
