Geography,Sex (3),Detailed Mother,Total - Knowledge of official languages,  English only,  French only,  English and French,  Neither English nor French
Quebec - Québec (24)  20000,Total - Sex,Total - Detailed mother tongue,7125580,327040,3831345,2907700,59490
Quebec - Québec (24)  20000,Total - Sex,  Single responses,7028225,320060,3815015,2834320,58830
Quebec - Québec (24)  20000,Total - Sex,    English,557045,185205,3095,368410,335
Quebec - Québec (24)  20000,Total - Sex,    French,5761765,1915,3650310,2108700,835
Quebec - Québec (24)  20000,Total - Sex,    Non-official languages,709420,132940,161615,357210,57660
Quebec - Québec (24)  20000,Total - Sex,      Italian,124695,5785,21590,89415,7900
Quebec - Québec (24)  20000,Total - Sex,      Cantonese,6135,2035,565,2255,1285
Quebec - Québec (24)  20000,Total - Sex,      Mandarin,4050,2095,355,1165,440
Quebec - Québec (24)  20000,Total - Sex,      Hakka,70,35,10,25,10
Quebec - Québec (24)  20000,Total - Sex,"      Chinese, n.o.s.",33490,11660,4510,10610,6715
Quebec - Québec (24)  20000,Total - Sex,      German,17690,6050,1150,10365,120
Quebec - Québec (24)  20000,Total - Sex,      Portuguese,33360,1565,10685,18660,2450
Quebec - Québec (24)  20000,Total - Sex,      Polish,17160,5050,1715,9805,595
Quebec - Québec (24)  20000,Total - Sex,      Ukrainian,5125,1620,285,3065,155
Quebec - Québec (24)  20000,Total - Sex,      Spanish,70100,2980,30065,32295,4755
Quebec - Québec (24)  20000,Total - Sex,      Dutch,3220,815,100,2300,0
Quebec - Québec (24)  20000,Total - Sex,      Punjabi,9900,5370,250,2690,1590
Quebec - Québec (24)  20000,Total - Sex,      Greek,41980,13455,745,23965,3815
Quebec - Québec (24)  20000,Total - Sex,      Arabic,76280,7025,23210,42020,4040
Quebec - Québec (24)  20000,Total - Sex,      Tagalog (Pilipino),9550,6615,80,2740,110
Quebec - Québec (24)  20000,Total - Sex,      Hungarian,7315,2800,405,3855,255
Quebec - Québec (24)  20000,Total - Sex,      Vietnamese,21635,1855,6130,11080,2565
Quebec - Québec (24)  20000,Total - Sex,      Cree,11810,6980,170,2625,2040
Quebec - Québec (24)  20000,Total - Sex,      Persian (Farsi),10495,2555,1500,5260,1175
Quebec - Québec (24)  20000,Total - Sex,      Croatian,2470,625,390,1345,105
Quebec - Québec (24)  20000,Total - Sex,      Gujarati,5800,3005,110,1985,705
Quebec - Québec (24)  20000,Total - Sex,      Korean,3090,1320,130,1295,340
Quebec - Québec (24)  20000,Total - Sex,      Russian,12420,3195,2170,5995,1055
Quebec - Québec (24)  20000,Total - Sex,      Hindi,1850,1035,0,700,110
Quebec - Québec (24)  20000,Total - Sex,      Tamil,11095,6205,430,2915,1540
Quebec - Québec (24)  20000,Total - Sex,      Japanese,1420,820,95,440,65
Quebec - Québec (24)  20000,Total - Sex,      Creoles,34885,225,21515,11815,1330
Quebec - Québec (24)  20000,Total - Sex,      Finnish,460,255,0,205,0
Quebec - Québec (24)  20000,Total - Sex,      Czech,1720,540,80,1095,10
Quebec - Québec (24)  20000,Total - Sex,      Armenian,13935,1260,1325,10210,1145
Quebec - Québec (24)  20000,Total - Sex,      Yiddish,9320,4660,10,3555,1090
Quebec - Québec (24)  20000,Total - Sex,      Urdu,6050,3185,265,2050,555
Quebec - Québec (24)  20000,Total - Sex,      Inuktitut (Eskimo),8615,4330,960,1030,2295
Quebec - Québec (24)  20000,Total - Sex,      Romanian,12660,605,2480,9040,535
Quebec - Québec (24)  20000,Total - Sex,      Ojibway,20,20,0,0,0
Quebec - Québec (24)  20000,Total - Sex,      Danish,465,200,10,255,0
Quebec - Québec (24)  20000,Total - Sex,      Slovak,1470,340,60,1055,15
Quebec - Québec (24)  20000,Total - Sex,      Macedonian,95,15,20,65,0
Quebec - Québec (24)  20000,Total - Sex,      Khmer (Cambodian),7420,385,3165,2945,920
Quebec - Québec (24)  20000,Total - Sex,      Norwegian,320,130,15,180,0
Quebec - Québec (24)  20000,Total - Sex,      Hebrew,2970,850,145,1920,50
Quebec - Québec (24)  20000,Total - Sex,      Estonian,275,145,10,105,10
Quebec - Québec (24)  20000,Total - Sex,      Swedish,560,285,10,260,15
Quebec - Québec (24)  20000,Total - Sex,      Lao,4320,130,1910,1865,410
Quebec - Québec (24)  20000,Total - Sex,      Lithuanian,895,340,25,520,10
Quebec - Québec (24)  20000,Total - Sex,      Serbian,1600,285,485,710,120
Quebec - Québec (24)  20000,Total - Sex,      Latvian (Lettish),470,205,15,255,0
Quebec - Québec (24)  20000,Total - Sex,      Slovenian,850,365,20,465,0
Quebec - Québec (24)  20000,Total - Sex,      Turkish,3760,720,1010,1430,600
Quebec - Québec (24)  20000,Total - Sex,      Bengali,6845,3605,265,2025,955
Quebec - Québec (24)  20000,Total - Sex,      Maltese,25,10,0,15,0
Quebec - Québec (24)  20000,Total - Sex,      Flemish,660,30,120,505,0
