Geography,Sex (3),Detailed Mother,Total - Knowledge of official languages,  English only,  French only,  English and French,  Neither English nor French
Saskatchewan (47)  20000,Total - Sex,Total - Detailed mother tongue,963150,910645,360,49000,3145
Saskatchewan (47)  20000,Total - Sex,  Single responses,953500,902465,355,47555,3120
Saskatchewan (47)  20000,Total - Sex,    English,817955,788245,15,29605,85
Saskatchewan (47)  20000,Total - Sex,    French,17780,1900,270,15605,10
Saskatchewan (47)  20000,Total - Sex,    Non-official languages,117765,112315,75,2350,3025
Saskatchewan (47)  20000,Total - Sex,      Italian,890,780,0,100,15
Saskatchewan (47)  20000,Total - Sex,      Cantonese,1430,1185,10,90,145
Saskatchewan (47)  20000,Total - Sex,      Mandarin,395,350,0,10,35
Saskatchewan (47)  20000,Total - Sex,      Hakka,20,20,0,0,0
Saskatchewan (47)  20000,Total - Sex,"      Chinese, n.o.s.",4170,3580,0,100,485
Saskatchewan (47)  20000,Total - Sex,      German,32515,31780,20,380,335
Saskatchewan (47)  20000,Total - Sex,      Portuguese,400,340,0,40,20
Saskatchewan (47)  20000,Total - Sex,      Polish,3010,2880,0,110,30
Saskatchewan (47)  20000,Total - Sex,      Ukrainian,19650,19345,10,255,45
Saskatchewan (47)  20000,Total - Sex,      Spanish,1970,1690,0,170,110
Saskatchewan (47)  20000,Total - Sex,      Dutch,1930,1815,0,110,10
Saskatchewan (47)  20000,Total - Sex,      Punjabi,540,460,0,25,50
Saskatchewan (47)  20000,Total - Sex,      Greek,980,885,0,70,25
Saskatchewan (47)  20000,Total - Sex,      Arabic,1090,935,0,110,35
Saskatchewan (47)  20000,Total - Sex,      Tagalog (Pilipino),1545,1475,10,35,25
Saskatchewan (47)  20000,Total - Sex,      Hungarian,2705,2620,0,45,40
Saskatchewan (47)  20000,Total - Sex,      Vietnamese,1390,1190,0,35,155
Saskatchewan (47)  20000,Total - Sex,      Cree,22055,21280,0,130,640
Saskatchewan (47)  20000,Total - Sex,      Persian (Farsi),420,385,0,10,25
Saskatchewan (47)  20000,Total - Sex,      Croatian,430,395,0,25,10
Saskatchewan (47)  20000,Total - Sex,      Gujarati,225,215,0,0,0
Saskatchewan (47)  20000,Total - Sex,      Korean,425,410,0,0,10
Saskatchewan (47)  20000,Total - Sex,      Russian,1440,1370,0,40,25
Saskatchewan (47)  20000,Total - Sex,      Hindi,320,305,0,10,15
Saskatchewan (47)  20000,Total - Sex,      Tamil,190,160,0,25,0
Saskatchewan (47)  20000,Total - Sex,      Japanese,185,175,0,10,10
Saskatchewan (47)  20000,Total - Sex,      Creoles,40,20,0,15,0
Saskatchewan (47)  20000,Total - Sex,      Finnish,435,415,0,15,0
Saskatchewan (47)  20000,Total - Sex,      Czech,415,390,0,25,0
Saskatchewan (47)  20000,Total - Sex,      Armenian,0,0,0,10,0
Saskatchewan (47)  20000,Total - Sex,      Yiddish,25,20,0,0,0
Saskatchewan (47)  20000,Total - Sex,      Urdu,425,405,0,0,20
Saskatchewan (47)  20000,Total - Sex,      Inuktitut (Eskimo),50,50,0,0,0
Saskatchewan (47)  20000,Total - Sex,      Romanian,775,700,10,45,20
Saskatchewan (47)  20000,Total - Sex,      Ojibway,1375,1350,0,0,15
Saskatchewan (47)  20000,Total - Sex,      Danish,430,415,0,15,0
Saskatchewan (47)  20000,Total - Sex,      Slovak,95,95,0,0,0
Saskatchewan (47)  20000,Total - Sex,      Macedonian,0,0,0,0,0
Saskatchewan (47)  20000,Total - Sex,      Khmer (Cambodian),165,140,0,0,30
Saskatchewan (47)  20000,Total - Sex,      Norwegian,1265,1260,10,0,0
Saskatchewan (47)  20000,Total - Sex,      Hebrew,0,10,0,0,0
Saskatchewan (47)  20000,Total - Sex,      Estonian,35,35,0,0,0
Saskatchewan (47)  20000,Total - Sex,      Swedish,525,515,0,10,0
Saskatchewan (47)  20000,Total - Sex,      Lao,275,240,0,15,20
Saskatchewan (47)  20000,Total - Sex,      Lithuanian,80,70,0,10,0
Saskatchewan (47)  20000,Total - Sex,      Serbian,210,195,0,0,15
Saskatchewan (47)  20000,Total - Sex,      Latvian (Lettish),25,25,0,0,0
Saskatchewan (47)  20000,Total - Sex,      Slovenian,85,80,0,0,0
Saskatchewan (47)  20000,Total - Sex,      Turkish,45,45,0,0,0
Saskatchewan (47)  20000,Total - Sex,      Bengali,70,65,0,0,10
Saskatchewan (47)  20000,Total - Sex,      Maltese,0,0,0,0,0
Saskatchewan (47)  20000,Total - Sex,      Flemish,115,100,0,10,0
Saskatchewan (47)  20000,Total - Sex,      Montagnais-Naskapi,0,0,0,0,0
Saskatchewan (47)  20000,Total - Sex,      Bulgarian,20,15,0,0,0
Saskatchewan (47)  20000,Total - Sex,      Micmac,20,25,0,0,0
Saskatchewan (47)  20000,Total - Sex,      Gaelic languages,45,25,0,20,0
Saskatchewan (47)  20000,Total - Sex,      South Slave,10,10,0,0,0
Saskatchewan (47)  20000,Total - Sex,      Chipewyan,0,0,0,0,0
Saskatchewan (47)  20000,Total - Sex,      Dogrib,0,0,0,0,0
Saskatchewan (47)  20000,Total - Sex,      Kutchin-Gwich'in (Loucheux),0,0,0,0,0
Saskatchewan (47)  20000,Total - Sex,      Tlingit,0,0,0,0,0
Saskatchewan (47)  20000,Total - Sex,      Serbo-Croatian,585,535,0,10,40
Saskatchewan (47)  20000,Total - Sex,      Dakota/Sioux,345,350,0,0,0
Saskatchewan (47)  20000,Total - Sex,      Malay-Bahasa,70,45,0,0,20
Saskatchewan (47)  20000,Total - Sex,      Blackfoot,15,15,0,0,0
Saskatchewan (47)  20000,Total - Sex,      Malayalam,45,40,0,0,0
Saskatchewan (47)  20000,Total - Sex,      Thai,65,65,0,0,0
Saskatchewan (47)  20000,Total - Sex,      Kurdish,15,15,0,0,0
Saskatchewan (47)  20000,Total - Sex,      Pashto,0,0,0,0,0
Saskatchewan (47)  20000,Total - Sex,      Other languages,9240,8485,10,195,555
Saskatchewan (47)  20000,Total - Sex,  Multiple responses,9650,8185,0,1440,25
Saskatchewan (47)  20000,Total - Sex,    English and French,1375,325,0,1050,0
Saskatchewan (47)  20000,Total - Sex,    English and non-official language,7905,7690,0,190,25
Saskatchewan (47)  20000,Total - Sex,    French and non-official language,255,135,0,120,0
Saskatchewan (47)  20000,Total - Sex,"    English, French and non-official language",115,30,0,85,0
Saskatchewan (47)  20000,  Male,Total - Detailed mother tongue,475020,451690,195,21750,1385
Saskatchewan (47)  20000,  Male,  Single responses,470470,447875,190,21030,1370
Saskatchewan (47)  20000,  Male,    English,405630,393120,0,12465,45
Saskatchewan (47)  20000,  Male,    French,8575,910,160,7495,10
Saskatchewan (47)  20000,  Male,    Non-official languages,56260,53845,25,1075,1320
Saskatchewan (47)  20000,  Male,      Italian,525,460,0,55,10
