Geography,Sex (3),Detailed Mother,Total - Knowledge of official languages,  English only,  French only,  English and French,  Neither English nor French
Yukon Territory - Territoire du Yukon (60)  00000,Total - Sex,Total - Detailed mother tongue,28520,25505,45,2890,75
Yukon Territory - Territoire du Yukon (60)  00000,Total - Sex,  Single responses,28190,25275,45,2795,70
Yukon Territory - Territoire du Yukon (60)  00000,Total - Sex,    English,24590,22795,0,1790,10
Yukon Territory - Territoire du Yukon (60)  00000,Total - Sex,    French,895,70,35,790,0
Yukon Territory - Territoire du Yukon (60)  00000,Total - Sex,    Non-official languages,2705,2415,10,215,65
Yukon Territory - Territoire du Yukon (60)  00000,Total - Sex,      Italian,25,25,0,0,0
Yukon Territory - Territoire du Yukon (60)  00000,Total - Sex,      Cantonese,25,20,0,10,0
Yukon Territory - Territoire du Yukon (60)  00000,Total - Sex,      Mandarin,0,0,0,0,0
Yukon Territory - Territoire du Yukon (60)  00000,Total - Sex,      Hakka,0,0,0,0,0
Yukon Territory - Territoire du Yukon (60)  00000,Total - Sex,"      Chinese, n.o.s.",150,105,0,0,45
Yukon Territory - Territoire du Yukon (60)  00000,Total - Sex,      German,725,615,10,110,0
Yukon Territory - Territoire du Yukon (60)  00000,Total - Sex,      Portuguese,10,0,0,0,0
Yukon Territory - Territoire du Yukon (60)  00000,Total - Sex,      Polish,20,20,0,10,0
Yukon Territory - Territoire du Yukon (60)  00000,Total - Sex,      Ukrainian,50,50,0,0,0
Yukon Territory - Territoire du Yukon (60)  00000,Total - Sex,      Spanish,75,45,10,20,0
Yukon Territory - Territoire du Yukon (60)  00000,Total - Sex,      Dutch,100,85,0,10,0
Yukon Territory - Territoire du Yukon (60)  00000,Total - Sex,      Punjabi,70,75,0,0,0
Yukon Territory - Territoire du Yukon (60)  00000,Total - Sex,      Greek,10,10,0,0,0
Yukon Territory - Territoire du Yukon (60)  00000,Total - Sex,      Arabic,10,15,0,0,0
Yukon Territory - Territoire du Yukon (60)  00000,Total - Sex,      Tagalog (Pilipino),100,100,0,0,0
Yukon Territory - Territoire du Yukon (60)  00000,Total - Sex,      Hungarian,65,65,0,0,0
Yukon Territory - Territoire du Yukon (60)  00000,Total - Sex,      Vietnamese,65,60,0,10,0
Yukon Territory - Territoire du Yukon (60)  00000,Total - Sex,      Cree,15,15,0,10,0
Yukon Territory - Territoire du Yukon (60)  00000,Total - Sex,      Persian (Farsi),45,45,0,0,0
