Geography,Sex (3),Detailed mother,Total - Knowledge of official languages,  English only,  French only,  English and French,  Neither English nor French
Canada (01)   20000,Total - Sex,Total - Detailed mother tongue,31241030,21129945,4141850,5448850,520380
Canada (01)   20000,Total - Sex,  Single responses,30848270,20900700,4123710,5306190,517665
Canada (01)   20000,Total - Sex,    English,17882775,16199625,3205,1673865,6080
Canada (01)   20000,Total - Sex,    French,6817650,32705,3893010,2890835,1100
Canada (01)   20000,Total - Sex,    Non-official languages,6147840,4668370,227490,741490,510490
Canada (01)   20000,Total - Sex,      Algonquin,1920,235,1010,615,60
Canada (01)   20000,Total - Sex,      Atikamekw,5245,20,4220,140,860
Canada (01)   20000,Total - Sex,      Blackfoot,3085,3040,0,20,20
Canada (01)   20000,Total - Sex,      Carrier,1560,1540,0,15,0
Canada (01)   20000,Total - Sex,      Chilcotin,1070,995,20,30,25
Canada (01)   20000,Total - Sex,      Chipewyan,530,495,0,15,15
Canada (01)   20000,Total - Sex,      Cree,78855,71445,290,3700,3420
Canada (01)   20000,Total - Sex,      Siouan languages (Dakota/Sioux),5585,5460,10,45,70
Canada (01)   20000,Total - Sex,      Dene,9745,9245,10,40,460
Canada (01)   20000,Total - Sex,      Dogrib,2020,1900,0,10,105
Canada (01)   20000,Total - Sex,      Gitksan,1175,1170,10,10,0
Canada (01)   20000,Total - Sex,      Inuinnaqtun,365,350,0,0,15
Canada (01)   20000,Total - Sex,"      Inuktitut, n.i.e.",32015,24865,815,1640,4700
Canada (01)   20000,Total - Sex,      Kutchin-Gwich'in (Loucheux),355,355,0,0,0
Canada (01)   20000,Total - Sex,      Malecite,535,505,0,25,0
Canada (01)   20000,Total - Sex,      Mi'kmaq,7365,6980,25,280,80
Canada (01)   20000,Total - Sex,      Mohawk,290,205,0,80,0
Canada (01)   20000,Total - Sex,      Montagnais-Naskapi,10975,1855,7125,925,1065
Canada (01)   20000,Total - Sex,      Nisga'a,680,670,0,0,10
Canada (01)   20000,Total - Sex,      North Slave (Hare),1065,1005,0,10,50
Canada (01)   20000,Total - Sex,      Ojibway,24190,23325,20,160,685
Canada (01)   20000,Total - Sex,      Oji-Cree,11690,10755,0,55,875
Canada (01)   20000,Total - Sex,      Shuswap,935,905,15,10,0
Canada (01)   20000,Total - Sex,      South Slave,1605,1495,0,35,75
Canada (01)   20000,Total - Sex,      Tlingit,85,80,0,0,0
Canada (01)   20000,Total - Sex,      Italian,455040,283625,22445,116990,31975
Canada (01)   20000,Total - Sex,      Portuguese,219270,152410,11755,31965,23140
Canada (01)   20000,Total - Sex,      Romanian,78500,36865,6995,30825,3815
Canada (01)   20000,Total - Sex,      Spanish,345345,201205,46380,71575,26185
Canada (01)   20000,Total - Sex,      Danish,18735,17400,0,1285,40
Canada (01)   20000,Total - Sex,      Dutch,128905,115530,415,12200,765
Canada (01)   20000,Total - Sex,      Flemish,5665,3735,210,1700,15
Canada (01)   20000,Total - Sex,      Frisian,2890,2725,10,140,30
Canada (01)   20000,Total - Sex,      German,450570,401955,2140,34855,11620
Canada (01)   20000,Total - Sex,      Norwegian,7225,6650,10,565,0
Canada (01)   20000,Total - Sex,      Swedish,8220,6960,55,1165,35
Canada (01)   20000,Total - Sex,      Yiddish,16295,10765,80,4085,1365
Canada (01)   20000,Total - Sex,      Bosnian,12790,9550,1035,1350,855
Canada (01)   20000,Total - Sex,      Bulgarian,16790,10165,1285,4590,755
Canada (01)   20000,Total - Sex,      Croatian,55335,49015,360,4475,1485
Canada (01)   20000,Total - Sex,      Czech,24450,20845,160,3245,195
Canada (01)   20000,Total - Sex,      Macedonian,18440,16555,50,850,985
Canada (01)   20000,Total - Sex,      Polish,211175,176175,2125,24990,7880
Canada (01)   20000,Total - Sex,      Russian,133575,102955,3680,18095,8840
Canada (01)   20000,Total - Sex,      Serbian,51665,42820,665,5160,3020
Canada (01)   20000,Total - Sex,      Serbo-Croatian,12510,8485,1075,2295,655
Canada (01)   20000,Total - Sex,      Slovak,18825,16340,70,2030,380
Canada (01)   20000,Total - Sex,      Slovenian,13135,11505,75,1400,155
Canada (01)   20000,Total - Sex,      Ukrainian,134500,122345,485,9235,2435
Canada (01)   20000,Total - Sex,      Latvian,6995,6010,0,940,45
Canada (01)   20000,Total - Sex,      Lithuanian,8335,6855,50,1305,120
Canada (01)   20000,Total - Sex,      Estonian,8245,7000,35,1150,60
Canada (01)   20000,Total - Sex,      Finnish,21030,19410,50,1290,280
Canada (01)   20000,Total - Sex,      Hungarian,73335,61940,590,9175,1630
Canada (01)   20000,Total - Sex,      Greek,117285,79490,1215,28810,7765
Canada (01)   20000,Total - Sex,      Armenian,30130,11515,1470,15285,1860
Canada (01)   20000,Total - Sex,      Turkish,24745,17160,2055,3380,2140
Canada (01)   20000,Total - Sex,      Amharic,14555,13085,65,905,490
Canada (01)   20000,Total - Sex,      Arabic,261635,128845,36195,82380,14220
Canada (01)   20000,Total - Sex,      Hebrew,17635,13100,215,3970,345
Canada (01)   20000,Total - Sex,      Maltese,6405,6155,15,215,20
Canada (01)   20000,Total - Sex,      Somali,27320,22155,475,2910,1780
Canada (01)   20000,Total - Sex,      Tigrigna,7110,6280,75,380,370
Canada (01)   20000,Total - Sex,      Bengali,45680,37560,545,5010,2565
Canada (01)   20000,Total - Sex,      Gujarati,81465,69120,250,4950,7145
Canada (01)   20000,Total - Sex,      Hindi,78235,71065,65,3775,3330
Canada (01)   20000,Total - Sex,      Kurdish,7660,5740,515,575,830
Canada (01)   20000,Total - Sex,      Panjabi (Punjabi),367505,295165,465,13350,58530
Canada (01)   20000,Total - Sex,      Pashto,9030,7310,70,515,1130
Canada (01)   20000,Total - Sex,      Persian (Farsi),134080,105205,2860,15020,10995
Canada (01)   20000,Total - Sex,      Sindhi,10355,9080,0,865,410
Canada (01)   20000,Total - Sex,      Sinhala (Sinhalese),10185,9480,10,455,235
Canada (01)   20000,Total - Sex,      Urdu,145805,127730,555,7630,9890
Canada (01)   20000,Total - Sex,      Malayalam,11925,11170,10,425,325
Canada (01)   20000,Total - Sex,      Tamil,115875,98425,495,6905,10045
Canada (01)   20000,Total - Sex,      Telugu,6625,6135,0,275,220
Canada (01)   20000,Total - Sex,      Japanese,40200,35700,205,1870,2425
Canada (01)   20000,Total - Sex,      Korean,125570,106265,315,5390,13605
Canada (01)   20000,Total - Sex,      Cantonese,361450,274340,950,14730,71430
Canada (01)   20000,Total - Sex,"      Chinese, n.o.s.",456705,343325,6615,26315,80450
Canada (01)   20000,Total - Sex,      Mandarin,170955,136695,985,7070,26200
Canada (01)   20000,Total - Sex,      Taiwanese,9620,7530,10,560,1520
Canada (01)   20000,Total - Sex,      Lao,13940,8060,2045,2735,1095
Canada (01)   20000,Total - Sex,      Khmer (Cambodian),19100,9655,2520,4500,2425
Canada (01)   20000,Total - Sex,      Vietnamese,141625,97310,7355,18260,18700
Canada (01)   20000,Total - Sex,      Bisayan languages,11240,10850,15,230,145
Canada (01)   20000,Total - Sex,      Ilocano,13450,12680,0,450,325
Canada (01)   20000,Total - Sex,      Malay,9495,8870,20,375,230
Canada (01)   20000,Total - Sex,"      Tagalog (Pilipino, Filipino)",235620,225885,100,6650,2985
Canada (01)   20000,Total - Sex,      Akan (Twi),12780,11510,10,1025,235
Canada (01)   20000,Total - Sex,      Swahili,7935,4600,1325,1750,265
Canada (01)   20000,Total - Sex,      Creoles,53515,4045,27325,20375,1765
Canada (01)   20000,Total - Sex,      Other languages,172650,123355,14220,24375,10695
Canada (01)   20000,Total - Sex,  Multiple responses,392760,229240,18140,142660,2715
Canada (01)   20000,Total - Sex,    English and French,98625,10460,2050,86060,50
Canada (01)   20000,Total - Sex,    English and non-official language,240005,213180,385,24330,2110
Canada (01)   20000,Total - Sex,    French and non-official language,43335,4325,15420,23125,465
Canada (01)   20000,Total - Sex,"    English, French and non-official language",10790,1270,290,9140,85
Canada (01)   20000,  Male,Total - Detailed mother tongue,15326270,10507190,1915265,2698870,204945
Canada (01)   20000,  Male,  Single responses,15135295,10394805,1907120,2629700,203670
Canada (01)   20000,  Male,    English,8833110,8078115,1585,750425,2985
Canada (01)   20000,  Male,    French,3325530,15135,1803570,1506275,550
Canada (01)   20000,  Male,    Non-official languages,2976660,2301555,101965,372995,200135
Canada (01)   20000,  Male,      Algonquin,890,95,465,305,20
Canada (01)   20000,  Male,      Atikamekw,2660,10,2140,80,435
Canada (01)   20000,  Male,      Blackfoot,1500,1480,0,15,10
Canada (01)   20000,  Male,      Carrier,735,730,0,0,0
Canada (01)   20000,  Male,      Chilcotin,470,440,10,15,10
Canada (01)   20000,  Male,      Chipewyan,260,255,0,10,10
Canada (01)   20000,  Male,      Cree,38110,34370,135,1830,1770
