Geography,Sex (3),Detailed mother,Total - Knowledge of official languages,  English only,  French only,  English and French,  Neither English nor French
Manitoba (46)   00010,Total - Sex,Total - Detailed mother tongue,1133515,1017565,1930,103525,10495
Manitoba (46)   00010,Total - Sex,  Single responses,1118690,1005485,1910,100855,10440
Manitoba (46)   00010,Total - Sex,    English,838415,783545,40,54640,195
Manitoba (46)   00010,Total - Sex,    French,43955,2680,1695,39575,10
Manitoba (46)   00010,Total - Sex,    Non-official languages,236320,219260,175,6645,10245
Manitoba (46)   00010,Total - Sex,      Algonquin,0,0,0,0,0
Manitoba (46)   00010,Total - Sex,      Atikamekw,0,0,0,0,0
Manitoba (46)   00010,Total - Sex,      Blackfoot,20,15,0,0,0
Manitoba (46)   00010,Total - Sex,      Carrier,10,0,0,0,0
Manitoba (46)   00010,Total - Sex,      Chilcotin,0,0,0,0,0
Manitoba (46)   00010,Total - Sex,      Chipewyan,0,0,0,0,0
Manitoba (46)   00010,Total - Sex,      Cree,19110,18540,35,80,450
Manitoba (46)   00010,Total - Sex,      Siouan languages (Dakota/Sioux),630,625,0,0,0
Manitoba (46)   00010,Total - Sex,      Dene,885,810,0,10,75
Manitoba (46)   00010,Total - Sex,      Dogrib,0,10,0,0,0
Manitoba (46)   00010,Total - Sex,      Gitksan,0,0,0,0,0
Manitoba (46)   00010,Total - Sex,      Inuinnaqtun,0,0,0,0,0
Manitoba (46)   00010,Total - Sex,"      Inuktitut, n.i.e.",140,140,0,0,0
Manitoba (46)   00010,Total - Sex,      Kutchin-Gwich'in (Loucheux),0,0,0,0,0
Manitoba (46)   00010,Total - Sex,      Malecite,0,0,0,0,0
Manitoba (46)   00010,Total - Sex,      Mi'kmaq,0,0,0,0,0
Manitoba (46)   00010,Total - Sex,      Mohawk,0,0,0,0,0
Manitoba (46)   00010,Total - Sex,      Montagnais-Naskapi,0,0,0,0,0
Manitoba (46)   00010,Total - Sex,      Nisga'a,0,0,0,0,0
Manitoba (46)   00010,Total - Sex,      North Slave (Hare),0,0,0,0,0
Manitoba (46)   00010,Total - Sex,      Ojibway,9330,9065,0,35,230
