Geography,Sex (3),Detailed mother,Total - Knowledge of official languages,  English only,  French only,  English and French,  Neither English nor French
New Brunswick / Nouveau-Brunswick (13)   00000,Total - Sex,Total - Detailed mother tongue,719650,405045,73750,240090,765
New Brunswick / Nouveau-Brunswick (13)   00000,Total - Sex,  Single responses,714490,404255,73630,235845,770
New Brunswick / Nouveau-Brunswick (13)   00000,Total - Sex,    English,463195,388820,85,74220,70
New Brunswick / Nouveau-Brunswick (13)   00000,Total - Sex,    French,232980,1410,73030,158520,15
New Brunswick / Nouveau-Brunswick (13)   00000,Total - Sex,    Non-official languages,18320,14020,515,3100,680
New Brunswick / Nouveau-Brunswick (13)   00000,Total - Sex,      Algonquin,0,0,0,0,0
New Brunswick / Nouveau-Brunswick (13)   00000,Total - Sex,      Atikamekw,0,0,0,0,0
New Brunswick / Nouveau-Brunswick (13)   00000,Total - Sex,      Blackfoot,0,0,0,0,0
New Brunswick / Nouveau-Brunswick (13)   00000,Total - Sex,      Carrier,0,0,0,0,0
New Brunswick / Nouveau-Brunswick (13)   00000,Total - Sex,      Chilcotin,0,0,0,0,0
New Brunswick / Nouveau-Brunswick (13)   00000,Total - Sex,      Chipewyan,0,0,0,0,0
New Brunswick / Nouveau-Brunswick (13)   00000,Total - Sex,      Cree,0,0,0,0,0
New Brunswick / Nouveau-Brunswick (13)   00000,Total - Sex,      Siouan languages (Dakota/Sioux),0,0,0,0,0
New Brunswick / Nouveau-Brunswick (13)   00000,Total - Sex,      Dene,0,0,0,0,0
New Brunswick / Nouveau-Brunswick (13)   00000,Total - Sex,      Dogrib,0,0,0,0,0
New Brunswick / Nouveau-Brunswick (13)   00000,Total - Sex,      Gitksan,0,0,0,0,0
New Brunswick / Nouveau-Brunswick (13)   00000,Total - Sex,      Inuinnaqtun,0,0,0,0,0
New Brunswick / Nouveau-Brunswick (13)   00000,Total - Sex,"      Inuktitut, n.i.e.",10,0,0,0,0
New Brunswick / Nouveau-Brunswick (13)   00000,Total - Sex,      Kutchin-Gwich'in (Loucheux),0,0,0,0,0
New Brunswick / Nouveau-Brunswick (13)   00000,Total - Sex,      Malecite,490,465,0,25,0
New Brunswick / Nouveau-Brunswick (13)   00000,Total - Sex,      Mi'kmaq,2520,2400,0,95,15
New Brunswick / Nouveau-Brunswick (13)   00000,Total - Sex,      Mohawk,0,0,0,0,0
New Brunswick / Nouveau-Brunswick (13)   00000,Total - Sex,      Montagnais-Naskapi,35,20,0,10,0
New Brunswick / Nouveau-Brunswick (13)   00000,Total - Sex,      Nisga'a,0,0,0,0,0
New Brunswick / Nouveau-Brunswick (13)   00000,Total - Sex,      North Slave (Hare),0,0,0,0,0
New Brunswick / Nouveau-Brunswick (13)   00000,Total - Sex,      Ojibway,0,10,0,0,0
New Brunswick / Nouveau-Brunswick (13)   00000,Total - Sex,      Oji-Cree,0,0,0,0,0
New Brunswick / Nouveau-Brunswick (13)   00000,Total - Sex,      Shuswap,0,0,0,0,0
New Brunswick / Nouveau-Brunswick (13)   00000,Total - Sex,      South Slave,0,0,0,0,0
New Brunswick / Nouveau-Brunswick (13)   00000,Total - Sex,      Tlingit,0,0,0,0,0
New Brunswick / Nouveau-Brunswick (13)   00000,Total - Sex,      Italian,590,365,10,195,20
New Brunswick / Nouveau-Brunswick (13)   00000,Total - Sex,      Portuguese,210,115,10,80,10
New Brunswick / Nouveau-Brunswick (13)   00000,Total - Sex,      Romanian,145,45,25,65,0
New Brunswick / Nouveau-Brunswick (13)   00000,Total - Sex,      Spanish,1040,735,20,215,70
New Brunswick / Nouveau-Brunswick (13)   00000,Total - Sex,      Danish,385,325,0,35,20
New Brunswick / Nouveau-Brunswick (13)   00000,Total - Sex,      Dutch,1290,985,40,260,10
New Brunswick / Nouveau-Brunswick (13)   00000,Total - Sex,      Flemish,25,10,0,15,0
New Brunswick / Nouveau-Brunswick (13)   00000,Total - Sex,      Frisian,40,40,0,0,0
New Brunswick / Nouveau-Brunswick (13)   00000,Total - Sex,      German,1935,1470,35,420,10
New Brunswick / Nouveau-Brunswick (13)   00000,Total - Sex,      Norwegian,65,70,0,0,0
New Brunswick / Nouveau-Brunswick (13)   00000,Total - Sex,      Swedish,40,40,0,0,0
New Brunswick / Nouveau-Brunswick (13)   00000,Total - Sex,      Yiddish,35,40,0,0,0
New Brunswick / Nouveau-Brunswick (13)   00000,Total - Sex,      Bosnian,115,90,0,25,0
New Brunswick / Nouveau-Brunswick (13)   00000,Total - Sex,      Bulgarian,15,0,0,15,0
New Brunswick / Nouveau-Brunswick (13)   00000,Total - Sex,      Croatian,165,110,0,50,0
New Brunswick / Nouveau-Brunswick (13)   00000,Total - Sex,      Czech,50,40,0,10,0
New Brunswick / Nouveau-Brunswick (13)   00000,Total - Sex,      Macedonian,10,10,0,0,0
New Brunswick / Nouveau-Brunswick (13)   00000,Total - Sex,      Polish,220,165,0,50,0
New Brunswick / Nouveau-Brunswick (13)   00000,Total - Sex,      Russian,315,260,0,45,10
New Brunswick / Nouveau-Brunswick (13)   00000,Total - Sex,      Serbian,95,50,0,20,20
New Brunswick / Nouveau-Brunswick (13)   00000,Total - Sex,      Serbo-Croatian,30,25,0,10,0
New Brunswick / Nouveau-Brunswick (13)   00000,Total - Sex,      Slovak,15,15,0,10,0
New Brunswick / Nouveau-Brunswick (13)   00000,Total - Sex,      Slovenian,15,15,0,0,0
New Brunswick / Nouveau-Brunswick (13)   00000,Total - Sex,      Ukrainian,140,110,0,30,0
New Brunswick / Nouveau-Brunswick (13)   00000,Total - Sex,      Latvian,25,15,0,15,0
New Brunswick / Nouveau-Brunswick (13)   00000,Total - Sex,      Lithuanian,15,15,0,0,0
