Geography,Sex (3),Detailed mother,Total - Knowledge of official languages,  English only,  French only,  English and French,  Neither English nor French
Northwest Territories / Territoires du Nord-Ouest (61)   00000,Total - Sex,Total - Detailed mother tongue,41060,37010,50,3665,325
Northwest Territories / Territoires du Nord-Ouest (61)   00000,Total - Sex,  Single responses,40680,36680,50,3620,325
Northwest Territories / Territoires du Nord-Ouest (61)   00000,Total - Sex,    English,31545,29100,0,2430,0
Northwest Territories / Territoires du Nord-Ouest (61)   00000,Total - Sex,    French,970,50,40,875,0
Northwest Territories / Territoires du Nord-Ouest (61)   00000,Total - Sex,    Non-official languages,8165,7525,0,310,320
Northwest Territories / Territoires du Nord-Ouest (61)   00000,Total - Sex,      Algonquin,0,0,0,0,0
Northwest Territories / Territoires du Nord-Ouest (61)   00000,Total - Sex,      Atikamekw,0,0,0,0,0
Northwest Territories / Territoires du Nord-Ouest (61)   00000,Total - Sex,      Blackfoot,0,0,0,0,0
Northwest Territories / Territoires du Nord-Ouest (61)   00000,Total - Sex,      Carrier,0,0,0,0,0
Northwest Territories / Territoires du Nord-Ouest (61)   00000,Total - Sex,      Chilcotin,0,0,0,0,0
Northwest Territories / Territoires du Nord-Ouest (61)   00000,Total - Sex,      Chipewyan,390,365,0,15,10
Northwest Territories / Territoires du Nord-Ouest (61)   00000,Total - Sex,      Cree,190,180,0,10,0
Northwest Territories / Territoires du Nord-Ouest (61)   00000,Total - Sex,      Siouan languages (Dakota/Sioux),0,0,0,0,0
Northwest Territories / Territoires du Nord-Ouest (61)   00000,Total - Sex,      Dene,50,45,0,10,0
Northwest Territories / Territoires du Nord-Ouest (61)   00000,Total - Sex,      Dogrib,1945,1830,0,10,105
Northwest Territories / Territoires du Nord-Ouest (61)   00000,Total - Sex,      Gitksan,0,0,0,0,0
Northwest Territories / Territoires du Nord-Ouest (61)   00000,Total - Sex,      Inuinnaqtun,55,45,0,0,10
Northwest Territories / Territoires du Nord-Ouest (61)   00000,Total - Sex,"      Inuktitut, n.i.e.",700,675,0,15,10
Northwest Territories / Territoires du Nord-Ouest (61)   00000,Total - Sex,      Kutchin-Gwich'in (Loucheux),195,195,0,0,0
Northwest Territories / Territoires du Nord-Ouest (61)   00000,Total - Sex,      Malecite,0,0,0,0,0
Northwest Territories / Territoires du Nord-Ouest (61)   00000,Total - Sex,      Mi'kmaq,0,0,0,0,0
Northwest Territories / Territoires du Nord-Ouest (61)   00000,Total - Sex,      Mohawk,0,0,0,0,0
Northwest Territories / Territoires du Nord-Ouest (61)   00000,Total - Sex,      Montagnais-Naskapi,0,0,0,0,0
Northwest Territories / Territoires du Nord-Ouest (61)   00000,Total - Sex,      Nisga'a,0,0,0,0,0
Northwest Territories / Territoires du Nord-Ouest (61)   00000,Total - Sex,      North Slave (Hare),835,785,0,10,35
Northwest Territories / Territoires du Nord-Ouest (61)   00000,Total - Sex,      Ojibway,40,35,0,0,0
Northwest Territories / Territoires du Nord-Ouest (61)   00000,Total - Sex,      Oji-Cree,0,0,0,0,0
Northwest Territories / Territoires du Nord-Ouest (61)   00000,Total - Sex,      Shuswap,0,10,0,0,0
Northwest Territories / Territoires du Nord-Ouest (61)   00000,Total - Sex,      South Slave,1285,1200,0,20,65
Northwest Territories / Territoires du Nord-Ouest (61)   00000,Total - Sex,      Tlingit,0,0,0,0,0
Northwest Territories / Territoires du Nord-Ouest (61)   00000,Total - Sex,      Italian,55,45,0,0,10
Northwest Territories / Territoires du Nord-Ouest (61)   00000,Total - Sex,      Portuguese,25,20,0,0,0
Northwest Territories / Territoires du Nord-Ouest (61)   00000,Total - Sex,      Romanian,10,10,0,0,0
Northwest Territories / Territoires du Nord-Ouest (61)   00000,Total - Sex,      Spanish,85,70,0,15,0
Northwest Territories / Territoires du Nord-Ouest (61)   00000,Total - Sex,      Danish,15,15,0,0,0
Northwest Territories / Territoires du Nord-Ouest (61)   00000,Total - Sex,      Dutch,95,70,0,25,0
Northwest Territories / Territoires du Nord-Ouest (61)   00000,Total - Sex,      Flemish,0,0,0,0,0
Northwest Territories / Territoires du Nord-Ouest (61)   00000,Total - Sex,      Frisian,0,0,0,0,0
Northwest Territories / Territoires du Nord-Ouest (61)   00000,Total - Sex,      German,190,165,0,25,0
Northwest Territories / Territoires du Nord-Ouest (61)   00000,Total - Sex,      Norwegian,10,0,0,0,0
Northwest Territories / Territoires du Nord-Ouest (61)   00000,Total - Sex,      Swedish,0,10,0,0,0
Northwest Territories / Territoires du Nord-Ouest (61)   00000,Total - Sex,      Yiddish,0,0,0,0,0
Northwest Territories / Territoires du Nord-Ouest (61)   00000,Total - Sex,      Bosnian,0,0,0,0,0
Northwest Territories / Territoires du Nord-Ouest (61)   00000,Total - Sex,      Bulgarian,15,10,0,10,0
Northwest Territories / Territoires du Nord-Ouest (61)   00000,Total - Sex,      Croatian,15,10,0,10,0
