Geography,Sex (3),Detailed mother,Total - Knowledge of official languages,  English only,  French only,  English and French,  Neither English nor French
Nova Scotia / Nouvelle-Écosse (12)   01000,Total - Sex,Total - Detailed mother tongue,903090,805690,1000,95010,1385
Nova Scotia / Nouvelle-Écosse (12)   01000,Total - Sex,  Single responses,899270,803895,1000,93000,1375
Nova Scotia / Nouvelle-Écosse (12)   01000,Total - Sex,    English,832105,772555,0,59475,70
Nova Scotia / Nouvelle-Écosse (12)   01000,Total - Sex,    French,32540,1460,970,30110,0
Nova Scotia / Nouvelle-Écosse (12)   01000,Total - Sex,    Non-official languages,34620,29875,30,3420,1305
Nova Scotia / Nouvelle-Écosse (12)   01000,Total - Sex,      Algonquin,0,0,0,0,0
Nova Scotia / Nouvelle-Écosse (12)   01000,Total - Sex,      Atikamekw,0,0,0,0,0
Nova Scotia / Nouvelle-Écosse (12)   01000,Total - Sex,      Blackfoot,0,0,0,0,0
Nova Scotia / Nouvelle-Écosse (12)   01000,Total - Sex,      Carrier,0,0,0,0,0
Nova Scotia / Nouvelle-Écosse (12)   01000,Total - Sex,      Chilcotin,0,0,0,0,0
Nova Scotia / Nouvelle-Écosse (12)   01000,Total - Sex,      Chipewyan,0,10,0,0,0
Nova Scotia / Nouvelle-Écosse (12)   01000,Total - Sex,      Cree,15,10,0,0,0
Nova Scotia / Nouvelle-Écosse (12)   01000,Total - Sex,      Siouan languages (Dakota/Sioux),0,0,0,0,0
Nova Scotia / Nouvelle-Écosse (12)   01000,Total - Sex,      Dene,0,0,0,0,0
Nova Scotia / Nouvelle-Écosse (12)   01000,Total - Sex,      Dogrib,0,0,0,0,0
Nova Scotia / Nouvelle-Écosse (12)   01000,Total - Sex,      Gitksan,0,0,0,0,0
Nova Scotia / Nouvelle-Écosse (12)   01000,Total - Sex,      Inuinnaqtun,0,0,0,0,0
Nova Scotia / Nouvelle-Écosse (12)   01000,Total - Sex,"      Inuktitut, n.i.e.",15,15,0,0,0
Nova Scotia / Nouvelle-Écosse (12)   01000,Total - Sex,      Kutchin-Gwich'in (Loucheux),0,0,0,0,0
Nova Scotia / Nouvelle-Écosse (12)   01000,Total - Sex,      Malecite,35,35,0,0,0
Nova Scotia / Nouvelle-Écosse (12)   01000,Total - Sex,      Mi'kmaq,4065,3980,0,35,45
Nova Scotia / Nouvelle-Écosse (12)   01000,Total - Sex,      Mohawk,0,0,0,0,0
Nova Scotia / Nouvelle-Écosse (12)   01000,Total - Sex,      Montagnais-Naskapi,0,0,0,0,0
Nova Scotia / Nouvelle-Écosse (12)   01000,Total - Sex,      Nisga'a,0,0,0,0,0
Nova Scotia / Nouvelle-Écosse (12)   01000,Total - Sex,      North Slave (Hare),0,0,0,0,0
Nova Scotia / Nouvelle-Écosse (12)   01000,Total - Sex,      Ojibway,10,0,0,0,0
Nova Scotia / Nouvelle-Écosse (12)   01000,Total - Sex,      Oji-Cree,0,0,0,0,0
Nova Scotia / Nouvelle-Écosse (12)   01000,Total - Sex,      Shuswap,0,0,0,0,0
Nova Scotia / Nouvelle-Écosse (12)   01000,Total - Sex,      South Slave,0,0,0,0,0
Nova Scotia / Nouvelle-Écosse (12)   01000,Total - Sex,      Tlingit,0,0,0,0,0
Nova Scotia / Nouvelle-Écosse (12)   01000,Total - Sex,      Italian,900,740,0,150,15
Nova Scotia / Nouvelle-Écosse (12)   01000,Total - Sex,      Portuguese,560,500,0,45,15
Nova Scotia / Nouvelle-Écosse (12)   01000,Total - Sex,      Romanian,170,130,0,40,0
Nova Scotia / Nouvelle-Écosse (12)   01000,Total - Sex,      Spanish,1310,1070,10,170,55
