Geography,Sex (3),Detailed mother,Total - Knowledge of official languages,  English only,  French only,  English and French,  Neither English nor French
Nunavut (62)   00010,Total - Sex,Total - Detailed mother tongue,29325,25835,20,1170,2305
Nunavut (62)   00010,Total - Sex,  Single responses,29020,25560,20,1140,2300
Nunavut (62)   00010,Total - Sex,    English,7765,7155,0,610,0
Nunavut (62)   00010,Total - Sex,    French,370,15,10,345,0
Nunavut (62)   00010,Total - Sex,    Non-official languages,20885,18395,10,185,2300
Nunavut (62)   00010,Total - Sex,      Algonquin,0,0,0,0,0
Nunavut (62)   00010,Total - Sex,      Atikamekw,0,0,0,0,0
Nunavut (62)   00010,Total - Sex,      Blackfoot,10,0,0,0,0
Nunavut (62)   00010,Total - Sex,      Carrier,0,0,0,0,0
Nunavut (62)   00010,Total - Sex,      Chilcotin,0,0,0,0,0
Nunavut (62)   00010,Total - Sex,      Chipewyan,0,10,0,0,0
Nunavut (62)   00010,Total - Sex,      Cree,20,15,0,0,0
Nunavut (62)   00010,Total - Sex,      Siouan languages (Dakota/Sioux),0,0,0,0,0
Nunavut (62)   00010,Total - Sex,      Dene,0,0,0,0,0
Nunavut (62)   00010,Total - Sex,      Dogrib,10,10,0,0,0
Nunavut (62)   00010,Total - Sex,      Gitksan,0,0,0,0,0
Nunavut (62)   00010,Total - Sex,      Inuinnaqtun,295,285,0,0,0
Nunavut (62)   00010,Total - Sex,"      Inuktitut, n.i.e.",20185,17775,15,115,2280
Nunavut (62)   00010,Total - Sex,      Kutchin-Gwich'in (Loucheux),10,0,0,0,0
Nunavut (62)   00010,Total - Sex,      Malecite,0,0,0,0,0
Nunavut (62)   00010,Total - Sex,      Mi'kmaq,0,0,0,0,0
Nunavut (62)   00010,Total - Sex,      Mohawk,0,0,0,0,0
Nunavut (62)   00010,Total - Sex,      Montagnais-Naskapi,0,0,0,0,0
Nunavut (62)   00010,Total - Sex,      Nisga'a,0,0,0,0,0
