Geography,Sex (3),Detailed mother,Total - Knowledge of official languages,  English only,  French only,  English and French,  Neither English nor French
Ontario (35)   20010,Total - Sex,Total - Detailed mother tongue,12028895,10335700,49205,1377330,266655
Ontario (35)   20010,Total - Sex,  Single responses,11853565,10207710,48420,1332095,265335
Ontario (35)   20010,Total - Sex,    English,8230705,7533390,260,694060,2995
Ontario (35)   20010,Total - Sex,    French,488810,14020,42740,431950,105
Ontario (35)   20010,Total - Sex,    Non-official languages,3134045,2660300,5420,206085,262235
Ontario (35)   20010,Total - Sex,      Algonquin,35,20,0,15,0
Ontario (35)   20010,Total - Sex,      Atikamekw,0,0,0,10,0
Ontario (35)   20010,Total - Sex,      Blackfoot,10,0,0,10,0
Ontario (35)   20010,Total - Sex,      Carrier,0,0,0,0,0
Ontario (35)   20010,Total - Sex,      Chilcotin,0,0,0,0,0
Ontario (35)   20010,Total - Sex,      Chipewyan,15,10,0,0,0
Ontario (35)   20010,Total - Sex,      Cree,3495,3190,0,105,195
Ontario (35)   20010,Total - Sex,      Siouan languages (Dakota/Sioux),30,25,0,10,0
Ontario (35)   20010,Total - Sex,      Dene,10,10,0,0,0
Ontario (35)   20010,Total - Sex,      Dogrib,25,30,0,0,0
Ontario (35)   20010,Total - Sex,      Gitksan,0,0,0,0,0
Ontario (35)   20010,Total - Sex,      Inuinnaqtun,0,0,0,0,0
Ontario (35)   20010,Total - Sex,"      Inuktitut, n.i.e.",390,330,0,15,45
Ontario (35)   20010,Total - Sex,      Kutchin-Gwich'in (Loucheux),0,0,0,0,0
Ontario (35)   20010,Total - Sex,      Malecite,0,0,0,0,0
Ontario (35)   20010,Total - Sex,      Mi'kmaq,80,55,0,25,0
Ontario (35)   20010,Total - Sex,      Mohawk,135,115,0,15,0
Ontario (35)   20010,Total - Sex,      Montagnais-Naskapi,10,15,0,0,0
Ontario (35)   20010,Total - Sex,      Nisga'a,10,0,0,0,0
Ontario (35)   20010,Total - Sex,      North Slave (Hare),0,0,0,0,0
Ontario (35)   20010,Total - Sex,      Ojibway,12255,11740,15,100,400
Ontario (35)   20010,Total - Sex,      Oji-Cree,6230,5690,0,15,530
Ontario (35)   20010,Total - Sex,      Shuswap,0,0,0,0,0
Ontario (35)   20010,Total - Sex,      South Slave,0,0,0,0,0
Ontario (35)   20010,Total - Sex,      Tlingit,0,0,0,0,0
Ontario (35)   20010,Total - Sex,      Italian,282750,236835,315,22685,22920
Ontario (35)   20010,Total - Sex,      Portuguese,155310,125790,385,9775,19365
Ontario (35)   20010,Total - Sex,      Romanian,38780,26820,125,9805,2030
Ontario (35)   20010,Total - Sex,      Spanish,160280,131590,390,14775,13520
Ontario (35)   20010,Total - Sex,      Danish,6185,5840,0,340,0
Ontario (35)   20010,Total - Sex,      Dutch,68180,62840,30,4960,350
Ontario (35)   20010,Total - Sex,      Flemish,3180,2500,0,665,10
Ontario (35)   20010,Total - Sex,      Frisian,1600,1495,0,80,20
Ontario (35)   20010,Total - Sex,      German,158000,141715,95,11940,4250
Ontario (35)   20010,Total - Sex,      Norwegian,1075,895,0,170,0
Ontario (35)   20010,Total - Sex,      Swedish,2685,2285,0,390,10
Ontario (35)   20010,Total - Sex,      Yiddish,6725,5650,0,830,240
Ontario (35)   20010,Total - Sex,      Bosnian,6630,5555,30,530,510
Ontario (35)   20010,Total - Sex,      Bulgarian,8595,7095,10,1175,325
Ontario (35)   20010,Total - Sex,      Croatian,37635,34340,20,2180,1090
Ontario (35)   20010,Total - Sex,      Czech,12065,10590,35,1335,105
Ontario (35)   20010,Total - Sex,      Macedonian,17615,15975,0,690,950
Ontario (35)   20010,Total - Sex,      Polish,140890,124350,85,10790,5665
Ontario (35)   20010,Total - Sex,      Russian,78765,67055,90,5805,5815
Ontario (35)   20010,Total - Sex,      Serbian,38760,33385,65,2930,2380
Ontario (35)   20010,Total - Sex,      Serbo-Croatian,5925,4855,0,655,420
Ontario (35)   20010,Total - Sex,      Slovak,10635,9645,0,720,265
Ontario (35)   20010,Total - Sex,      Slovenian,9105,8290,0,700,115
Ontario (35)   20010,Total - Sex,      Ukrainian,48310,42995,15,3650,1650
Ontario (35)   20010,Total - Sex,      Latvian,5185,4585,0,560,40
Ontario (35)   20010,Total - Sex,      Lithuanian,6340,5600,0,635,105
Ontario (35)   20010,Total - Sex,      Estonian,6230,5450,0,745,30
Ontario (35)   20010,Total - Sex,      Finnish,13735,12715,15,775,220
Ontario (35)   20010,Total - Sex,      Hungarian,43195,38790,0,3380,1020
Ontario (35)   20010,Total - Sex,      Greek,61325,54205,25,3935,3165
Ontario (35)   20010,Total - Sex,      Armenian,13355,9425,10,3120,810
Ontario (35)   20010,Total - Sex,      Turkish,14500,12375,15,1030,1080
Ontario (35)   20010,Total - Sex,      Amharic,8050,7345,0,445,250
Ontario (35)   20010,Total - Sex,      Arabic,114725,87815,670,19275,6960
Ontario (35)   20010,Total - Sex,      Hebrew,10835,9510,25,1105,190
Ontario (35)   20010,Total - Sex,      Maltese,6065,5880,0,155,20
Ontario (35)   20010,Total - Sex,      Somali,21425,17630,250,2150,1395
Ontario (35)   20010,Total - Sex,      Tigrigna,4700,4325,10,165,210
Ontario (35)   20010,Total - Sex,      Bengali,30415,27530,40,1570,1270
Ontario (35)   20010,Total - Sex,      Gujarati,61035,53325,30,2075,5605
Ontario (35)   20010,Total - Sex,      Hindi,41160,37760,0,1710,1685
Ontario (35)   20010,Total - Sex,      Kurdish,4230,3565,30,205,435
Ontario (35)   20010,Total - Sex,      Panjabi (Punjabi),152645,126215,45,4875,21520
Ontario (35)   20010,Total - Sex,      Pashto,6125,5375,0,175,570
Ontario (35)   20010,Total - Sex,      Persian (Farsi),79740,68100,110,5090,6440
Ontario (35)   20010,Total - Sex,      Sindhi,6390,5595,0,500,285
Ontario (35)   20010,Total - Sex,      Sinhala (Sinhalese),7030,6680,0,215,130
Ontario (35)   20010,Total - Sex,      Urdu,114820,104010,25,3300,7480
