Geography,Sex (3),Detailed mother,Total - Knowledge of official languages,  English only,  French only,  English and French,  Neither English nor French
Prince Edward Island / Île-du-Prince-Édouard (11)   00000,Total - Sex,Total - Detailed mother tongue,134205,116990,55,17100,55
Prince Edward Island / Île-du-Prince-Édouard (11)   00000,Total - Sex,  Single responses,133570,116735,55,16720,55
Prince Edward Island / Île-du-Prince-Édouard (11)   00000,Total - Sex,    English,125260,113745,10,11495,10
Prince Edward Island / Île-du-Prince-Édouard (11)   00000,Total - Sex,    French,5345,340,55,4955,0
Prince Edward Island / Île-du-Prince-Édouard (11)   00000,Total - Sex,    Non-official languages,2960,2645,0,270,40
Prince Edward Island / Île-du-Prince-Édouard (11)   00000,Total - Sex,      Algonquin,0,0,0,0,0
Prince Edward Island / Île-du-Prince-Édouard (11)   00000,Total - Sex,      Atikamekw,0,0,0,0,0
Prince Edward Island / Île-du-Prince-Édouard (11)   00000,Total - Sex,      Blackfoot,0,0,0,0,0
Prince Edward Island / Île-du-Prince-Édouard (11)   00000,Total - Sex,      Carrier,0,0,0,0,0
Prince Edward Island / Île-du-Prince-Édouard (11)   00000,Total - Sex,      Chilcotin,0,0,0,0,0
Prince Edward Island / Île-du-Prince-Édouard (11)   00000,Total - Sex,      Chipewyan,0,0,0,0,0
Prince Edward Island / Île-du-Prince-Édouard (11)   00000,Total - Sex,      Cree,0,0,0,0,0
Prince Edward Island / Île-du-Prince-Édouard (11)   00000,Total - Sex,      Siouan languages (Dakota/Sioux),0,0,0,0,0
Prince Edward Island / Île-du-Prince-Édouard (11)   00000,Total - Sex,      Dene,0,0,0,0,0
Prince Edward Island / Île-du-Prince-Édouard (11)   00000,Total - Sex,      Dogrib,0,0,0,0,0
Prince Edward Island / Île-du-Prince-Édouard (11)   00000,Total - Sex,      Gitksan,0,0,0,0,0
Prince Edward Island / Île-du-Prince-Édouard (11)   00000,Total - Sex,      Inuinnaqtun,0,0,0,0,0
Prince Edward Island / Île-du-Prince-Édouard (11)   00000,Total - Sex,"      Inuktitut, n.i.e.",15,15,0,0,0
Prince Edward Island / Île-du-Prince-Édouard (11)   00000,Total - Sex,      Kutchin-Gwich'in (Loucheux),0,0,0,0,0
Prince Edward Island / Île-du-Prince-Édouard (11)   00000,Total - Sex,      Malecite,0,0,0,0,0
Prince Edward Island / Île-du-Prince-Édouard (11)   00000,Total - Sex,      Mi'kmaq,90,90,0,0,0
Prince Edward Island / Île-du-Prince-Édouard (11)   00000,Total - Sex,      Mohawk,0,0,0,0,0
Prince Edward Island / Île-du-Prince-Édouard (11)   00000,Total - Sex,      Montagnais-Naskapi,0,0,0,0,0
Prince Edward Island / Île-du-Prince-Édouard (11)   00000,Total - Sex,      Nisga'a,0,0,0,0,0
Prince Edward Island / Île-du-Prince-Édouard (11)   00000,Total - Sex,      North Slave (Hare),0,0,0,0,0
Prince Edward Island / Île-du-Prince-Édouard (11)   00000,Total - Sex,      Ojibway,0,10,0,0,0
Prince Edward Island / Île-du-Prince-Édouard (11)   00000,Total - Sex,      Oji-Cree,0,0,0,0,0
Prince Edward Island / Île-du-Prince-Édouard (11)   00000,Total - Sex,      Shuswap,0,0,0,0,0
Prince Edward Island / Île-du-Prince-Édouard (11)   00000,Total - Sex,      South Slave,0,0,0,0,0
Prince Edward Island / Île-du-Prince-Édouard (11)   00000,Total - Sex,      Tlingit,0,0,0,0,0
Prince Edward Island / Île-du-Prince-Édouard (11)   00000,Total - Sex,      Italian,60,35,0,20,0
Prince Edward Island / Île-du-Prince-Édouard (11)   00000,Total - Sex,      Portuguese,10,10,0,10,0
