Geography,Sex (3),Detailed mother,Total - Knowledge of official languages,  English only,  French only,  English and French,  Neither English nor French
Yukon Territory / Territoire du Yukon (60)   00010,Total - Sex,Total - Detailed mother tongue,30190,26515,105,3445,130
Yukon Territory / Territoire du Yukon (60)   00010,Total - Sex,  Single responses,29940,26365,105,3340,125
Yukon Territory / Territoire du Yukon (60)   00010,Total - Sex,    English,25655,23595,0,2040,10
Yukon Territory / Territoire du Yukon (60)   00010,Total - Sex,    French,1105,30,85,985,0
Yukon Territory / Territoire du Yukon (60)   00010,Total - Sex,    Non-official languages,3180,2735,20,310,120
Yukon Territory / Territoire du Yukon (60)   00010,Total - Sex,      Algonquin,0,0,0,0,0
Yukon Territory / Territoire du Yukon (60)   00010,Total - Sex,      Atikamekw,0,0,0,0,0
Yukon Territory / Territoire du Yukon (60)   00010,Total - Sex,      Blackfoot,0,0,0,0,0
Yukon Territory / Territoire du Yukon (60)   00010,Total - Sex,      Carrier,0,0,0,0,0
Yukon Territory / Territoire du Yukon (60)   00010,Total - Sex,      Chilcotin,0,0,0,0,0
Yukon Territory / Territoire du Yukon (60)   00010,Total - Sex,      Chipewyan,0,0,0,0,0
Yukon Territory / Territoire du Yukon (60)   00010,Total - Sex,      Cree,50,55,0,0,0
Yukon Territory / Territoire du Yukon (60)   00010,Total - Sex,      Siouan languages (Dakota/Sioux),0,0,0,0,0
Yukon Territory / Territoire du Yukon (60)   00010,Total - Sex,      Dene,10,0,0,0,0
Yukon Territory / Territoire du Yukon (60)   00010,Total - Sex,      Dogrib,10,0,0,0,0
Yukon Territory / Territoire du Yukon (60)   00010,Total - Sex,      Gitksan,10,10,0,0,0
Yukon Territory / Territoire du Yukon (60)   00010,Total - Sex,      Inuinnaqtun,0,10,0,0,0
Yukon Territory / Territoire du Yukon (60)   00010,Total - Sex,"      Inuktitut, n.i.e.",55,45,0,0,0
Yukon Territory / Territoire du Yukon (60)   00010,Total - Sex,      Kutchin-Gwich'in (Loucheux),75,70,0,0,0
Yukon Territory / Territoire du Yukon (60)   00010,Total - Sex,      Malecite,0,0,0,0,0
Yukon Territory / Territoire du Yukon (60)   00010,Total - Sex,      Mi'kmaq,0,0,0,0,0
Yukon Territory / Territoire du Yukon (60)   00010,Total - Sex,      Mohawk,0,0,0,0,0
Yukon Territory / Territoire du Yukon (60)   00010,Total - Sex,      Montagnais-Naskapi,0,0,0,0,0
Yukon Territory / Territoire du Yukon (60)   00010,Total - Sex,      Nisga'a,10,0,0,0,0
Yukon Territory / Territoire du Yukon (60)   00010,Total - Sex,      North Slave (Hare),35,30,0,0,0
Yukon Territory / Territoire du Yukon (60)   00010,Total - Sex,      Ojibway,0,0,0,0,0
Yukon Territory / Territoire du Yukon (60)   00010,Total - Sex,      Oji-Cree,0,0,0,0,0
Yukon Territory / Territoire du Yukon (60)   00010,Total - Sex,      Shuswap,0,0,0,0,0
Yukon Territory / Territoire du Yukon (60)   00010,Total - Sex,      South Slave,15,10,0,0,0
Yukon Territory / Territoire du Yukon (60)   00010,Total - Sex,      Tlingit,70,65,0,10,0
Yukon Territory / Territoire du Yukon (60)   00010,Total - Sex,      Italian,25,15,0,10,0
Yukon Territory / Territoire du Yukon (60)   00010,Total - Sex,      Portuguese,10,10,0,0,0
Yukon Territory / Territoire du Yukon (60)   00010,Total - Sex,      Romanian,0,0,0,0,0
Yukon Territory / Territoire du Yukon (60)   00010,Total - Sex,      Spanish,130,95,0,20,15
Yukon Territory / Territoire du Yukon (60)   00010,Total - Sex,      Danish,15,15,0,0,0
Yukon Territory / Territoire du Yukon (60)   00010,Total - Sex,      Dutch,140,110,0,30,0
Yukon Territory / Territoire du Yukon (60)   00010,Total - Sex,      Flemish,0,0,0,0,0
Yukon Territory / Territoire du Yukon (60)   00010,Total - Sex,      Frisian,0,0,0,0,0
Yukon Territory / Territoire du Yukon (60)   00010,Total - Sex,      German,775,625,10,145,10
Yukon Territory / Territoire du Yukon (60)   00010,Total - Sex,      Norwegian,10,10,0,0,0
Yukon Territory / Territoire du Yukon (60)   00010,Total - Sex,      Swedish,10,0,0,0,0
Yukon Territory / Territoire du Yukon (60)   00010,Total - Sex,      Yiddish,0,0,0,0,0
Yukon Territory / Territoire du Yukon (60)   00010,Total - Sex,      Bosnian,0,0,0,0,0
Yukon Territory / Territoire du Yukon (60)   00010,Total - Sex,      Bulgarian,15,15,0,0,0
Yukon Territory / Territoire du Yukon (60)   00010,Total - Sex,      Croatian,10,0,0,0,0
Yukon Territory / Territoire du Yukon (60)   00010,Total - Sex,      Czech,35,35,0,0,0
Yukon Territory / Territoire du Yukon (60)   00010,Total - Sex,      Macedonian,10,0,0,0,0
Yukon Territory / Territoire du Yukon (60)   00010,Total - Sex,      Polish,20,15,0,10,0
Yukon Territory / Territoire du Yukon (60)   00010,Total - Sex,      Russian,55,35,0,15,10
Yukon Territory / Territoire du Yukon (60)   00010,Total - Sex,      Serbian,10,10,0,0,0
Yukon Territory / Territoire du Yukon (60)   00010,Total - Sex,      Serbo-Croatian,15,10,0,0,0
Yukon Territory / Territoire du Yukon (60)   00010,Total - Sex,      Slovak,20,20,0,0,0
Yukon Territory / Territoire du Yukon (60)   00010,Total - Sex,      Slovenian,45,40,0,10,0
