Geography,Sex (3),Detailed mother,Total - Knowledge of official languages,  English only,  French only,  English and French,  Neither English nor French
Alberta (48)   20000,Total - Sex,Total - Detailed mother tongue,3610185.0,3321810.0,3210.0,235570.0,49600.0
Alberta (48)   20000,Total - Sex,  Single responses,3547680.0,3270365.0,3020.0,225060.0,49230.0
Alberta (48)   20000,Total - Sex,    English,2780200.0,2640415.0,120.0,138765.0,895.0
Alberta (48)   20000,Total - Sex,    French,68545.0,7590.0,2090.0,58835.0,25.0
Alberta (48)   20000,Total - Sex,    Non-official languages,698930.0,622360.0,805.0,27455.0,48310.0
Alberta (48)   20000,Total - Sex,      Aboriginal languages,25875.0,25515.0,5.0,210.0,145.0
Alberta (48)   20000,Total - Sex,        Algonquian languages,20165.0,19895.0,5.0,155.0,110.0
Alberta (48)   20000,Total - Sex,          Algonquin,5.0,5.0,0.0,0.0,0.0
Alberta (48)   20000,Total - Sex,          Atikamekw,0.0,0.0,0.0,0.0,0.0
Alberta (48)   20000,Total - Sex,          Blackfoot,2790.0,2775.0,5.0,5.0,10.0
Alberta (48)   20000,Total - Sex,          Cree languages,16880.0,16655.0,5.0,140.0,85.0
Alberta (48)   20000,Total - Sex,"            Cree, n.o.s.",16745.0,16520.0,5.0,140.0,85.0
Alberta (48)   20000,Total - Sex,            Swampy Cree,0.0,0.0,0.0,0.0,0.0
Alberta (48)   20000,Total - Sex,            Plains Cree,120.0,120.0,0.0,0.0,0.0
Alberta (48)   20000,Total - Sex,            Woods Cree,15.0,15.0,0.0,0.0,0.0
Alberta (48)   20000,Total - Sex,"            Cree, n.i.e.",0.0,0.0,0.0,0.0,0.0
Alberta (48)   20000,Total - Sex,          Malecite,5.0,0.0,0.0,0.0,0.0
Alberta (48)   20000,Total - Sex,          Mi'kmaq,20.0,20.0,0.0,0.0,0.0
Alberta (48)   20000,Total - Sex,          Innu/Montagnais,0.0,0.0,0.0,0.0,0.0
Alberta (48)   20000,Total - Sex,          Naskapi,0.0,0.0,0.0,0.0,0.0
Alberta (48)   20000,Total - Sex,          Ojibway,450.0,430.0,0.0,10.0,10.0
Alberta (48)   20000,Total - Sex,          Oji-Cree,10.0,10.0,0.0,0.0,0.0
Alberta (48)   20000,Total - Sex,"          Algonquian languages, n.i.e.",5.0,0.0,0.0,0.0,0.0
Alberta (48)   20000,Total - Sex,        Michif,55.0,50.0,0.0,10.0,0.0
Alberta (48)   20000,Total - Sex,        Athapaskan languages,2115.0,2080.0,0.0,15.0,30.0
Alberta (48)   20000,Total - Sex,          Carrier,5.0,5.0,0.0,0.0,0.0
Alberta (48)   20000,Total - Sex,          Wetsuweten,5.0,0.0,0.0,0.0,0.0
Alberta (48)   20000,Total - Sex,          Chilcotin,5.0,5.0,0.0,0.0,0.0
Alberta (48)   20000,Total - Sex,          Dene,1680.0,1650.0,0.0,10.0,20.0
Alberta (48)   20000,Total - Sex,          Tlicho (Dogrib),30.0,25.0,0.0,0.0,5.0
Alberta (48)   20000,Total - Sex,          Gwich'in,15.0,15.0,0.0,0.0,5.0
Alberta (48)   20000,Total - Sex,          North Slavey (Hare),10.0,5.0,0.0,0.0,0.0
Alberta (48)   20000,Total - Sex,          South Slavey,100.0,100.0,0.0,0.0,0.0
Alberta (48)   20000,Total - Sex,"          Slavey, n.o.s.",85.0,80.0,0.0,0.0,5.0
Alberta (48)   20000,Total - Sex,          Sarcee,110.0,105.0,0.0,0.0,0.0
Alberta (48)   20000,Total - Sex,          Beaver,55.0,50.0,0.0,0.0,0.0
Alberta (48)   20000,Total - Sex,          Sekani,0.0,0.0,0.0,0.0,0.0
Alberta (48)   20000,Total - Sex,          Kaska (Nahani),0.0,0.0,0.0,0.0,0.0
Alberta (48)   20000,Total - Sex,          Tahltan,10.0,5.0,0.0,0.0,0.0
Alberta (48)   20000,Total - Sex,          Northern Tutchone,5.0,0.0,0.0,0.0,0.0
Alberta (48)   20000,Total - Sex,          Southern Tutchone,0.0,0.0,0.0,0.0,0.0
Alberta (48)   20000,Total - Sex,"          Tutchone, n.o.s.",0.0,0.0,0.0,0.0,0.0
Alberta (48)   20000,Total - Sex,"          Athapaskan languages, n.i.e.",15.0,10.0,0.0,0.0,0.0
Alberta (48)   20000,Total - Sex,        Haida,5.0,0.0,0.0,0.0,0.0
Alberta (48)   20000,Total - Sex,        Iroquoian languages,20.0,20.0,0.0,5.0,0.0
Alberta (48)   20000,Total - Sex,          Mohawk,10.0,10.0,0.0,0.0,0.0
Alberta (48)   20000,Total - Sex,          Cayuga,0.0,0.0,0.0,0.0,0.0
Alberta (48)   20000,Total - Sex,          Oneida,5.0,5.0,0.0,0.0,0.0
Alberta (48)   20000,Total - Sex,"          Iroquoian languages, n.i.e.",5.0,5.0,0.0,0.0,0.0
Alberta (48)   20000,Total - Sex,        Kutenai,0.0,0.0,0.0,0.0,0.0
Alberta (48)   20000,Total - Sex,        Salish languages,20.0,20.0,0.0,0.0,0.0
Alberta (48)   20000,Total - Sex,          Shuswap (Secwepemctsin),10.0,5.0,0.0,0.0,0.0
Alberta (48)   20000,Total - Sex,          Thompson (Ntlakapamux),5.0,5.0,0.0,0.0,0.0
Alberta (48)   20000,Total - Sex,          Halkomelem,0.0,0.0,0.0,0.0,0.0
Alberta (48)   20000,Total - Sex,          Lillooet,0.0,0.0,0.0,0.0,0.0
Alberta (48)   20000,Total - Sex,          Okanagan,0.0,0.0,0.0,0.0,0.0
Alberta (48)   20000,Total - Sex,          Squamish,0.0,0.0,0.0,0.0,0.0
Alberta (48)   20000,Total - Sex,          Straits,0.0,0.0,0.0,0.0,0.0
Alberta (48)   20000,Total - Sex,"          Salish languages, n.i.e.",5.0,5.0,0.0,0.0,0.0
Alberta (48)   20000,Total - Sex,        Siouan languages,3290.0,3250.0,0.0,30.0,10.0
Alberta (48)   20000,Total - Sex,          Dakota,235.0,235.0,0.0,5.0,0.0
Alberta (48)   20000,Total - Sex,          Stoney,3035.0,3005.0,0.0,20.0,5.0
Alberta (48)   20000,Total - Sex,"          Siouan languages, n.i.e.",15.0,15.0,0.0,0.0,0.0
Alberta (48)   20000,Total - Sex,        Tlingit,5.0,5.0,0.0,0.0,0.0
Alberta (48)   20000,Total - Sex,        Tsimshian languages,10.0,10.0,0.0,0.0,0.0
Alberta (48)   20000,Total - Sex,          Gitksan,0.0,5.0,0.0,0.0,0.0
Alberta (48)   20000,Total - Sex,          Nisga'a,10.0,10.0,0.0,0.0,0.0
Alberta (48)   20000,Total - Sex,          Tsimshian,0.0,0.0,0.0,0.0,0.0
Alberta (48)   20000,Total - Sex,        Wakashan languages,5.0,5.0,0.0,0.0,0.0
Alberta (48)   20000,Total - Sex,          Nootka (Nuu-chah-nulth),0.0,5.0,0.0,0.0,0.0
Alberta (48)   20000,Total - Sex,          Haisla,0.0,0.0,0.0,0.0,0.0
Alberta (48)   20000,Total - Sex,          Heiltsuk,0.0,0.0,0.0,0.0,0.0
Alberta (48)   20000,Total - Sex,          Kwakiutl (Kwak'wala),0.0,0.0,0.0,0.0,0.0
Alberta (48)   20000,Total - Sex,"          Wakashan languages, n.i.e.",0.0,0.0,0.0,0.0,0.0
Alberta (48)   20000,Total - Sex,        Inuit languages,150.0,140.0,0.0,5.0,0.0
Alberta (48)   20000,Total - Sex,          Inuktitut,65.0,60.0,0.0,5.0,0.0
Alberta (48)   20000,Total - Sex,          Inuinnaqtun,5.0,5.0,0.0,0.0,0.0
Alberta (48)   20000,Total - Sex,          Inuvialuktun,30.0,30.0,0.0,0.0,0.0
Alberta (48)   20000,Total - Sex,"          Inuit languages, n.i.e.",55.0,55.0,0.0,0.0,0.0
Alberta (48)   20000,Total - Sex,"        Aboriginal languages, n.i.e.",40.0,35.0,0.0,0.0,0.0
Alberta (48)   20000,Total - Sex,      Romance languages,69975.0,58885.0,235.0,6680.0,4175.0
Alberta (48)   20000,Total - Sex,        Italian,11960.0,10450.0,15.0,1115.0,385.0
Alberta (48)   20000,Total - Sex,        Portuguese,7380.0,6370.0,15.0,590.0,410.0
Alberta (48)   20000,Total - Sex,        Romanian,6550.0,4855.0,15.0,1350.0,335.0
Alberta (48)   20000,Total - Sex,        Spanish,44015.0,37165.0,200.0,3620.0,3040.0
