Geography,Sex (3),Detailed mother,Total - Knowledge of official languages,  English only,  French only,  English and French,  Neither English nor French
British Columbia / Colombie-Britannique (59)   20000,Total - Sex,Total - Detailed mother tongue,4356205.0,3912955.0,2045.0,296645.0,144560.0
British Columbia / Colombie-Britannique (59)   20000,Total - Sex,  Single responses,4273930.0,3844110.0,1890.0,284020.0,143915.0
British Columbia / Colombie-Britannique (59)   20000,Total - Sex,    English,3062435.0,2870640.0,130.0,190075.0,1590.0
British Columbia / Colombie-Britannique (59)   20000,Total - Sex,    French,57280.0,7115.0,1095.0,49045.0,25.0
British Columbia / Colombie-Britannique (59)   20000,Total - Sex,    Non-official languages,1154215.0,966355.0,665.0,44900.0,142300.0
British Columbia / Colombie-Britannique (59)   20000,Total - Sex,      Aboriginal languages,9250.0,9055.0,0.0,140.0,60.0
British Columbia / Colombie-Britannique (59)   20000,Total - Sex,        Algonquian languages,1165.0,1110.0,0.0,45.0,10.0
British Columbia / Colombie-Britannique (59)   20000,Total - Sex,          Algonquin,5.0,5.0,0.0,5.0,0.0
British Columbia / Colombie-Britannique (59)   20000,Total - Sex,          Atikamekw,0.0,0.0,0.0,0.0,0.0
British Columbia / Colombie-Britannique (59)   20000,Total - Sex,          Blackfoot,35.0,35.0,0.0,0.0,0.0
British Columbia / Colombie-Britannique (59)   20000,Total - Sex,          Cree languages,960.0,920.0,0.0,30.0,5.0
British Columbia / Colombie-Britannique (59)   20000,Total - Sex,"            Cree, n.o.s.",955.0,920.0,0.0,35.0,5.0
British Columbia / Colombie-Britannique (59)   20000,Total - Sex,            Swampy Cree,0.0,0.0,0.0,0.0,0.0
British Columbia / Colombie-Britannique (59)   20000,Total - Sex,            Plains Cree,0.0,0.0,0.0,0.0,0.0
British Columbia / Colombie-Britannique (59)   20000,Total - Sex,            Woods Cree,0.0,0.0,0.0,0.0,0.0
British Columbia / Colombie-Britannique (59)   20000,Total - Sex,"            Cree, n.i.e.",0.0,0.0,0.0,0.0,0.0
British Columbia / Colombie-Britannique (59)   20000,Total - Sex,          Malecite,0.0,0.0,0.0,0.0,0.0
British Columbia / Colombie-Britannique (59)   20000,Total - Sex,          Mi'kmaq,15.0,10.0,0.0,5.0,0.0
British Columbia / Colombie-Britannique (59)   20000,Total - Sex,          Innu/Montagnais,0.0,0.0,0.0,5.0,0.0
British Columbia / Colombie-Britannique (59)   20000,Total - Sex,          Naskapi,0.0,0.0,0.0,0.0,0.0
British Columbia / Colombie-Britannique (59)   20000,Total - Sex,          Ojibway,145.0,135.0,0.0,5.0,0.0
British Columbia / Colombie-Britannique (59)   20000,Total - Sex,          Oji-Cree,0.0,0.0,0.0,0.0,0.0
British Columbia / Colombie-Britannique (59)   20000,Total - Sex,"          Algonquian languages, n.i.e.",0.0,0.0,0.0,0.0,0.0
British Columbia / Colombie-Britannique (59)   20000,Total - Sex,        Michif,30.0,20.0,0.0,5.0,0.0
British Columbia / Colombie-Britannique (59)   20000,Total - Sex,        Athapaskan languages,2690.0,2625.0,0.0,25.0,40.0
British Columbia / Colombie-Britannique (59)   20000,Total - Sex,          Carrier,1265.0,1245.0,0.0,20.0,0.0
British Columbia / Colombie-Britannique (59)   20000,Total - Sex,          Wetsuweten,120.0,115.0,0.0,0.0,0.0
British Columbia / Colombie-Britannique (59)   20000,Total - Sex,          Chilcotin,755.0,735.0,0.0,5.0,20.0
British Columbia / Colombie-Britannique (59)   20000,Total - Sex,          Dene,65.0,60.0,0.0,0.0,5.0
British Columbia / Colombie-Britannique (59)   20000,Total - Sex,          Tlicho (Dogrib),5.0,5.0,0.0,0.0,0.0
British Columbia / Colombie-Britannique (59)   20000,Total - Sex,          Gwich'in,5.0,10.0,0.0,0.0,0.0
British Columbia / Colombie-Britannique (59)   20000,Total - Sex,          North Slavey (Hare),5.0,5.0,0.0,0.0,0.0
British Columbia / Colombie-Britannique (59)   20000,Total - Sex,          South Slavey,15.0,10.0,0.0,0.0,0.0
British Columbia / Colombie-Britannique (59)   20000,Total - Sex,"          Slavey, n.o.s.",65.0,60.0,0.0,0.0,0.0
British Columbia / Colombie-Britannique (59)   20000,Total - Sex,          Sarcee,5.0,5.0,0.0,0.0,0.0
British Columbia / Colombie-Britannique (59)   20000,Total - Sex,          Beaver,185.0,185.0,0.0,0.0,0.0
British Columbia / Colombie-Britannique (59)   20000,Total - Sex,          Sekani,55.0,50.0,0.0,0.0,0.0
British Columbia / Colombie-Britannique (59)   20000,Total - Sex,          Kaska (Nahani),25.0,20.0,0.0,0.0,0.0
British Columbia / Colombie-Britannique (59)   20000,Total - Sex,          Tahltan,85.0,90.0,0.0,0.0,0.0
British Columbia / Colombie-Britannique (59)   20000,Total - Sex,          Northern Tutchone,5.0,10.0,0.0,0.0,0.0
British Columbia / Colombie-Britannique (59)   20000,Total - Sex,          Southern Tutchone,5.0,0.0,0.0,0.0,0.0
British Columbia / Colombie-Britannique (59)   20000,Total - Sex,"          Tutchone, n.o.s.",0.0,0.0,0.0,0.0,0.0
British Columbia / Colombie-Britannique (59)   20000,Total - Sex,"          Athapaskan languages, n.i.e.",20.0,20.0,0.0,0.0,0.0
British Columbia / Colombie-Britannique (59)   20000,Total - Sex,        Haida,40.0,40.0,0.0,0.0,0.0
British Columbia / Colombie-Britannique (59)   20000,Total - Sex,        Iroquoian languages,20.0,15.0,0.0,5.0,0.0
British Columbia / Colombie-Britannique (59)   20000,Total - Sex,          Mohawk,10.0,10.0,0.0,5.0,0.0
British Columbia / Colombie-Britannique (59)   20000,Total - Sex,          Cayuga,0.0,0.0,0.0,0.0,0.0
British Columbia / Colombie-Britannique (59)   20000,Total - Sex,          Oneida,0.0,0.0,0.0,0.0,0.0
