Geography,Sex (3),Detailed mother,Total - Knowledge of official languages,  English only,  French only,  English and French,  Neither English nor French
Newfoundland and Labrador / Terre-Neuve-et-Labrador (10)   00000,Total - Sex,Total - Detailed mother tongue,509950.0,485740.0,130.0,23455.0,625.0
Newfoundland and Labrador / Terre-Neuve-et-Labrador (10)   00000,Total - Sex,  Single responses,508830.0,485065.0,130.0,23015.0,620.0
Newfoundland and Labrador / Terre-Neuve-et-Labrador (10)   00000,Total - Sex,    English,497560.0,476755.0,25.0,20715.0,65.0
Newfoundland and Labrador / Terre-Neuve-et-Labrador (10)   00000,Total - Sex,    French,2480.0,600.0,95.0,1790.0,0.0
Newfoundland and Labrador / Terre-Neuve-et-Labrador (10)   00000,Total - Sex,    Non-official languages,8790.0,7710.0,15.0,515.0,550.0
Newfoundland and Labrador / Terre-Neuve-et-Labrador (10)   00000,Total - Sex,      Aboriginal languages,2715.0,2520.0,0.0,35.0,155.0
Newfoundland and Labrador / Terre-Neuve-et-Labrador (10)   00000,Total - Sex,        Algonquian languages,2050.0,1865.0,5.0,35.0,145.0
Newfoundland and Labrador / Terre-Neuve-et-Labrador (10)   00000,Total - Sex,          Algonquin,0.0,0.0,0.0,0.0,0.0
Newfoundland and Labrador / Terre-Neuve-et-Labrador (10)   00000,Total - Sex,          Atikamekw,0.0,0.0,0.0,0.0,0.0
Newfoundland and Labrador / Terre-Neuve-et-Labrador (10)   00000,Total - Sex,          Blackfoot,0.0,0.0,0.0,0.0,0.0
Newfoundland and Labrador / Terre-Neuve-et-Labrador (10)   00000,Total - Sex,          Cree languages,10.0,10.0,0.0,0.0,0.0
Newfoundland and Labrador / Terre-Neuve-et-Labrador (10)   00000,Total - Sex,"            Cree, n.o.s.",10.0,5.0,0.0,0.0,0.0
Newfoundland and Labrador / Terre-Neuve-et-Labrador (10)   00000,Total - Sex,            Swampy Cree,0.0,0.0,0.0,0.0,0.0
Newfoundland and Labrador / Terre-Neuve-et-Labrador (10)   00000,Total - Sex,            Plains Cree,0.0,0.0,0.0,0.0,0.0
Newfoundland and Labrador / Terre-Neuve-et-Labrador (10)   00000,Total - Sex,            Woods Cree,0.0,0.0,0.0,0.0,0.0
Newfoundland and Labrador / Terre-Neuve-et-Labrador (10)   00000,Total - Sex,"            Cree, n.i.e.",0.0,0.0,0.0,0.0,0.0
