Geography,Sex (3),Detailed mother,Total - Knowledge of official languages,  English only,  French only,  English and French,  Neither English nor French
Quebec / Québec (24)   20000,Total - Sex,Total - Detailed mother tongue,7815955.0,363860.0,4047175.0,3328725.0,76195.0
Quebec / Québec (24)   20000,Total - Sex,  Single responses,7663130.0,352615.0,4014445.0,3220655.0,75415.0
Quebec / Québec (24)   20000,Total - Sex,    English,599225.0,187430.0,5160.0,406130.0,505.0
Quebec / Québec (24)   20000,Total - Sex,    French,6102210.0,2490.0,3763870.0,2334525.0,1330.0
Quebec / Québec (24)   20000,Total - Sex,    Non-official languages,961700.0,162695.0,245425.0,480000.0,73580.0
Quebec / Québec (24)   20000,Total - Sex,      Aboriginal languages,43665.0,17320.0,13475.0,7720.0,5150.0
Quebec / Québec (24)   20000,Total - Sex,        Algonquian languages,32475.0,10990.0,12825.0,5670.0,2990.0
Quebec / Québec (24)   20000,Total - Sex,          Algonquin,1500.0,235.0,600.0,645.0,20.0
Quebec / Québec (24)   20000,Total - Sex,          Atikamekw,5820.0,0.0,4960.0,200.0,650.0
Quebec / Québec (24)   20000,Total - Sex,          Blackfoot,5.0,0.0,0.0,5.0,0.0
Quebec / Québec (24)   20000,Total - Sex,          Cree languages,15140.0,9745.0,110.0,3610.0,1675.0
Quebec / Québec (24)   20000,Total - Sex,"            Cree, n.o.s.",15135.0,9740.0,110.0,3610.0,1675.0
Quebec / Québec (24)   20000,Total - Sex,            Swampy Cree,0.0,0.0,0.0,0.0,0.0
Quebec / Québec (24)   20000,Total - Sex,            Plains Cree,0.0,0.0,0.0,0.0,0.0
Quebec / Québec (24)   20000,Total - Sex,            Woods Cree,0.0,0.0,0.0,0.0,0.0
Quebec / Québec (24)   20000,Total - Sex,"            Cree, n.i.e.",0.0,0.0,0.0,0.0,0.0
Quebec / Québec (24)   20000,Total - Sex,          Malecite,0.0,5.0,0.0,5.0,0.0
Quebec / Québec (24)   20000,Total - Sex,          Mi'kmaq,670.0,495.0,20.0,150.0,10.0
Quebec / Québec (24)   20000,Total - Sex,          Innu/Montagnais,8710.0,80.0,7110.0,955.0,565.0
Quebec / Québec (24)   20000,Total - Sex,          Naskapi,595.0,420.0,10.0,95.0,75.0
Quebec / Québec (24)   20000,Total - Sex,          Ojibway,25.0,10.0,5.0,10.0,0.0
Quebec / Québec (24)   20000,Total - Sex,          Oji-Cree,0.0,5.0,0.0,0.0,0.0
Quebec / Québec (24)   20000,Total - Sex,"          Algonquian languages, n.i.e.",5.0,0.0,0.0,5.0,0.0
Quebec / Québec (24)   20000,Total - Sex,        Michif,0.0,0.0,0.0,0.0,0.0
Quebec / Québec (24)   20000,Total - Sex,        Athapaskan languages,35.0,5.0,15.0,15.0,0.0
Quebec / Québec (24)   20000,Total - Sex,          Carrier,0.0,0.0,0.0,0.0,0.0
Quebec / Québec (24)   20000,Total - Sex,          Wetsuweten,0.0,0.0,0.0,0.0,0.0
Quebec / Québec (24)   20000,Total - Sex,          Chilcotin,0.0,0.0,0.0,0.0,0.0
Quebec / Québec (24)   20000,Total - Sex,          Dene,0.0,0.0,0.0,0.0,0.0
Quebec / Québec (24)   20000,Total - Sex,          Tlicho (Dogrib),0.0,0.0,0.0,0.0,0.0
Quebec / Québec (24)   20000,Total - Sex,          Gwich'in,0.0,0.0,0.0,0.0,0.0
Quebec / Québec (24)   20000,Total - Sex,          North Slavey (Hare),5.0,0.0,0.0,5.0,0.0
