Geography,Sex (3),Detailed mother,Total - Knowledge of official languages,  English only,  French only,  English and French,  Neither English nor French
Saskatchewan (47)   20000,Total - Sex,Total - Detailed mother tongue,1018310.0,965920.0,430.0,46570.0,5395.0
Saskatchewan (47)   20000,Total - Sex,  Single responses,1005810.0,955260.0,415.0,44820.0,5310.0
Saskatchewan (47)   20000,Total - Sex,    English,860500.0,831065.0,35.0,29235.0,165.0
Saskatchewan (47)   20000,Total - Sex,    French,16280.0,3065.0,290.0,12920.0,5.0
Saskatchewan (47)   20000,Total - Sex,    Non-official languages,129035.0,121130.0,90.0,2670.0,5145.0
Saskatchewan (47)   20000,Total - Sex,      Aboriginal languages,31455.0,30770.0,10.0,115.0,560.0
Saskatchewan (47)   20000,Total - Sex,        Algonquian languages,23015.0,22765.0,10.0,105.0,135.0
Saskatchewan (47)   20000,Total - Sex,          Algonquin,5.0,0.0,0.0,0.0,0.0
Saskatchewan (47)   20000,Total - Sex,          Atikamekw,0.0,0.0,0.0,0.0,0.0
Saskatchewan (47)   20000,Total - Sex,          Blackfoot,5.0,5.0,0.0,0.0,0.0
Saskatchewan (47)   20000,Total - Sex,          Cree languages,22035.0,21805.0,10.0,95.0,130.0
Saskatchewan (47)   20000,Total - Sex,"            Cree, n.o.s.",21945.0,21720.0,10.0,90.0,130.0
Saskatchewan (47)   20000,Total - Sex,            Swampy Cree,15.0,15.0,0.0,0.0,0.0
Saskatchewan (47)   20000,Total - Sex,            Plains Cree,25.0,25.0,0.0,0.0,0.0
Saskatchewan (47)   20000,Total - Sex,            Woods Cree,50.0,50.0,0.0,5.0,0.0
Saskatchewan (47)   20000,Total - Sex,"            Cree, n.i.e.",0.0,0.0,0.0,0.0,0.0
Saskatchewan (47)   20000,Total - Sex,          Malecite,0.0,0.0,0.0,0.0,0.0
Saskatchewan (47)   20000,Total - Sex,          Mi'kmaq,10.0,5.0,0.0,5.0,0.0
Saskatchewan (47)   20000,Total - Sex,          Innu/Montagnais,0.0,0.0,0.0,0.0,0.0
Saskatchewan (47)   20000,Total - Sex,          Naskapi,0.0,0.0,0.0,0.0,0.0
Saskatchewan (47)   20000,Total - Sex,          Ojibway,950.0,930.0,0.0,10.0,5.0
Saskatchewan (47)   20000,Total - Sex,          Oji-Cree,5.0,10.0,0.0,0.0,0.0
Saskatchewan (47)   20000,Total - Sex,"          Algonquian languages, n.i.e.",0.0,0.0,0.0,0.0,0.0
Saskatchewan (47)   20000,Total - Sex,        Michif,205.0,195.0,0.0,10.0,0.0
Saskatchewan (47)   20000,Total - Sex,        Athapaskan languages,7960.0,7540.0,0.0,0.0,420.0
Saskatchewan (47)   20000,Total - Sex,          Carrier,0.0,0.0,0.0,0.0,0.0
Saskatchewan (47)   20000,Total - Sex,          Wetsuweten,0.0,0.0,0.0,0.0,0.0
Saskatchewan (47)   20000,Total - Sex,          Chilcotin,0.0,0.0,0.0,0.0,0.0
Saskatchewan (47)   20000,Total - Sex,          Dene,7955.0,7535.0,0.0,0.0,420.0
Saskatchewan (47)   20000,Total - Sex,          Tlicho (Dogrib),0.0,5.0,0.0,0.0,0.0
Saskatchewan (47)   20000,Total - Sex,          Gwich'in,0.0,0.0,0.0,0.0,0.0
Saskatchewan (47)   20000,Total - Sex,          North Slavey (Hare),0.0,0.0,0.0,0.0,0.0
Saskatchewan (47)   20000,Total - Sex,          South Slavey,0.0,0.0,0.0,0.0,0.0
Saskatchewan (47)   20000,Total - Sex,"          Slavey, n.o.s.",0.0,0.0,0.0,0.0,0.0
Saskatchewan (47)   20000,Total - Sex,          Sarcee,5.0,0.0,0.0,0.0,0.0
Saskatchewan (47)   20000,Total - Sex,          Beaver,0.0,0.0,0.0,0.0,0.0
Saskatchewan (47)   20000,Total - Sex,          Sekani,0.0,0.0,0.0,0.0,0.0
Saskatchewan (47)   20000,Total - Sex,          Kaska (Nahani),0.0,0.0,0.0,0.0,0.0
Saskatchewan (47)   20000,Total - Sex,          Tahltan,0.0,0.0,0.0,0.0,0.0
Saskatchewan (47)   20000,Total - Sex,          Northern Tutchone,0.0,0.0,0.0,0.0,0.0
Saskatchewan (47)   20000,Total - Sex,          Southern Tutchone,0.0,0.0,0.0,0.0,0.0
Saskatchewan (47)   20000,Total - Sex,"          Tutchone, n.o.s.",0.0,0.0,0.0,0.0,0.0
Saskatchewan (47)   20000,Total - Sex,"          Athapaskan languages, n.i.e.",5.0,5.0,0.0,0.0,0.0
Saskatchewan (47)   20000,Total - Sex,        Haida,0.0,0.0,0.0,0.0,0.0
Saskatchewan (47)   20000,Total - Sex,        Iroquoian languages,5.0,10.0,0.0,0.0,0.0
Saskatchewan (47)   20000,Total - Sex,          Mohawk,5.0,5.0,0.0,0.0,0.0
Saskatchewan (47)   20000,Total - Sex,          Cayuga,0.0,0.0,0.0,0.0,0.0
Saskatchewan (47)   20000,Total - Sex,          Oneida,0.0,0.0,0.0,0.0,0.0
Saskatchewan (47)   20000,Total - Sex,"          Iroquoian languages, n.i.e.",0.0,5.0,0.0,0.0,0.0
Saskatchewan (47)   20000,Total - Sex,        Kutenai,0.0,0.0,0.0,0.0,0.0
Saskatchewan (47)   20000,Total - Sex,        Salish languages,5.0,0.0,0.0,0.0,0.0
Saskatchewan (47)   20000,Total - Sex,          Shuswap (Secwepemctsin),5.0,0.0,0.0,0.0,0.0
Saskatchewan (47)   20000,Total - Sex,          Thompson (Ntlakapamux),0.0,0.0,0.0,0.0,0.0
Saskatchewan (47)   20000,Total - Sex,          Halkomelem,0.0,0.0,0.0,0.0,0.0
Saskatchewan (47)   20000,Total - Sex,          Lillooet,0.0,0.0,0.0,0.0,0.0
Saskatchewan (47)   20000,Total - Sex,          Okanagan,0.0,0.0,0.0,0.0,0.0
Saskatchewan (47)   20000,Total - Sex,          Squamish,0.0,0.0,0.0,0.0,0.0
Saskatchewan (47)   20000,Total - Sex,          Straits,0.0,0.0,0.0,0.0,0.0
Saskatchewan (47)   20000,Total - Sex,"          Salish languages, n.i.e.",0.0,0.0,0.0,0.0,0.0
Saskatchewan (47)   20000,Total - Sex,        Siouan languages,210.0,210.0,0.0,0.0,0.0
Saskatchewan (47)   20000,Total - Sex,          Dakota,140.0,145.0,0.0,0.0,0.0
Saskatchewan (47)   20000,Total - Sex,          Stoney,5.0,5.0,0.0,0.0,0.0
Saskatchewan (47)   20000,Total - Sex,"          Siouan languages, n.i.e.",60.0,60.0,0.0,0.0,0.0
Saskatchewan (47)   20000,Total - Sex,        Tlingit,0.0,0.0,0.0,0.0,0.0
Saskatchewan (47)   20000,Total - Sex,        Tsimshian languages,0.0,0.0,0.0,0.0,0.0
Saskatchewan (47)   20000,Total - Sex,          Gitksan,0.0,0.0,0.0,0.0,0.0
Saskatchewan (47)   20000,Total - Sex,          Nisga'a,0.0,0.0,0.0,0.0,0.0
Saskatchewan (47)   20000,Total - Sex,          Tsimshian,0.0,0.0,0.0,0.0,0.0
Saskatchewan (47)   20000,Total - Sex,        Wakashan languages,5.0,5.0,0.0,0.0,0.0
Saskatchewan (47)   20000,Total - Sex,          Nootka (Nuu-chah-nulth),5.0,0.0,0.0,0.0,0.0
Saskatchewan (47)   20000,Total - Sex,          Haisla,0.0,0.0,0.0,0.0,0.0
Saskatchewan (47)   20000,Total - Sex,          Heiltsuk,0.0,0.0,0.0,0.0,0.0
Saskatchewan (47)   20000,Total - Sex,          Kwakiutl (Kwak'wala),0.0,0.0,0.0,0.0,0.0
Saskatchewan (47)   20000,Total - Sex,"          Wakashan languages, n.i.e.",0.0,0.0,0.0,0.0,0.0
Saskatchewan (47)   20000,Total - Sex,        Inuit languages,25.0,25.0,0.0,0.0,0.0
Saskatchewan (47)   20000,Total - Sex,          Inuktitut,20.0,15.0,0.0,0.0,0.0
Saskatchewan (47)   20000,Total - Sex,          Inuinnaqtun,0.0,0.0,0.0,0.0,0.0
Saskatchewan (47)   20000,Total - Sex,          Inuvialuktun,0.0,0.0,0.0,0.0,0.0
Saskatchewan (47)   20000,Total - Sex,"          Inuit languages, n.i.e.",5.0,10.0,0.0,0.0,0.0
Saskatchewan (47)   20000,Total - Sex,"        Aboriginal languages, n.i.e.",25.0,25.0,0.0,0.0,0.0
Saskatchewan (47)   20000,Total - Sex,      Romance languages,5305.0,4600.0,5.0,475.0,225.0
Saskatchewan (47)   20000,Total - Sex,        Italian,730.0,660.0,0.0,65.0,10.0
Saskatchewan (47)   20000,Total - Sex,        Portuguese,475.0,405.0,0.0,55.0,15.0
Saskatchewan (47)   20000,Total - Sex,        Romanian,855.0,740.0,5.0,90.0,25.0
Saskatchewan (47)   20000,Total - Sex,        Spanish,3235.0,2790.0,5.0,265.0,170.0
Saskatchewan (47)   20000,Total - Sex,        Catalan,0.0,0.0,0.0,0.0,0.0
Saskatchewan (47)   20000,Total - Sex,"        Romance languages, n.i.e.",10.0,10.0,0.0,0.0,0.0
Saskatchewan (47)   20000,Total - Sex,      Germanic languages,28985.0,27975.0,5.0,495.0,505.0
