Geo Code,Geo Name,Line Number
"01","Canada",2
"10","Newfoundland and Labrador",809
"1001","Division No. 1",1616
"1001105","Portugal Cove South, T",2423
"10011050734","10010734",3230
"1001113","Trepassey, T",4037
"10011130735","10010735",4844
"10011130736","10010736",5651
"1001120","St. Shott's, T",6458
"10011200733","10010733",7265
"1001124","Division No. 1, Subd. U, SNO",8072
"10011240737","10010737",8879
"10011240741","10010741",9686
"10011240743","10010743",10493
"1001126","Cape Broyle, T",11300
"10011260742","10010742",12107
"1001131","Renews-Cappahayden, T",12914
"10011310740","10010740",13721
"1001136","Fermeuse, T",14528
"10011360738","10010738",15335
"1001140","Port Kirwan, T",16142
"10011400739","10010739",16949
"1001144","Aquaforte, T",17756
"10011440745","10010745",18563
"1001149","Ferryland, T",19370
"10011490744","10010744",20177
"1001155","Division No. 1, Subd. W, SNO",20984
"10011550724","10010724",21791
"1001169","St. Vincent's-St. Stephen's-Peter's River, T",22598
"10011690731","10010731",23405
"1001174","Gaskiers-Point La Haye, T",24212
"10011740730","10010730",25019
"1001178","St. Mary's, T",25826
"10011780729","10010729",26633
"1001181","Riverhead, T",27440
"10011810728","10010728",28247
"1001186","Admirals Beach, T",29054
"10011860725","10010725",29861
"1001192","St. Joseph's, T",30668
"10011920727","10010727",31475
"1001197","Mount Carmel-Mitchells Brook-St. Catherine's, T",32282
"10011970726","10010726",33089
"1001203","Division No. 1, Subd. X, SNO",33896
"10012030722","10010722",34703
"1001207","Colinet, T",35510
"10012070723","10010723",36317
"1001214","Division No. 1, Subd. C, SNO",37124
"10012140746","10010746",37931
"1001219","Branch, T",38738
"10012190747","10010747",39545
"1001225","Point Lance, T",40352
"10012250749","10010749",41159
"1001228","St. Bride's, T",41966
"10012280748","10010748",42773
"1001234","Division No. 1, Subd. B, SNO",43580
"10012340750","10010750",44387
"1001240","Placentia, T",45194
"10012400753","10010753",46001
"10012400754","10010754",46808
"10012400755","10010755",47615
"10012400756","10010756",48422
"10012400757","10010757",49229
"10012400758","10010758",50036
"10012400759","10010759",50843
"10012400760","10010760",51650
"10012400761","10010761",52457
"1001254","Fox Harbour, T",53264
"10012540752","10010752",54071
"1001259","Division No. 1, Subd. A, SNO",54878
"10012590709","10010709",55685
"10012590714","10010714",56492
"1001263","Long Harbour-Mount Arlington Heights, T",57299
"10012630751","10010751",58106
"1001267","Southern Harbour, T",58913
"10012670716","10010716",59720
"1001270","Arnold's Cove, T",60527
"10012700712","10010712",61334
"10012700713","10010713",62141
"1001274","Come By Chance, T",62948
"10012740711","10010711",63755
"1001277","Sunnyside, T",64562
"10012770710","10010710",65369
"1001281","Chance Cove, T",66176
"10012810715","10010715",66983
"1001285","Norman's Cove-Long Cove, T",67790
"10012850717","10010717",68597
"1001289","Chapel Arm, T",69404
"10012890718","10010718",70211
"1001293","Division No. 1, Subd. Y, SNO",71018
"10012930694","10010694",71825
"10012930719","10010719",72632
"1001298","Whitbourne, T",73439
"10012980720","10010720",74246
"10012980721","10010721",75053
"1001304","Division No. 1, Subd. E, SNO",75860
"10013040695","10010695",76667
"10013040696","10010696",77474
"10013040697","10010697",78281
"10013040698","10010698",79088
"10013040699","10010699",79895
"10013040700","10010700",80702
"1001308","Whiteway, T",81509
"10013080701","10010701",82316
"1001312","Heart's Delight-Islington, T",83123
"10013120702","10010702",83930
"1001316","Heart's Desire, T",84737
"10013160703","10010703",85544
"1001321","Division No. 1, Subd. F, SNO",86351
"10013210706","10010706",87158
"1001325","Heart's Content, T",87965
"10013250704","10010704",88772
"1001328","New Perlican, T",89579
"10013280705","10010705",90386
"1001332","Winterton, T",91193
"10013320707","10010707",92000
"1001335","Hant's Harbour, T",92807
"10013350708","10010708",93614
"1001339","Division No. 1, Subd. G, SNO",94421
"10013390497","10010497",95228
"10013390499","10010499",96035
"10013390500","10010500",96842
"10013390501","10010501",97649
"10013390503","10010503",98456
"1001343","Old Perlican, T",99263
"10013430498","10010498",100070
"1001347","Bay de Verde, T",100877
"10013470496","10010496",101684
"1001352","Small Point-Adam's Cove-Blackhead-Broad Cove, T",102491
"10013520502","10010502",103298
"1001357","Division No. 1, Subd. H, SNO",104105
"10013570504","10010504",104912
"1001361","Salmon Cove, T",105719
"10013610505","10010505",106526
"1001365","Victoria, T",107333
"10013650506","10010506",108140
"10013650507","10010507",108947
"10013650508","10010508",109754
"10013650509","10010509",110561
"1001370","Carbonear, T",111368
"10013700510","10010510",112175
"10013700511","10010511",112982
"10013700512","10010512",113789
"10013700513","10010513",114596
"10013700514","10010514",115403
"10013700515","10010515",116210
"10013700516","10010516",117017
"10013700517","10010517",117824
"10013700518","10010518",118631
"10013700519","10010519",119438
"1001374","Division No. 1, Subd. I, SNO",120245
"10013740520","10010520",121052
