GEO_NAME,GEO_CODE (POR),DIM: Sex (3),DIM: Mother tongue (269),Dim: Knowledge of official languages (5): Member ID: [1]: Total - Knowledge of official languages,Dim: Knowledge of official languages (5): Member ID: [2]: English only,Dim: Knowledge of official languages (5): Member ID: [3]: French only,Dim: Knowledge of official languages (5): Member ID: [4]: English and French,Dim: Knowledge of official languages (5): Member ID: [5]: Neither English nor French
Alberta,48,Total - Sex,Total - Mother tongue,4026655,3698765,3890,264715,59280
Alberta,48,Total - Sex,Single responses,3934580,3621180,3685,250945,58770
Alberta,48,Total - Sex,Official languages,3063635,2843840,2535,216320,940
Alberta,48,Total - Sex,English,2991485,2837435,100,153025,915
Alberta,48,Total - Sex,French,72155,6400,2435,63295,20
Alberta,48,Total - Sex,Non-official languages,870945,777340,1150,34620,57830
Alberta,48,Total - Sex,Aboriginal languages,23835,23375,20,215,225
Alberta,48,Total - Sex,Algonquian languages,18295,17920,20,165,195
Alberta,48,Total - Sex,Blackfoot,2750,2730,0,15,5
Alberta,48,Total - Sex,Cree-Montagnais languages,14960,14630,15,140,180
Alberta,48,Total - Sex,Atikamekw,0,0,0,0,0
Alberta,48,Total - Sex,Montagnais (Innu),0,0,0,0,5
Alberta,48,Total - Sex,Moose Cree,5,5,0,5,0
Alberta,48,Total - Sex,Naskapi,0,0,0,0,0
Alberta,48,Total - Sex,Northern East Cree,50,45,0,5,5
Alberta,48,Total - Sex,Plains Cree,720,705,5,10,5
Alberta,48,Total - Sex,Southern East Cree,0,0,0,0,0
Alberta,48,Total - Sex,Swampy Cree,50,50,0,0,0
Alberta,48,Total - Sex,Woods Cree,905,885,0,5,15
Alberta,48,Total - Sex,"Cree, n.o.s.",13225,12940,15,115,155
Alberta,48,Total - Sex,Eastern Algonquian languages,35,30,0,5,0
Alberta,48,Total - Sex,Malecite,0,0,0,0,0
Alberta,48,Total - Sex,Mi'kmaq,30,30,0,0,0
Alberta,48,Total - Sex,Ojibway-Potawatomi languages,550,525,0,15,10
Alberta,48,Total - Sex,Algonquin,10,5,0,0,0
Alberta,48,Total - Sex,Ojibway,530,510,5,10,10
Alberta,48,Total - Sex,Oji-Cree,15,15,0,5,0
Alberta,48,Total - Sex,Ottawa (Odawa),0,0,0,0,0
Alberta,48,Total - Sex,"Algonquian languages, n.i.e.",5,5,0,0,0
Alberta,48,Total - Sex,Athabaskan languages,1865,1820,0,25,20
Alberta,48,Total - Sex,Northern Athabaskan languages,1850,1810,0,20,20
Alberta,48,Total - Sex,Babine (Wetsuwet'en),0,5,0,0,0
Alberta,48,Total - Sex,Beaver,30,30,0,0,0
Alberta,48,Total - Sex,Carrier,10,10,0,0,0
Alberta,48,Total - Sex,Chilcotin,5,5,0,0,0
Alberta,48,Total - Sex,Dene,1470,1430,0,20,15
Alberta,48,Total - Sex,Dogrib (Tlicho),35,40,0,0,0
Alberta,48,Total - Sex,Gwich'in,15,10,0,0,0
Alberta,48,Total - Sex,Sarsi (Sarcee),65,70,0,0,0
Alberta,48,Total - Sex,Sekani,5,5,0,0,0
Alberta,48,Total - Sex,Slavey-Hare languages,200,200,0,0,0
Alberta,48,Total - Sex,North Slavey (Hare),15,10,0,0,0
Alberta,48,Total - Sex,South Slavey,155,150,0,0,0
Alberta,48,Total - Sex,"Slavey, n.o.s.",35,40,0,0,0
Alberta,48,Total - Sex,Tahltan languages,0,5,0,0,0
Alberta,48,Total - Sex,Kaska (Nahani),5,0,0,0,0
Alberta,48,Total - Sex,Tahltan,0,5,0,0,0
Alberta,48,Total - Sex,Tutchone languages,0,0,0,0,0
Alberta,48,Total - Sex,Northern Tutchone,0,5,0,0,0
Alberta,48,Total - Sex,Southern Tutchone,0,0,0,0,0
Alberta,48,Total - Sex,"Athabaskan languages, n.i.e.",10,10,0,0,0
Alberta,48,Total - Sex,Haida,5,0,0,5,0
Alberta,48,Total - Sex,Inuit languages,120,115,0,5,0
Alberta,48,Total - Sex,Inuinnaqtun (Inuvialuktun),20,20,0,0,0
Alberta,48,Total - Sex,Inuktitut,65,55,0,5,0
Alberta,48,Total - Sex,"Inuit languages, n.i.e.",40,35,0,5,0
Alberta,48,Total - Sex,Iroquoian languages,15,15,0,0,0
Alberta,48,Total - Sex,Cayuga,0,0,0,0,0
Alberta,48,Total - Sex,Mohawk,10,10,0,0,0
Alberta,48,Total - Sex,Oneida,0,0,0,0,0
Alberta,48,Total - Sex,"Iroquoian languages, n.i.e.",0,5,0,0,0
Alberta,48,Total - Sex,Kutenai,5,0,0,0,0
Alberta,48,Total - Sex,Michif,80,70,0,10,0
Alberta,48,Total - Sex,Salish languages,15,15,0,0,0
Alberta,48,Total - Sex,Comox,0,0,0,0,0
Alberta,48,Total - Sex,Halkomelem,5,0,0,0,0
Alberta,48,Total - Sex,Lillooet,0,0,0,0,0
Alberta,48,Total - Sex,Okanagan,5,0,0,0,0
Alberta,48,Total - Sex,Shuswap (Secwepemctsin),0,0,0,0,0
