GEO_NAME,GEO_CODE (POR),DIM: Sex (3),DIM: Mother tongue (269),Dim: Knowledge of official languages (5): Member ID: [1]: Total - Knowledge of official languages,Dim: Knowledge of official languages (5): Member ID: [2]: English only,Dim: Knowledge of official languages (5): Member ID: [3]: French only,Dim: Knowledge of official languages (5): Member ID: [4]: English and French,Dim: Knowledge of official languages (5): Member ID: [5]: Neither English nor French
Canada,1,Total - Sex,Total - Mother tongue,34767255,23757525,4144690,6216070,648970
Canada,1,Total - Sex,Single responses,33948620,23250105,4101735,5951600,645175
Canada,1,Total - Sex,Official languages,26627555,17704465,3818695,5095730,8660
Canada,1,Total - Sex,English,19460855,17662110,4800,1786525,7415
Canada,1,Total - Sex,French,7166705,42355,3813895,3309205,1245
Canada,1,Total - Sex,Non-official languages,7321060,5545640,283035,855870,636515
Canada,1,Total - Sex,Aboriginal languages,195700,164995,13870,9450,7385
Canada,1,Total - Sex,Algonquian languages,130450,107755,13400,6285,3005
Canada,1,Total - Sex,Blackfoot,2815,2795,0,15,5
Canada,1,Total - Sex,Cree-Montagnais languages,88450,67800,12875,5340,2435
Canada,1,Total - Sex,Atikamekw,6155,0,5390,310,455
Canada,1,Total - Sex,Montagnais (Innu),10235,1515,7395,880,440
Canada,1,Total - Sex,Moose Cree,100,100,0,5,0
Canada,1,Total - Sex,Naskapi,1210,965,10,135,100
Canada,1,Total - Sex,Northern East Cree,315,230,0,75,5
Canada,1,Total - Sex,Plains Cree,3070,3010,0,35,20
Canada,1,Total - Sex,Southern East Cree,45,30,0,15,0
Canada,1,Total - Sex,Swampy Cree,1440,1405,0,20,10
Canada,1,Total - Sex,Woods Cree,1840,1800,0,20,20
Canada,1,Total - Sex,"Cree, n.o.s.",64045,58735,75,3850,1385
Canada,1,Total - Sex,Eastern Algonquian languages,6995,6715,5,245,20
Canada,1,Total - Sex,Malecite,305,295,0,5,0
Canada,1,Total - Sex,Mi'kmaq,6690,6420,10,240,20
Canada,1,Total - Sex,Ojibway-Potawatomi languages,32150,30415,515,675,545
Canada,1,Total - Sex,Algonquin,1265,280,480,480,20
Canada,1,Total - Sex,Ojibway,17885,17460,20,175,230
Canada,1,Total - Sex,Oji-Cree,12855,12525,20,20,285
Canada,1,Total - Sex,Ottawa (Odawa),150,140,0,0,5
Canada,1,Total - Sex,"Algonquian languages, n.i.e.",45,35,0,10,0
Canada,1,Total - Sex,Athabaskan languages,17370,16915,10,110,330
Canada,1,Total - Sex,Northern Athabaskan languages,17320,16865,10,105,335
Canada,1,Total - Sex,Babine (Wetsuwet'en),110,110,0,0,0
Canada,1,Total - Sex,Beaver,190,190,0,0,0
Canada,1,Total - Sex,Carrier,1030,1020,0,10,0
Canada,1,Total - Sex,Chilcotin,660,640,0,5,10
Canada,1,Total - Sex,Dene,10700,10430,10,45,210
Canada,1,Total - Sex,Dogrib (Tlicho),1645,1590,0,0,55
Canada,1,Total - Sex,Gwich'in,255,255,0,5,0
Canada,1,Total - Sex,Sarsi (Sarcee),80,75,0,5,5
Canada,1,Total - Sex,Sekani,85,85,0,0,0
Canada,1,Total - Sex,Slavey-Hare languages,1990,1910,5,25,50
Canada,1,Total - Sex,North Slavey (Hare),765,735,0,10,20
Canada,1,Total - Sex,South Slavey,945,915,0,10,20
Canada,1,Total - Sex,"Slavey, n.o.s.",280,260,5,5,5
Canada,1,Total - Sex,Tahltan languages,270,270,0,5,0
Canada,1,Total - Sex,Kaska (Nahani),180,180,0,0,0
Canada,1,Total - Sex,Tahltan,95,95,0,0,0
Canada,1,Total - Sex,Tutchone languages,290,290,0,5,0
Canada,1,Total - Sex,Northern Tutchone,220,215,0,0,0
Canada,1,Total - Sex,Southern Tutchone,70,70,0,0,0
Canada,1,Total - Sex,"Athabaskan languages, n.i.e.",55,50,0,0,0
Canada,1,Total - Sex,Haida,75,75,0,5,0
Canada,1,Total - Sex,Inuit languages,36545,29345,400,2805,3990
Canada,1,Total - Sex,Inuinnaqtun (Inuvialuktun),1020,1000,0,5,15
Canada,1,Total - Sex,Inuktitut,35215,28080,390,2775,3965
Canada,1,Total - Sex,"Inuit languages, n.i.e.",315,265,10,30,10
Canada,1,Total - Sex,Iroquoian languages,1120,1010,20,85,5
Canada,1,Total - Sex,Cayuga,40,40,0,0,0
Canada,1,Total - Sex,Mohawk,985,890,15,70,5
Canada,1,Total - Sex,Oneida,55,55,0,0,0
Canada,1,Total - Sex,"Iroquoian languages, n.i.e.",35,20,0,10,0
Canada,1,Total - Sex,Kutenai,110,100,0,5,5
Canada,1,Total - Sex,Michif,465,385,0,70,10
Canada,1,Total - Sex,Salish languages,2305,2280,0,30,5
Canada,1,Total - Sex,Comox,85,85,0,0,0
Canada,1,Total - Sex,Halkomelem,480,470,0,5,0
Canada,1,Total - Sex,Lillooet,315,310,0,0,0
Canada,1,Total - Sex,Okanagan,275,265,0,0,5
Canada,1,Total - Sex,Shuswap (Secwepemctsin),445,435,0,5,0
Canada,1,Total - Sex,Squamish,40,40,0,0,0
Canada,1,Total - Sex,Straits,85,80,0,0,0
Canada,1,Total - Sex,Thompson (Ntlakapamux),335,335,0,0,0
Canada,1,Total - Sex,"Salish languages, n.i.e.",255,260,0,0,0
Canada,1,Total - Sex,Siouan languages,4285,4265,0,10,15
Canada,1,Total - Sex,Dakota,1215,1200,0,10,0
Canada,1,Total - Sex,Stoney,3025,3010,0,5,10
Canada,1,Total - Sex,"Siouan languages, n.i.e.",55,50,0,5,0
Canada,1,Total - Sex,Tlingit,95,90,0,5,0
Canada,1,Total - Sex,Tsimshian languages,1480,1465,5,10,5
Canada,1,Total - Sex,Gitxsan (Gitksan),880,875,0,5,0
Canada,1,Total - Sex,Nisga'a,395,395,0,5,0
Canada,1,Total - Sex,Tsimshian,200,195,0,5,0
Canada,1,Total - Sex,Wakashan languages,805,790,0,10,0
Canada,1,Total - Sex,Haisla,90,90,0,0,0
Canada,1,Total - Sex,Heiltsuk,100,100,0,5,0
Canada,1,Total - Sex,Kwakiutl (Kwak'wala),325,320,0,5,0
Canada,1,Total - Sex,Nuu-chah-nulth (Nootka),285,275,0,5,0
Canada,1,Total - Sex,"Wakashan languages, n.i.e.",5,10,0,0,0
Canada,1,Total - Sex,"Aboriginal languages, n.o.s.",590,525,30,25,15
Canada,1,Total - Sex,Non-Aboriginal languages,7125365,5380640,269170,846420,629130
Canada,1,Total - Sex,Afro-Asiatic languages,575365,311695,74845,140695,48130
Canada,1,Total - Sex,Berber languages,22135,335,12620,8560,620
Canada,1,Total - Sex,Kabyle,13150,200,7815,4735,395
Canada,1,Total - Sex,"Berber languages, n.i.e.",8985,135,4805,3825,220
Canada,1,Total - Sex,Cushitic languages,42885,35225,710,3670,3280
Canada,1,Total - Sex,Bilen,805,650,0,20,125
Canada,1,Total - Sex,Oromo,4960,4500,5,95,360
Canada,1,Total - Sex,Somali,36760,29865,680,3490,2725
Canada,1,Total - Sex,"Cushitic languages, n.i.e.",365,210,20,65,65
Canada,1,Total - Sex,Semitic languages,509190,275415,61370,128225,44185
Canada,1,Total - Sex,Amharic,22465,20510,50,1130,775
Canada,1,Total - Sex,Arabic,419890,198950,61120,122125,37705
Canada,1,Total - Sex,Assyrian Neo-Aramaic,16070,13060,30,295,2690
Canada,1,Total - Sex,Chaldean Neo-Aramaic,5550,4425,10,130,985
Canada,1,Total - Sex,Harari,1320,1210,0,50,55
Canada,1,Total - Sex,Hebrew,19530,15375,110,3695,355
Canada,1,Total - Sex,Maltese,5565,5390,5,135,30
Canada,1,Total - Sex,Tigrigna,16645,14755,35,525,1340
Canada,1,Total - Sex,"Semitic languages, n.i.e.",2155,1740,15,135,260
Canada,1,Total - Sex,"Afro-Asiatic languages, n.i.e.",1155,720,145,245,40
Canada,1,Total - Sex,Austro-Asiatic languages,176725,118195,9660,23700,25170
Canada,1,Total - Sex,Khmer (Cambodian),20130,9935,3060,4495,2640
Canada,1,Total - Sex,Vietnamese,156425,108140,6585,19180,22520
Canada,1,Total - Sex,"Austro-Asiatic languages, n.i.e",170,125,15,25,10
Canada,1,Total - Sex,Austronesian languages,511480,494205,810,11785,4680
Canada,1,Total - Sex,Bikol,1790,1725,0,45,15
Canada,1,Total - Sex,Cebuano,19895,19275,5,455,160
Canada,1,Total - Sex,Fijian,745,720,0,5,15
Canada,1,Total - Sex,Hiligaynon,6880,6640,5,175,60
Canada,1,Total - Sex,Ilocano,26345,25450,5,515,375
Canada,1,Total - Sex,Malagasy,1425,15,595,800,20
Canada,1,Total - Sex,Malay,12275,11220,20,740,295
Canada,1,Total - Sex,"Pampangan (Kapampangan, Pampango)",4045,3930,0,70,45
