Geography,Geo Code,Sex (3),Detailed Mother,Total - Knowledge of official languages,English only,French only,English and French,Neither English nor French
Manitoba,46,Total - Sex,Total - Detailed mother tongue,1261620,1135395,1485,108455,16285
Manitoba,46,Total - Sex,Single responses,1230120,1109185,1405,103375,16155
Manitoba,46,Total - Sex,Official languages,941130,843790,1105,95920,310
Manitoba,46,Total - Sex,English,900605,840765,30,59510,305
Manitoba,46,Total - Sex,French,40525,3025,1075,36410,5
Manitoba,46,Total - Sex,Non-official languages,288990,265395,300,7450,15845
Manitoba,46,Total - Sex,Aboriginal languages,29710,29245,10,135,320
Manitoba,46,Total - Sex,Algonquian languages,28070,27655,15,105,295
Manitoba,46,Total - Sex,Blackfoot,0,5,0,0,0
Manitoba,46,Total - Sex,Cree-Montagnais languages,14825,14610,5,60,145
Manitoba,46,Total - Sex,Atikamekw,0,0,0,0,0
Manitoba,46,Total - Sex,Montagnais (Innu),0,0,0,0,0
Manitoba,46,Total - Sex,Moose Cree,0,5,0,0,0
Manitoba,46,Total - Sex,Naskapi,0,0,0,0,0
Manitoba,46,Total - Sex,Northern East Cree,30,25,0,0,0
Manitoba,46,Total - Sex,Plains Cree,70,60,0,5,0
Manitoba,46,Total - Sex,Southern East Cree,0,0,0,0,0
Manitoba,46,Total - Sex,Swampy Cree,740,730,0,5,5
Manitoba,46,Total - Sex,Woods Cree,65,65,0,0,5
Manitoba,46,Total - Sex,"Cree, n.o.s.",13920,13725,5,50,140
Manitoba,46,Total - Sex,Eastern Algonquian languages,10,10,0,5,0
Manitoba,46,Total - Sex,Malecite,0,0,0,0,0
Manitoba,46,Total - Sex,Mi'kmaq,10,5,0,0,0
Manitoba,46,Total - Sex,Ojibway-Potawatomi languages,13240,13035,5,45,150
Manitoba,46,Total - Sex,Algonquin,0,0,0,0,0
Manitoba,46,Total - Sex,Ojibway,6730,6630,0,40,65
Manitoba,46,Total - Sex,Oji-Cree,6505,6405,5,5,85
Manitoba,46,Total - Sex,Ottawa (Odawa),0,0,0,0,0
Manitoba,46,Total - Sex,"Algonquian languages, n.i.e.",0,0,0,0,0
Manitoba,46,Total - Sex,Athabaskan languages,815,790,5,5,20
Manitoba,46,Total - Sex,Northern Athabaskan languages,815,785,5,0,25
Manitoba,46,Total - Sex,Babine (Wetsuwet'en),0,0,0,0,0
Manitoba,46,Total - Sex,Beaver,0,0,0,0,0
Manitoba,46,Total - Sex,Carrier,0,0,0,0,0
Manitoba,46,Total - Sex,Chilcotin,0,0,0,0,0
Manitoba,46,Total - Sex,Dene,810,785,0,0,25
Manitoba,46,Total - Sex,Dogrib (Tlicho),0,0,0,0,0
Manitoba,46,Total - Sex,Gwich'in,0,0,0,0,0
Manitoba,46,Total - Sex,Sarsi (Sarcee),0,0,0,0,0
