Geography,Geo Code,Sex (3),Detailed Mother,Total - Knowledge of official languages,English only,French only,English and French,Neither English nor French
New Brunswick,13,Total - Sex,Total - Detailed mother tongue,736285,420815,63145,249950,2365
New Brunswick,13,Total - Sex,Single responses,726990,418910,62930,242805,2345
New Brunswick,13,Total - Sex,Official languages,703840,401710,62495,239540,90
New Brunswick,13,Total - Sex,English,472730,399675,120,72855,80
New Brunswick,13,Total - Sex,French,231110,2040,62375,166685,10
New Brunswick,13,Total - Sex,Non-official languages,23150,17195,440,3270,2250
New Brunswick,13,Total - Sex,Aboriginal languages,2165,2090,0,70,5
New Brunswick,13,Total - Sex,Algonquian languages,2130,2055,0,65,5
New Brunswick,13,Total - Sex,Blackfoot,0,0,0,0,0
New Brunswick,13,Total - Sex,Cree-Montagnais languages,10,5,0,0,0
New Brunswick,13,Total - Sex,Atikamekw,0,0,0,0,0
New Brunswick,13,Total - Sex,Montagnais (Innu),0,0,0,0,0
New Brunswick,13,Total - Sex,Moose Cree,0,0,0,0,0
New Brunswick,13,Total - Sex,Naskapi,0,0,0,0,0
New Brunswick,13,Total - Sex,Northern East Cree,0,0,0,0,0
New Brunswick,13,Total - Sex,Plains Cree,0,0,0,0,0
New Brunswick,13,Total - Sex,Southern East Cree,0,0,0,0,0
New Brunswick,13,Total - Sex,Swampy Cree,5,5,0,0,0
New Brunswick,13,Total - Sex,Woods Cree,0,0,0,0,0
New Brunswick,13,Total - Sex,"Cree, n.o.s.",5,5,0,0,0
New Brunswick,13,Total - Sex,Eastern Algonquian languages,2115,2040,0,65,5
New Brunswick,13,Total - Sex,Malecite,280,275,0,5,0
New Brunswick,13,Total - Sex,Mi'kmaq,1835,1765,0,65,5
New Brunswick,13,Total - Sex,Ojibway-Potawatomi languages,5,10,0,0,0
New Brunswick,13,Total - Sex,Algonquin,0,0,0,0,0
New Brunswick,13,Total - Sex,Ojibway,5,5,0,0,0
New Brunswick,13,Total - Sex,Oji-Cree,0,0,0,0,0
New Brunswick,13,Total - Sex,Ottawa (Odawa),0,0,0,0,0
