GEO_NAME,GEO_CODE (POR),DIM: Sex (3),DIM: Mother tongue (269),Dim: Knowledge of official languages (5): Member ID: [1]: Total - Knowledge of official languages,Dim: Knowledge of official languages (5): Member ID: [2]: English only,Dim: Knowledge of official languages (5): Member ID: [3]: French only,Dim: Knowledge of official languages (5): Member ID: [4]: English and French,Dim: Knowledge of official languages (5): Member ID: [5]: Neither English nor French
Northwest Territories,61,Total - Sex,Total - Mother tongue,41380,36840,65,4275,195
Northwest Territories,61,Total - Sex,Single responses,40565,36205,55,4105,195
Northwest Territories,61,Total - Sex,Official languages,32935,29090,55,3795,0
Northwest Territories,61,Total - Sex,English,31765,29020,0,2740,5
Northwest Territories,61,Total - Sex,French,1175,65,55,1055,0
Northwest Territories,61,Total - Sex,Non-official languages,7625,7120,5,310,190
Northwest Territories,61,Total - Sex,Aboriginal languages,4635,4475,0,50,110
Northwest Territories,61,Total - Sex,Algonquian languages,145,145,0,5,0
Northwest Territories,61,Total - Sex,Blackfoot,5,5,0,0,0
Northwest Territories,61,Total - Sex,Cree-Montagnais languages,130,125,0,5,0
Northwest Territories,61,Total - Sex,Atikamekw,0,0,0,0,0
Northwest Territories,61,Total - Sex,Montagnais (Innu),0,0,0,0,0
Northwest Territories,61,Total - Sex,Moose Cree,0,0,0,0,0
Northwest Territories,61,Total - Sex,Naskapi,0,0,0,0,0
Northwest Territories,61,Total - Sex,Northern East Cree,0,0,0,0,0
Northwest Territories,61,Total - Sex,Plains Cree,0,5,0,0,0
Northwest Territories,61,Total - Sex,Southern East Cree,0,0,0,0,0
Northwest Territories,61,Total - Sex,Swampy Cree,5,0,0,0,0
Northwest Territories,61,Total - Sex,Woods Cree,0,0,0,0,0
Northwest Territories,61,Total - Sex,"Cree, n.o.s.",120,115,0,5,0
Northwest Territories,61,Total - Sex,Eastern Algonquian languages,0,0,0,0,0
Northwest Territories,61,Total - Sex,Malecite,5,5,0,0,0
Northwest Territories,61,Total - Sex,Mi'kmaq,0,0,0,0,0
Northwest Territories,61,Total - Sex,Ojibway-Potawatomi languages,15,10,0,0,0
Northwest Territories,61,Total - Sex,Algonquin,0,0,0,0,0
Northwest Territories,61,Total - Sex,Ojibway,15,15,0,0,0
Northwest Territories,61,Total - Sex,Oji-Cree,0,0,0,0,0
Northwest Territories,61,Total - Sex,Ottawa (Odawa),0,0,0,0,0
Northwest Territories,61,Total - Sex,"Algonquian languages, n.i.e.",0,0,0,0,0
Northwest Territories,61,Total - Sex,Athabaskan languages,3880,3735,0,40,105
Northwest Territories,61,Total - Sex,Northern Athabaskan languages,3875,3735,0,40,105
Northwest Territories,61,Total - Sex,Babine (Wetsuwet'en),0,0,0,0,0
Northwest Territories,61,Total - Sex,Beaver,0,0,0,0,0
Northwest Territories,61,Total - Sex,Carrier,0,0,0,0,0
Northwest Territories,61,Total - Sex,Chilcotin,0,0,0,0,0
Northwest Territories,61,Total - Sex,Dene,435,420,0,15,5
Northwest Territories,61,Total - Sex,Dogrib (Tlicho),1600,1540,0,5,55
Northwest Territories,61,Total - Sex,Gwich'in,145,145,0,0,0
Northwest Territories,61,Total - Sex,Sarsi (Sarcee),0,0,0,0,0
Northwest Territories,61,Total - Sex,Sekani,0,0,0,0,0
Northwest Territories,61,Total - Sex,Slavey-Hare languages,1695,1625,0,15,50
Northwest Territories,61,Total - Sex,North Slavey (Hare),745,715,0,10,20
Northwest Territories,61,Total - Sex,South Slavey,770,745,0,10,20
Northwest Territories,61,Total - Sex,"Slavey, n.o.s.",175,165,0,0,10
Northwest Territories,61,Total - Sex,Tahltan languages,0,0,0,0,0
Northwest Territories,61,Total - Sex,Kaska (Nahani),0,0,0,0,0
Northwest Territories,61,Total - Sex,Tahltan,0,0,0,0,0
Northwest Territories,61,Total - Sex,Tutchone languages,0,0,0,0,0
Northwest Territories,61,Total - Sex,Northern Tutchone,0,0,0,0,0
Northwest Territories,61,Total - Sex,Southern Tutchone,0,0,0,0,0
Northwest Territories,61,Total - Sex,"Athabaskan languages, n.i.e.",0,0,0,0,0
Northwest Territories,61,Total - Sex,Haida,0,0,0,0,0
Northwest Territories,61,Total - Sex,Inuit languages,600,590,0,5,5
Northwest Territories,61,Total - Sex,Inuinnaqtun (Inuvialuktun),475,465,0,0,5
Northwest Territories,61,Total - Sex,Inuktitut,110,110,0,5,0
Northwest Territories,61,Total - Sex,"Inuit languages, n.i.e.",20,15,0,0,0
Northwest Territories,61,Total - Sex,Iroquoian languages,0,0,0,0,0
Northwest Territories,61,Total - Sex,Cayuga,0,0,0,0,0
Northwest Territories,61,Total - Sex,Mohawk,5,0,0,0,0
Northwest Territories,61,Total - Sex,Oneida,0,0,0,0,0
Northwest Territories,61,Total - Sex,"Iroquoian languages, n.i.e.",0,0,0,0,0
Northwest Territories,61,Total - Sex,Kutenai,0,0,0,0,0
Northwest Territories,61,Total - Sex,Michif,10,5,0,0,0
Northwest Territories,61,Total - Sex,Salish languages,5,0,0,0,0
Northwest Territories,61,Total - Sex,Comox,0,0,0,0,0
Northwest Territories,61,Total - Sex,Halkomelem,0,0,0,0,0
Northwest Territories,61,Total - Sex,Lillooet,0,0,0,0,0
Northwest Territories,61,Total - Sex,Okanagan,0,0,0,0,0
Northwest Territories,61,Total - Sex,Shuswap (Secwepemctsin),0,0,0,0,0
Northwest Territories,61,Total - Sex,Squamish,0,0,0,0,0
Northwest Territories,61,Total - Sex,Straits,0,0,0,0,0
Northwest Territories,61,Total - Sex,Thompson (Ntlakapamux),5,0,0,0,0
Northwest Territories,61,Total - Sex,"Salish languages, n.i.e.",0,0,0,0,0
Northwest Territories,61,Total - Sex,Siouan languages,0,0,0,0,0
Northwest Territories,61,Total - Sex,Dakota,0,0,0,0,0
Northwest Territories,61,Total - Sex,Stoney,0,0,0,0,0
Northwest Territories,61,Total - Sex,"Siouan languages, n.i.e.",0,0,0,0,0
Northwest Territories,61,Total - Sex,Tlingit,0,0,0,0,0
Northwest Territories,61,Total - Sex,Tsimshian languages,0,0,0,0,0
Northwest Territories,61,Total - Sex,Gitxsan (Gitksan),0,0,0,0,0
Northwest Territories,61,Total - Sex,Nisga'a,0,0,0,0,0
Northwest Territories,61,Total - Sex,Tsimshian,0,0,0,0,0
Northwest Territories,61,Total - Sex,Wakashan languages,0,0,0,0,0
Northwest Territories,61,Total - Sex,Haisla,0,0,0,0,0
Northwest Territories,61,Total - Sex,Heiltsuk,0,0,0,0,0
Northwest Territories,61,Total - Sex,Kwakiutl (Kwak'wala),0,0,0,0,0
Northwest Territories,61,Total - Sex,Nuu-chah-nulth (Nootka),0,0,0,0,0
Northwest Territories,61,Total - Sex,"Wakashan languages, n.i.e.",0,0,0,0,0
Northwest Territories,61,Total - Sex,"Aboriginal languages, n.o.s.",5,5,0,0,0
Northwest Territories,61,Total - Sex,Non-Aboriginal languages,2990,2645,0,255,85
Northwest Territories,61,Total - Sex,Afro-Asiatic languages,215,175,0,35,0
Northwest Territories,61,Total - Sex,Berber languages,5,0,0,5,0
Northwest Territories,61,Total - Sex,Kabyle,0,0,0,0,0
Northwest Territories,61,Total - Sex,"Berber languages, n.i.e.",5,0,0,5,0
Northwest Territories,61,Total - Sex,Cushitic languages,50,45,0,5,0
Northwest Territories,61,Total - Sex,Bilen,0,0,0,0,0
Northwest Territories,61,Total - Sex,Oromo,0,0,0,0,0
Northwest Territories,61,Total - Sex,Somali,50,50,0,0,0
Northwest Territories,61,Total - Sex,"Cushitic languages, n.i.e.",0,0,0,0,0
Northwest Territories,61,Total - Sex,Semitic languages,160,130,5,30,0
Northwest Territories,61,Total - Sex,Amharic,20,20,0,0,0
Northwest Territories,61,Total - Sex,Arabic,125,85,0,30,5
Northwest Territories,61,Total - Sex,Assyrian Neo-Aramaic,0,0,0,0,0
Northwest Territories,61,Total - Sex,Chaldean Neo-Aramaic,0,0,0,0,0
Northwest Territories,61,Total - Sex,Harari,0,0,0,0,0
Northwest Territories,61,Total - Sex,Hebrew,0,0,0,0,0
Northwest Territories,61,Total - Sex,Maltese,0,0,0,0,0
Northwest Territories,61,Total - Sex,Tigrigna,20,20,0,0,0
Northwest Territories,61,Total - Sex,"Semitic languages, n.i.e.",0,0,0,0,0
Northwest Territories,61,Total - Sex,"Afro-Asiatic languages, n.i.e.",0,0,0,0,0
Northwest Territories,61,Total - Sex,Austro-Asiatic languages,160,135,0,5,20
Northwest Territories,61,Total - Sex,Khmer (Cambodian),0,5,0,0,0
Northwest Territories,61,Total - Sex,Vietnamese,160,135,0,5,15
Northwest Territories,61,Total - Sex,"Austro-Asiatic languages, n.i.e",0,0,0,0,0
Northwest Territories,61,Total - Sex,Austronesian languages,910,890,0,10,5
Northwest Territories,61,Total - Sex,Bikol,5,0,0,0,0
Northwest Territories,61,Total - Sex,Cebuano,60,60,0,0,0
Northwest Territories,61,Total - Sex,Fijian,0,0,0,0,0
Northwest Territories,61,Total - Sex,Hiligaynon,15,15,0,5,0
Northwest Territories,61,Total - Sex,Ilocano,70,70,0,5,0
Northwest Territories,61,Total - Sex,Malagasy,0,0,0,0,0
Northwest Territories,61,Total - Sex,Malay,0,5,0,0,0
Northwest Territories,61,Total - Sex,"Pampangan (Kapampangan, Pampango)",0,0,0,0,0
Northwest Territories,61,Total - Sex,Pangasinan,0,0,0,0,0
Northwest Territories,61,Total - Sex,"Tagalog (Pilipino, Filipino)",745,735,0,5,5
Northwest Territories,61,Total - Sex,Waray-Waray,0,0,0,0,0
Northwest Territories,61,Total - Sex,"Austronesian languages, n.i.e.",5,5,0,0,0
Northwest Territories,61,Total - Sex,Creole languages,40,15,0,25,0
Northwest Territories,61,Total - Sex,Haitian Creole,0,0,0,0,0
Northwest Territories,61,Total - Sex,"Creole, n.o.s.",25,5,0,20,0
Northwest Territories,61,Total - Sex,"Creole languages, n.i.e.",15,5,0,5,0
Northwest Territories,61,Total - Sex,Dravidian languages,60,50,0,10,0
Northwest Territories,61,Total - Sex,Kannada,0,0,0,0,0
Northwest Territories,61,Total - Sex,Malayalam,25,20,0,5,0
Northwest Territories,61,Total - Sex,Tamil,15,10,0,5,0
Northwest Territories,61,Total - Sex,Telugu,15,15,0,0,0
Northwest Territories,61,Total - Sex,"Dravidian languages, n.i.e.",0,0,0,0,0
Northwest Territories,61,Total - Sex,Hmong-Mien languages,0,0,0,0,0
Northwest Territories,61,Total - Sex,Indo-European languages,1045,900,0,125,20
Northwest Territories,61,Total - Sex,Albanian,5,5,0,0,0
Northwest Territories,61,Total - Sex,Armenian,45,40,0,5,0
Northwest Territories,61,Total - Sex,Balto-Slavic languages,220,190,0,30,5
Northwest Territories,61,Total - Sex,Baltic languages,0,0,0,0,0
Northwest Territories,61,Total - Sex,Latvian,0,0,0,0,0
Northwest Territories,61,Total - Sex,Lithuanian,0,0,0,0,0
Northwest Territories,61,Total - Sex,Slavic languages,215,190,0,25,5
Northwest Territories,61,Total - Sex,Belarusan,0,0,0,0,0
Northwest Territories,61,Total - Sex,Bosnian,5,5,0,0,0
Northwest Territories,61,Total - Sex,Bulgarian,10,10,0,0,0
Northwest Territories,61,Total - Sex,Croatian,15,15,0,5,0
Northwest Territories,61,Total - Sex,Czech,15,10,0,5,0
Northwest Territories,61,Total - Sex,Macedonian,10,5,0,0,0
Northwest Territories,61,Total - Sex,Polish,50,45,0,0,0
Northwest Territories,61,Total - Sex,Russian,40,35,0,5,0
Northwest Territories,61,Total - Sex,Serbian,10,10,0,0,0
Northwest Territories,61,Total - Sex,Serbo-Croatian,5,5,0,0,0
Northwest Territories,61,Total - Sex,Slovak,20,20,0,0,0
Northwest Territories,61,Total - Sex,Slovene (Slovenian),5,5,0,0,0
Northwest Territories,61,Total - Sex,Ukrainian,35,30,0,5,0
Northwest Territories,61,Total - Sex,"Slavic languages, n.i.e.",0,5,0,0,0
Northwest Territories,61,Total - Sex,Celtic languages,10,10,0,0,0
Northwest Territories,61,Total - Sex,Scottish Gaelic,5,0,0,0,0
Northwest Territories,61,Total - Sex,Welsh,0,0,0,0,0
Northwest Territories,61,Total - Sex,"Celtic languages, n.i.e.",0,0,0,0,0
Northwest Territories,61,Total - Sex,Germanic languages,270,230,0,40,0
Northwest Territories,61,Total - Sex,Afrikaans,20,15,0,0,0
Northwest Territories,61,Total - Sex,Danish,5,5,0,0,0
Northwest Territories,61,Total - Sex,Dutch,55,50,0,5,0
Northwest Territories,61,Total - Sex,Frisian,0,0,0,0,0
Northwest Territories,61,Total - Sex,German,170,150,0,20,0
Northwest Territories,61,Total - Sex,Icelandic,10,0,0,5,0
Northwest Territories,61,Total - Sex,Norwegian,0,0,0,0,0
Northwest Territories,61,Total - Sex,Swedish,10,5,0,0,0
Northwest Territories,61,Total - Sex,Vlaams (Flemish),0,0,0,0,0
Northwest Territories,61,Total - Sex,Yiddish,0,0,0,0,0
Northwest Territories,61,Total - Sex,"Germanic languages, n.i.e.",0,0,0,0,0
Northwest Territories,61,Total - Sex,Greek,20,20,0,5,0
Northwest Territories,61,Total - Sex,Indo-Iranian languages,285,260,0,20,5
Northwest Territories,61,Total - Sex,Indo-Aryan languages,250,230,0,15,5
Northwest Territories,61,Total - Sex,Bengali,70,65,0,5,0
Northwest Territories,61,Total - Sex,Gujarati,10,15,0,0,0
Northwest Territories,61,Total - Sex,Hindi,40,40,0,0,0
Northwest Territories,61,Total - Sex,Kashmiri,0,0,0,0,0
Northwest Territories,61,Total - Sex,Konkani,0,0,0,0,0
Northwest Territories,61,Total - Sex,Marathi,0,5,0,0,0
Northwest Territories,61,Total - Sex,Nepali,20,15,0,0,0
Northwest Territories,61,Total - Sex,Oriya (Odia),0,0,0,0,0
Northwest Territories,61,Total - Sex,Punjabi (Panjabi),50,40,0,5,0
Northwest Territories,61,Total - Sex,Sindhi,5,0,0,0,0
Northwest Territories,61,Total - Sex,Sinhala (Sinhalese),10,5,0,0,0
Northwest Territories,61,Total - Sex,Urdu,45,45,0,5,0
Northwest Territories,61,Total - Sex,Iranian languages,35,30,0,5,0
Northwest Territories,61,Total - Sex,Kurdish,0,0,0,0,0
Northwest Territories,61,Total - Sex,Pashto,5,5,0,0,0
Northwest Territories,61,Total - Sex,Persian (Farsi),35,25,0,5,0
Northwest Territories,61,Total - Sex,"Indo-Iranian languages, n.i.e.",5,5,0,0,0
Northwest Territories,61,Total - Sex,Italic (Romance) languages,190,145,0,35,10
Northwest Territories,61,Total - Sex,Catalan,0,0,0,0,0
Northwest Territories,61,Total - Sex,Italian,55,35,0,15,5
Northwest Territories,61,Total - Sex,Portuguese,25,10,0,15,0
Northwest Territories,61,Total - Sex,Romanian,10,5,0,5,0
