Geography,Geo Code,Sex (3),Detailed Mother,Total - Knowledge of official languages,English only,French only,English and French,Neither English nor French
Nova Scotia,12,Total - Sex,Total - Mother tongue,912295,813480,705,95380,2730
Nova Scotia,12,Total - Sex,Single responses,904240,808950,685,91900,2705
Nova Scotia,12,Total - Sex,Official languages,859690,770500,630,88440,125
Nova Scotia,12,Total - Sex,English,830225,768860,20,61220,120
Nova Scotia,12,Total - Sex,French,29465,1640,610,27215,5
Nova Scotia,12,Total - Sex,Non-official languages,44550,38450,55,3460,2580
Nova Scotia,12,Total - Sex,Aboriginal languages,4290,4220,5,55,15
Nova Scotia,12,Total - Sex,Algonquian languages,4210,4155,0,45,15
Nova Scotia,12,Total - Sex,Blackfoot,0,0,0,0,0
Nova Scotia,12,Total - Sex,Cree-Montagnais languages,15,15,0,0,0
Nova Scotia,12,Total - Sex,Atikamekw,0,0,0,0,0
Nova Scotia,12,Total - Sex,Montagnais (Innu),0,5,0,0,0
Nova Scotia,12,Total - Sex,Moose Cree,0,0,0,0,0
Nova Scotia,12,Total - Sex,Naskapi,0,0,0,0,0
Nova Scotia,12,Total - Sex,Northern East Cree,0,0,0,0,0
Nova Scotia,12,Total - Sex,Plains Cree,5,0,0,0,0
Nova Scotia,12,Total - Sex,Southern East Cree,0,0,0,0,0
Nova Scotia,12,Total - Sex,Swampy Cree,5,5,0,0,0
Nova Scotia,12,Total - Sex,Woods Cree,0,0,0,0,0
Nova Scotia,12,Total - Sex,"Cree, n.o.s.",10,5,0,0,0
Nova Scotia,12,Total - Sex,Eastern Algonquian languages,4190,4130,5,45,15
Nova Scotia,12,Total - Sex,Malecite,10,10,0,0,0
Nova Scotia,12,Total - Sex,Mi'kmaq,4185,4120,0,45,15
Nova Scotia,12,Total - Sex,Ojibway-Potawatomi languages,10,10,0,0,0
Nova Scotia,12,Total - Sex,Algonquin,0,0,0,0,0
Nova Scotia,12,Total - Sex,Ojibway,10,10,0,0,0
Nova Scotia,12,Total - Sex,Oji-Cree,0,0,0,0,0
Nova Scotia,12,Total - Sex,Ottawa (Odawa),0,0,0,0,0
Nova Scotia,12,Total - Sex,"Algonquian languages, n.i.e.",0,0,0,0,0
Nova Scotia,12,Total - Sex,Athabaskan languages,5,5,0,0,0
Nova Scotia,12,Total - Sex,Northern Athabaskan languages,5,5,0,0,0
Nova Scotia,12,Total - Sex,Babine (Wetsuwet'en),0,0,0,0,0
Nova Scotia,12,Total - Sex,Beaver,0,0,0,0,0
Nova Scotia,12,Total - Sex,Carrier,0,0,0,0,0
Nova Scotia,12,Total - Sex,Chilcotin,0,0,0,0,0
Nova Scotia,12,Total - Sex,Dene,5,5,0,0,0
Nova Scotia,12,Total - Sex,Dogrib (Tlicho),0,0,0,0,0
Nova Scotia,12,Total - Sex,Gwich'in,0,0,0,0,0
Nova Scotia,12,Total - Sex,Sarsi (Sarcee),0,0,0,0,0
Nova Scotia,12,Total - Sex,Sekani,0,0,0,0,0
Nova Scotia,12,Total - Sex,Slavey-Hare languages,0,0,0,0,0
Nova Scotia,12,Total - Sex,North Slavey (Hare),0,0,0,0,0
Nova Scotia,12,Total - Sex,South Slavey,0,0,0,0,0
Nova Scotia,12,Total - Sex,"Slavey, n.o.s.",0,0,0,0,0
Nova Scotia,12,Total - Sex,Tahltan languages,0,0,0,0,0
Nova Scotia,12,Total - Sex,Kaska (Nahani),0,0,0,0,0
Nova Scotia,12,Total - Sex,Tahltan,0,0,0,0,0
Nova Scotia,12,Total - Sex,Tutchone languages,0,0,0,0,0
Nova Scotia,12,Total - Sex,Northern Tutchone,0,0,0,0,0
