Geography,Geo Code,Sex (3),Detailed Mother,Total - Knowledge of official languages,English only,French only,English and French,Neither English nor French
Ontario,35,Total - Sex,Total - Mother tongue,13312870,11455500,40045,1490390,326935
Ontario,35,Total - Sex,Single responses,12946960,11177790,38480,1405385,325310
Ontario,35,Total - Sex,Official languages,9393040,8166185,32350,1190680,3830
Ontario,35,Total - Sex,English,8902320,8147935,415,750275,3700
Ontario,35,Total - Sex,French,490720,18250,31930,440400,130
Ontario,35,Total - Sex,Non-official languages,3553920,3011610,6130,214710,321480
Ontario,35,Total - Sex,Aboriginal languages,22760,21860,30,325,555
Ontario,35,Total - Sex,Algonquian languages,21235,20435,25,245,530
Ontario,35,Total - Sex,Blackfoot,10,10,0,0,0
Ontario,35,Total - Sex,Cree-Montagnais languages,5080,4810,5,90,170
Ontario,35,Total - Sex,Atikamekw,0,0,0,0,0
Ontario,35,Total - Sex,Montagnais (Innu),10,5,0,0,5
Ontario,35,Total - Sex,Moose Cree,85,85,0,5,0
Ontario,35,Total - Sex,Naskapi,10,15,0,0,0
Ontario,35,Total - Sex,Northern East Cree,60,40,0,15,0
Ontario,35,Total - Sex,Plains Cree,35,35,0,0,0
Ontario,35,Total - Sex,Southern East Cree,5,5,0,0,0
Ontario,35,Total - Sex,Swampy Cree,360,345,0,5,5
Ontario,35,Total - Sex,Woods Cree,15,15,0,5,0
Ontario,35,Total - Sex,"Cree, n.o.s.",4500,4280,0,60,165
Ontario,35,Total - Sex,Eastern Algonquian languages,95,75,0,15,0
Ontario,35,Total - Sex,Malecite,10,5,0,0,0
Ontario,35,Total - Sex,Mi'kmaq,85,70,0,10,0
Ontario,35,Total - Sex,Ojibway-Potawatomi languages,16025,15510,20,135,355
Ontario,35,Total - Sex,Algonquin,65,50,0,10,0
Ontario,35,Total - Sex,Ojibway,9510,9240,10,110,155
Ontario,35,Total - Sex,Oji-Cree,6310,6085,15,15,200
Ontario,35,Total - Sex,Ottawa (Odawa),145,140,0,0,5
Ontario,35,Total - Sex,"Algonquian languages, n.i.e.",35,30,0,0,5
Ontario,35,Total - Sex,Athabaskan languages,55,55,0,0,0
Ontario,35,Total - Sex,Northern Athabaskan languages,55,50,0,5,5
Ontario,35,Total - Sex,Babine (Wetsuwet'en),5,0,0,0,0
Ontario,35,Total - Sex,Beaver,0,0,0,0,0
Ontario,35,Total - Sex,Carrier,5,10,0,0,0
Ontario,35,Total - Sex,Chilcotin,0,0,0,0,0
Ontario,35,Total - Sex,Dene,25,25,0,0,0
Ontario,35,Total - Sex,Dogrib (Tlicho),5,5,0,0,0
Ontario,35,Total - Sex,Gwich'in,0,0,0,0,0
Ontario,35,Total - Sex,Sarsi (Sarcee),10,5,0,0,0
Ontario,35,Total - Sex,Sekani,0,0,0,0,0
Ontario,35,Total - Sex,Slavey-Hare languages,5,5,0,0,0
Ontario,35,Total - Sex,North Slavey (Hare),0,0,0,0,0
Ontario,35,Total - Sex,South Slavey,0,0,0,0,0
Ontario,35,Total - Sex,"Slavey, n.o.s.",0,5,0,5,0
Ontario,35,Total - Sex,Tahltan languages,0,0,0,0,0
Ontario,35,Total - Sex,Kaska (Nahani),0,0,0,0,0
Ontario,35,Total - Sex,Tahltan,0,0,0,0,0
Ontario,35,Total - Sex,Tutchone languages,0,5,0,0,0
Ontario,35,Total - Sex,Northern Tutchone,0,0,0,0,0
Ontario,35,Total - Sex,Southern Tutchone,0,0,0,0,0
Ontario,35,Total - Sex,"Athabaskan languages, n.i.e.",5,5,0,0,0
Ontario,35,Total - Sex,Haida,0,0,0,0,0
Ontario,35,Total - Sex,Inuit languages,475,445,0,20,10
Ontario,35,Total - Sex,Inuinnaqtun (Inuvialuktun),5,0,0,0,0
Ontario,35,Total - Sex,Inuktitut,425,400,0,20,10
Ontario,35,Total - Sex,"Inuit languages, n.i.e.",45,40,0,0,0
Ontario,35,Total - Sex,Iroquoian languages,710,665,0,35,0
Ontario,35,Total - Sex,Cayuga,35,35,0,0,0
Ontario,35,Total - Sex,Mohawk,595,560,5,25,0
Ontario,35,Total - Sex,Oneida,60,55,0,0,0
Ontario,35,Total - Sex,"Iroquoian languages, n.i.e.",20,15,0,5,0
Ontario,35,Total - Sex,Kutenai,0,0,0,0,0
Ontario,35,Total - Sex,Michif,25,15,0,10,0
Ontario,35,Total - Sex,Salish languages,5,5,0,0,0
Ontario,35,Total - Sex,Comox,0,0,0,0,0
Ontario,35,Total - Sex,Halkomelem,0,5,0,0,0
Ontario,35,Total - Sex,Lillooet,0,0,0,0,0
Ontario,35,Total - Sex,Okanagan,0,5,0,0,0
Ontario,35,Total - Sex,Shuswap (Secwepemctsin),5,0,0,0,0
Ontario,35,Total - Sex,Squamish,0,0,0,0,0
Ontario,35,Total - Sex,Straits,0,0,0,0,0
Ontario,35,Total - Sex,Thompson (Ntlakapamux),0,0,0,0,0
Ontario,35,Total - Sex,"Salish languages, n.i.e.",0,0,0,0,0
Ontario,35,Total - Sex,Siouan languages,10,5,0,5,0
Ontario,35,Total - Sex,Dakota,5,5,0,0,0
Ontario,35,Total - Sex,Stoney,0,0,0,0,0
Ontario,35,Total - Sex,"Siouan languages, n.i.e.",5,0,0,0,0
Ontario,35,Total - Sex,Tlingit,0,0,0,0,0
Ontario,35,Total - Sex,Tsimshian languages,5,5,0,0,0
Ontario,35,Total - Sex,Gitxsan (Gitksan),0,0,0,0,0
Ontario,35,Total - Sex,Nisga'a,0,5,0,0,0
Ontario,35,Total - Sex,Tsimshian,5,5,0,0,0
Ontario,35,Total - Sex,Wakashan languages,0,5,0,0,0
Ontario,35,Total - Sex,Haisla,0,0,0,0,0
Ontario,35,Total - Sex,Heiltsuk,0,0,0,0,0
Ontario,35,Total - Sex,Kwakiutl (Kwak'wala),0,0,0,0,0
Ontario,35,Total - Sex,Nuu-chah-nulth (Nootka),5,5,0,0,0
Ontario,35,Total - Sex,"Wakashan languages, n.i.e.",0,0,0,0,0
Ontario,35,Total - Sex,"Aboriginal languages, n.o.s.",235,220,0,10,10
Ontario,35,Total - Sex,Non-Aboriginal languages,3531160,2989745,6100,214385,320925
Ontario,35,Total - Sex,Afro-Asiatic languages,253830,199185,1385,30330,22925
Ontario,35,Total - Sex,Berber languages,725,115,60,520,25
Ontario,35,Total - Sex,Kabyle,425,80,40,285,15
Ontario,35,Total - Sex,"Berber languages, n.i.e.",300,40,15,240,10
Ontario,35,Total - Sex,Cushitic languages,24600,20100,340,2400,1765
Ontario,35,Total - Sex,Bilen,250,200,0,5,45
Ontario,35,Total - Sex,Oromo,1445,1300,0,60,90
Ontario,35,Total - Sex,Somali,22680,18460,325,2285,1610
Ontario,35,Total - Sex,"Cushitic languages, n.i.e.",225,135,10,50,25
Ontario,35,Total - Sex,Semitic languages,227985,178520,990,27360,21120
Ontario,35,Total - Sex,Amharic,10720,9865,10,490,355
Ontario,35,Total - Sex,Arabic,171370,128450,960,25210,16745
Ontario,35,Total - Sex,Assyrian Neo-Aramaic,14555,11965,15,195,2385
Ontario,35,Total - Sex,Chaldean Neo-Aramaic,4795,3915,5,110,770
Ontario,35,Total - Sex,Harari,1030,940,0,45,45
Ontario,35,Total - Sex,Hebrew,11570,10450,0,970,155
Ontario,35,Total - Sex,Maltese,5175,5040,0,105,35
Ontario,35,Total - Sex,Tigrigna,7345,6685,0,195,465
Ontario,35,Total - Sex,"Semitic languages, n.i.e.",1430,1220,0,45,170
Ontario,35,Total - Sex,"Afro-Asiatic languages, n.i.e.",520,445,0,55,10
Ontario,35,Total - Sex,Austro-Asiatic languages,78125,62875,110,3580,11555
Ontario,35,Total - Sex,Khmer (Cambodian),7350,6030,15,360,945
Ontario,35,Total - Sex,Vietnamese,70690,56775,95,3215,10610
Ontario,35,Total - Sex,"Austro-Asiatic languages, n.i.e",85,70,0,10,5
Ontario,35,Total - Sex,Austronesian languages,194380,190030,40,2505,1810
Ontario,35,Total - Sex,Bikol,595,585,0,5,5
Ontario,35,Total - Sex,Cebuano,6545,6405,0,75,65
Ontario,35,Total - Sex,Fijian,80,70,0,0,5
Ontario,35,Total - Sex,Hiligaynon,2750,2695,0,30,30
Ontario,35,Total - Sex,Ilocano,11285,11030,0,75,180
Ontario,35,Total - Sex,Malagasy,100,0,5,85,0
Ontario,35,Total - Sex,Malay,5765,5390,0,225,145
Ontario,35,Total - Sex,"Pampangan (Kapampangan, Pampango)",1505,1465,0,15,20
Ontario,35,Total - Sex,Pangasinan,530,520,0,5,5
Ontario,35,Total - Sex,"Tagalog (Pilipino, Filipino)",163415,160105,30,1960,1315
Ontario,35,Total - Sex,Waray-Waray,410,400,0,5,10
Ontario,35,Total - Sex,"Austronesian languages, n.i.e.",1400,1350,0,25,25
Ontario,35,Total - Sex,Creole languages,11255,3370,1330,6220,340
Ontario,35,Total - Sex,Haitian Creole,630,115,90,415,15
Ontario,35,Total - Sex,"Creole, n.o.s.",8020,1200,1225,5295,300
