Geography,Geo Code,Sex (3),Detailed Mother,Total - Knowledge of official languages,English only,French only,English and French,Neither English nor French
Quebec,24,Total - Sex,Total - Detailed mother tongue,8066560,372450,4032635,3586410,75060
Quebec,24,Total - Sex,Single responses,7881650,359615,3991975,3455770,74290
Quebec,24,Total - Sex,Official languages,6820815,185260,3717735,2916310,1515
Quebec,24,Total - Sex,English,601155,183155,3965,413575,465
Quebec,24,Total - Sex,French,6219665,2105,3713770,2502730,1050
Quebec,24,Total - Sex,Non-official languages,1060835,174360,274240,539455,72780
Quebec,24,Total - Sex,Aboriginal languages,45570,19890,13785,8185,3710
Quebec,24,Total - Sex,Algonquian languages,33140,12575,13340,5480,1750
Quebec,24,Total - Sex,Blackfoot,5,5,0,0,0
Quebec,24,Total - Sex,Cree-Montagnais languages,31430,11975,12845,4890,1725
Quebec,24,Total - Sex,Atikamekw,6150,0,5390,305,450
Quebec,24,Total - Sex,Montagnais (Innu),8715,100,7395,840,380
Quebec,24,Total - Sex,Moose Cree,0,0,0,0,0
Quebec,24,Total - Sex,Naskapi,595,410,10,130,40
Quebec,24,Total - Sex,Northern East Cree,135,80,0,50,5
Quebec,24,Total - Sex,Plains Cree,5,5,0,0,5
Quebec,24,Total - Sex,Southern East Cree,35,15,0,15,0
Quebec,24,Total - Sex,Swampy Cree,5,0,0,0,5
Quebec,24,Total - Sex,Woods Cree,10,5,0,5,0
Quebec,24,Total - Sex,"Cree, n.o.s.",15790,11350,50,3535,850
Quebec,24,Total - Sex,Eastern Algonquian languages,485,360,5,110,0
Quebec,24,Total - Sex,Malecite,0,0,0,0,0
Quebec,24,Total - Sex,Mi'kmaq,485,360,5,110,5
Quebec,24,Total - Sex,Ojibway-Potawatomi languages,1215,235,490,465,20
Quebec,24,Total - Sex,Algonquin,1185,220,480,460,20
Quebec,24,Total - Sex,Ojibway,25,10,5,5,0
Quebec,24,Total - Sex,Oji-Cree,5,0,0,0,0
Quebec,24,Total - Sex,Ottawa (Odawa),0,0,0,0,0
Quebec,24,Total - Sex,"Algonquian languages, n.i.e.",5,0,0,10,0
Quebec,24,Total - Sex,Athabaskan languages,15,5,5,10,0
Quebec,24,Total - Sex,Northern Athabaskan languages,15,0,5,5,0
Quebec,24,Total - Sex,Babine (Wetsuwet'en),0,0,0,0,0
Quebec,24,Total - Sex,Beaver,0,0,0,0,0
Quebec,24,Total - Sex,Carrier,0,0,0,0,0
Quebec,24,Total - Sex,Chilcotin,0,0,0,0,0
Quebec,24,Total - Sex,Dene,0,5,0,0,0
Quebec,24,Total - Sex,Dogrib (Tlicho),0,0,0,0,0
Quebec,24,Total - Sex,Gwich'in,0,0,0,0,0
Quebec,24,Total - Sex,Sarsi (Sarcee),0,0,0,0,0
Quebec,24,Total - Sex,Sekani,0,0,0,0,0
Quebec,24,Total - Sex,Slavey-Hare languages,10,0,0,5,0
Quebec,24,Total - Sex,North Slavey (Hare),0,0,0,0,0
Quebec,24,Total - Sex,South Slavey,0,0,0,0,0
Quebec,24,Total - Sex,"Slavey, n.o.s.",10,0,5,5,0
Quebec,24,Total - Sex,Tahltan languages,0,0,0,0,0
Quebec,24,Total - Sex,Kaska (Nahani),0,0,0,0,0
Quebec,24,Total - Sex,Tahltan,0,0,0,0,0
Quebec,24,Total - Sex,Tutchone languages,0,0,0,0,0
Quebec,24,Total - Sex,Northern Tutchone,0,0,0,0,0
Quebec,24,Total - Sex,Southern Tutchone,0,0,0,0,0
Quebec,24,Total - Sex,"Athabaskan languages, n.i.e.",0,0,0,0,0
Quebec,24,Total - Sex,Haida,0,0,0,0,0
Quebec,24,Total - Sex,Inuit languages,11970,6970,400,2650,1955
Quebec,24,Total - Sex,Inuinnaqtun (Inuvialuktun),0,0,0,0,0
Quebec,24,Total - Sex,Inuktitut,11890,6925,390,2630,1950
Quebec,24,Total - Sex,"Inuit languages, n.i.e.",75,40,10,20,5
Quebec,24,Total - Sex,Iroquoian languages,375,315,15,40,0
Quebec,24,Total - Sex,Cayuga,0,0,0,0,0
Quebec,24,Total - Sex,Mohawk,365,315,15,40,5
Quebec,24,Total - Sex,Oneida,0,0,0,0,0
Quebec,24,Total - Sex,"Iroquoian languages, n.i.e.",5,5,0,0,0
Quebec,24,Total - Sex,Kutenai,0,0,0,0,0
Quebec,24,Total - Sex,Michif,5,0,0,5,0
Quebec,24,Total - Sex,Salish languages,5,0,0,0,0
Quebec,24,Total - Sex,Comox,5,0,0,0,0
Quebec,24,Total - Sex,Halkomelem,0,0,0,0,0
Quebec,24,Total - Sex,Lillooet,0,0,0,0,0
Quebec,24,Total - Sex,Okanagan,0,0,0,0,0
Quebec,24,Total - Sex,Shuswap (Secwepemctsin),0,0,0,0,0
Quebec,24,Total - Sex,Squamish,0,0,0,0,0
Quebec,24,Total - Sex,Straits,0,0,0,0,0
Quebec,24,Total - Sex,Thompson (Ntlakapamux),0,0,0,0,0
Quebec,24,Total - Sex,"Salish languages, n.i.e.",0,0,0,0,0
Quebec,24,Total - Sex,Siouan languages,0,0,0,0,0
Quebec,24,Total - Sex,Dakota,5,0,0,0,0
Quebec,24,Total - Sex,Stoney,0,0,0,0,0
Quebec,24,Total - Sex,"Siouan languages, n.i.e.",0,0,0,0,0
Quebec,24,Total - Sex,Tlingit,0,0,0,0,0
Quebec,24,Total - Sex,Tsimshian languages,5,0,0,0,0
Quebec,24,Total - Sex,Gitxsan (Gitksan),0,0,0,0,0
Quebec,24,Total - Sex,Nisga'a,0,0,0,0,0
Quebec,24,Total - Sex,Tsimshian,0,0,0,0,0
Quebec,24,Total - Sex,Wakashan languages,0,0,0,0,0
Quebec,24,Total - Sex,Haisla,0,0,0,0,0
Quebec,24,Total - Sex,Heiltsuk,0,0,0,0,0
Quebec,24,Total - Sex,Kwakiutl (Kwak'wala),0,0,0,0,0
Quebec,24,Total - Sex,Nuu-chah-nulth (Nootka),0,0,0,0,0
Quebec,24,Total - Sex,"Wakashan languages, n.i.e.",0,0,0,0,0
Quebec,24,Total - Sex,"Aboriginal languages, n.o.s.",65,25,30,5,5
Quebec,24,Total - Sex,Non-Aboriginal languages,1015265,154465,260455,531275,69070
Quebec,24,Total - Sex,Afro-Asiatic languages,197535,14485,72975,99890,10190
Quebec,24,Total - Sex,Berber languages,20845,80,12530,7665,560
Quebec,24,Total - Sex,Kabyle,12465,45,7765,4290,370
Quebec,24,Total - Sex,"Berber languages, n.i.e.",8375,35,4765,3375,200
Quebec,24,Total - Sex,Cushitic languages,1125,110,340,600,75
Quebec,24,Total - Sex,Bilen,15,0,0,10,0
Quebec,24,Total - Sex,Oromo,15,5,5,5,0
Quebec,24,Total - Sex,Somali,1075,90,325,575,75
Quebec,24,Total - Sex,"Cushitic languages, n.i.e.",30,5,10,5,0
Quebec,24,Total - Sex,Semitic languages,175210,14260,59965,91460,9530
Quebec,24,Total - Sex,Amharic,745,265,25,435,15
Quebec,24,Total - Sex,Arabic,169890,12555,59770,88245,9315
Quebec,24,Total - Sex,Assyrian Neo-Aramaic,150,35,15,70,30
Quebec,24,Total - Sex,Chaldean Neo-Aramaic,20,0,5,10,0
Quebec,24,Total - Sex,Harari,5,0,0,5,0
Quebec,24,Total - Sex,Hebrew,3885,1230,105,2435,115
Quebec,24,Total - Sex,Maltese,25,10,0,10,0
Quebec,24,Total - Sex,Tigrigna,385,140,20,205,20
Quebec,24,Total - Sex,"Semitic languages, n.i.e.",110,25,15,45,25
Quebec,24,Total - Sex,"Afro-Asiatic languages, n.i.e.",355,40,135,165,20
Quebec,24,Total - Sex,Austro-Asiatic languages,36305,3840,9480,18400,4585
Quebec,24,Total - Sex,Khmer (Cambodian),8855,605,3035,4005,1215
Quebec,24,Total - Sex,Vietnamese,27430,3240,6435,14390,3365
Quebec,24,Total - Sex,"Austro-Asiatic languages, n.i.e",25,5,10,10,0
Quebec,24,Total - Sex,Austronesian languages,21635,14425,690,6300,215
Quebec,24,Total - Sex,Bikol,115,80,0,40,5
Quebec,24,Total - Sex,Cebuano,885,595,10,275,5
Quebec,24,Total - Sex,Fijian,0,0,0,0,0
Quebec,24,Total - Sex,Hiligaynon,410,290,0,115,5
Quebec,24,Total - Sex,Ilocano,2060,1675,0,350,30
Quebec,24,Total - Sex,Malagasy,1250,0,580,655,15
Quebec,24,Total - Sex,Malay,705,295,20,375,20
Quebec,24,Total - Sex,"Pampangan (Kapampangan, Pampango)",205,160,0,45,0
Quebec,24,Total - Sex,Pangasinan,95,80,0,10,5
Quebec,24,Total - Sex,"Tagalog (Pilipino, Filipino)",15540,11060,30,4320,135
Quebec,24,Total - Sex,Waray-Waray,50,30,0,15,0
Quebec,24,Total - Sex,"Austronesian languages, n.i.e.",320,165,55,100,5
Quebec,24,Total - Sex,Creole languages,56990,260,34965,20080,1680
Quebec,24,Total - Sex,Haitian Creole,2220,10,1310,845,65
Quebec,24,Total - Sex,"Creole, n.o.s.",53785,195,33565,18410,1620
Quebec,24,Total - Sex,"Creole languages, n.i.e.",980,65,95,825,0
Quebec,24,Total - Sex,Dravidian languages,14860,7410,445,5660,1355
Quebec,24,Total - Sex,Kannada,240,180,0,55,10
Quebec,24,Total - Sex,Malayalam,440,305,10,115,10
Quebec,24,Total - Sex,Tamil,13595,6495,435,5345,1315
Quebec,24,Total - Sex,Telugu,570,425,0,135,20
Quebec,24,Total - Sex,"Dravidian languages, n.i.e.",15,5,0,10,0
Quebec,24,Total - Sex,Hmong-Mien languages,25,5,5,10,0
Quebec,24,Total - Sex,Indo-European languages,553045,78450,114000,326040,34560
Quebec,24,Total - Sex,Albanian,2790,285,845,1430,235
Quebec,24,Total - Sex,Armenian,16435,2015,1170,11885,1360
Quebec,24,Total - Sex,Balto-Slavic languages,68160,12515,12400,39885,3350
Quebec,24,Total - Sex,Baltic languages,855,275,15,545,15
Quebec,24,Total - Sex,Latvian,295,110,5,175,10
Quebec,24,Total - Sex,Lithuanian,555,165,10,370,5
Quebec,24,Total - Sex,Slavic languages,67305,12245,12385,39340,3340
Quebec,24,Total - Sex,Belarusan,80,15,15,50,0
Quebec,24,Total - Sex,Bosnian,1620,95,770,665,85
Quebec,24,Total - Sex,Bulgarian,6985,580,1440,4730,235
Quebec,24,Total - Sex,Croatian,2330,570,270,1435,55
Quebec,24,Total - Sex,Czech,1470,400,115,940,15
Quebec,24,Total - Sex,Macedonian,200,35,20,145,10
Quebec,24,Total - Sex,Polish,13940,3240,1405,8895,395
Quebec,24,Total - Sex,Russian,28565,4990,6165,15315,2095
Quebec,24,Total - Sex,Serbian,3140,465,660,1875,140
Quebec,24,Total - Sex,Serbo-Croatian,1805,130,600,1005,75
Quebec,24,Total - Sex,Slovak,1045,285,80,660,10
Quebec,24,Total - Sex,Slovene (Slovenian),755,330,20,405,5
Quebec,24,Total - Sex,Ukrainian,5205,1065,795,3135,215
Quebec,24,Total - Sex,"Slavic languages, n.i.e.",175,50,30,95,5
Quebec,24,Total - Sex,Celtic languages,155,35,40,80,0
Quebec,24,Total - Sex,Scottish Gaelic,25,5,0,15,0
Quebec,24,Total - Sex,Welsh,40,15,5,20,0
Quebec,24,Total - Sex,"Celtic languages, n.i.e.",95,10,35,50,0
Quebec,24,Total - Sex,Germanic languages,27540,9170,1175,15425,1780
Quebec,24,Total - Sex,Afrikaans,125,70,5,50,0
Quebec,24,Total - Sex,Danish,395,165,5,225,5
Quebec,24,Total - Sex,Dutch,2825,590,110,2110,10
Quebec,24,Total - Sex,Frisian,10,5,0,5,0
Quebec,24,Total - Sex,German,13670,3650,885,9025,105
Quebec,24,Total - Sex,Icelandic,60,25,0,30,5
Quebec,24,Total - Sex,Norwegian,200,75,0,120,0
Quebec,24,Total - Sex,Swedish,555,185,15,355,0
Quebec,24,Total - Sex,Vlaams (Flemish),540,20,95,425,0
Quebec,24,Total - Sex,Yiddish,8985,4380,20,2930,1655
Quebec,24,Total - Sex,"Germanic languages, n.i.e.",175,0,30,140,5
Quebec,24,Total - Sex,Greek,38640,11655,515,23080,3395
Quebec,24,Total - Sex,Indo-Iranian languages,76040,29570,5745,33070,7655
