Geography,Geo Code,Sex (3),Detailed Mother,Total - Knowledge of official languages,English only,French only,English and French,Neither English nor French
Saskatchewan,47,Total - Sex,Total - Detailed mother tongue,1083235,1023400,530,51355,7940
Saskatchewan,47,Total - Sex,Single responses,1064680,1007240,480,49080,7880
Saskatchewan,47,Total - Sex,Official languages,907715,861830,370,45325,190
Saskatchewan,47,Total - Sex,English,892620,859605,20,32800,190
Saskatchewan,47,Total - Sex,French,15100,2220,350,12520,0
Saskatchewan,47,Total - Sex,Non-official languages,156965,145410,110,3755,7685
Saskatchewan,47,Total - Sex,Aboriginal languages,28345,27950,10,115,270
Saskatchewan,47,Total - Sex,Algonquian languages,19965,19785,5,85,90
Saskatchewan,47,Total - Sex,Blackfoot,10,10,0,0,0
Saskatchewan,47,Total - Sex,Cree-Montagnais languages,19015,18840,5,80,90
Saskatchewan,47,Total - Sex,Atikamekw,0,0,0,0,0
Saskatchewan,47,Total - Sex,Montagnais (Innu),0,0,0,0,0
Saskatchewan,47,Total - Sex,Moose Cree,5,0,0,0,0
Saskatchewan,47,Total - Sex,Naskapi,0,0,0,0,0
Saskatchewan,47,Total - Sex,Northern East Cree,30,30,0,0,0
Saskatchewan,47,Total - Sex,Plains Cree,2080,2055,0,10,15
Saskatchewan,47,Total - Sex,Southern East Cree,5,0,0,0,0
Saskatchewan,47,Total - Sex,Swampy Cree,250,245,0,5,5
Saskatchewan,47,Total - Sex,Woods Cree,785,780,0,5,0
Saskatchewan,47,Total - Sex,"Cree, n.o.s.",15865,15725,5,60,75
Saskatchewan,47,Total - Sex,Eastern Algonquian languages,5,5,0,0,0
Saskatchewan,47,Total - Sex,Malecite,0,0,0,0,0
Saskatchewan,47,Total - Sex,Mi'kmaq,5,5,0,0,0
Saskatchewan,47,Total - Sex,Ojibway-Potawatomi languages,930,925,0,5,0
Saskatchewan,47,Total - Sex,Algonquin,0,0,0,0,0
Saskatchewan,47,Total - Sex,Ojibway,925,920,0,5,0
Saskatchewan,47,Total - Sex,Oji-Cree,5,5,0,0,0
Saskatchewan,47,Total - Sex,Ottawa (Odawa),0,0,0,0,0
Saskatchewan,47,Total - Sex,"Algonquian languages, n.i.e.",0,0,0,0,0
Saskatchewan,47,Total - Sex,Athabaskan languages,7860,7675,5,10,170
Saskatchewan,47,Total - Sex,Northern Athabaskan languages,7855,7670,5,10,175
Saskatchewan,47,Total - Sex,Babine (Wetsuwet'en),0,0,0,0,0
Saskatchewan,47,Total - Sex,Beaver,0,0,0,0,0
Saskatchewan,47,Total - Sex,Carrier,0,0,0,0,0
Saskatchewan,47,Total - Sex,Chilcotin,0,0,0,0,0
Saskatchewan,47,Total - Sex,Dene,7860,7675,5,5,175
Saskatchewan,47,Total - Sex,Dogrib (Tlicho),0,0,0,0,0
Saskatchewan,47,Total - Sex,Gwich'in,5,0,0,0,0
Saskatchewan,47,Total - Sex,Sarsi (Sarcee),0,0,0,0,0
Saskatchewan,47,Total - Sex,Sekani,0,0,0,0,0
Saskatchewan,47,Total - Sex,Slavey-Hare languages,5,0,0,0,0
Saskatchewan,47,Total - Sex,North Slavey (Hare),0,0,0,0,0
Saskatchewan,47,Total - Sex,South Slavey,0,0,0,0,0
Saskatchewan,47,Total - Sex,"Slavey, n.o.s.",0,0,0,0,0
Saskatchewan,47,Total - Sex,Tahltan languages,0,0,0,0,0
Saskatchewan,47,Total - Sex,Kaska (Nahani),0,0,0,0,0
Saskatchewan,47,Total - Sex,Tahltan,0,0,0,0,0
Saskatchewan,47,Total - Sex,Tutchone languages,0,0,0,0,0
