Geography,Geo Code,Sex (3),Detailed Mother,Total - Knowledge of official languages,English only,French only,English and French,Neither English nor French
Yukon,60,Total - Sex,Total - Detailed mother tongue,35560,30425,85,4900,140
Yukon,60,Total - Sex,Single responses,34885,29995,80,4665,140
Yukon,60,Total - Sex,Official languages,30675,26245,80,4350,0
Yukon,60,Total - Sex,English,29110,26175,0,2930,0
Yukon,60,Total - Sex,French,1565,70,80,1420,0
Yukon,60,Total - Sex,Non-official languages,4210,3755,0,315,135
Yukon,60,Total - Sex,Aboriginal languages,675,655,0,20,0
Yukon,60,Total - Sex,Algonquian languages,25,25,0,5,0
Yukon,60,Total - Sex,Blackfoot,0,0,0,0,0
Yukon,60,Total - Sex,Cree-Montagnais languages,25,20,0,0,0
Yukon,60,Total - Sex,Atikamekw,0,0,0,0,0
Yukon,60,Total - Sex,Montagnais (Innu),0,0,0,0,0
Yukon,60,Total - Sex,Moose Cree,0,0,0,0,0
Yukon,60,Total - Sex,Naskapi,0,0,0,0,0
Yukon,60,Total - Sex,Northern East Cree,0,0,0,0,0
Yukon,60,Total - Sex,Plains Cree,0,0,0,0,0
Yukon,60,Total - Sex,Southern East Cree,0,0,0,0,0
Yukon,60,Total - Sex,Swampy Cree,0,0,0,0,0
Yukon,60,Total - Sex,Woods Cree,0,0,0,0,0
Yukon,60,Total - Sex,"Cree, n.o.s.",20,20,0,5,0
Yukon,60,Total - Sex,Eastern Algonquian languages,0,0,0,0,0
Yukon,60,Total - Sex,Malecite,0,0,0,0,0
Yukon,60,Total - Sex,Mi'kmaq,0,0,0,0,0
Yukon,60,Total - Sex,Ojibway-Potawatomi languages,5,5,0,0,0
Yukon,60,Total - Sex,Algonquin,0,0,0,0,0
Yukon,60,Total - Sex,Ojibway,5,0,0,0,0
Yukon,60,Total - Sex,Oji-Cree,0,0,0,0,0
Yukon,60,Total - Sex,Ottawa (Odawa),0,0,0,0,0
Yukon,60,Total - Sex,"Algonquian languages, n.i.e.",0,0,0,0,0
Yukon,60,Total - Sex,Athabaskan languages,560,550,0,10,0
Yukon,60,Total - Sex,Northern Athabaskan languages,545,535,0,10,0
Yukon,60,Total - Sex,Babine (Wetsuwet'en),0,0,0,0,0
Yukon,60,Total - Sex,Beaver,0,0,0,0,0
Yukon,60,Total - Sex,Carrier,0,0,0,0,0
Yukon,60,Total - Sex,Chilcotin,0,0,0,0,0
Yukon,60,Total - Sex,Dene,5,5,0,0,0
Yukon,60,Total - Sex,Dogrib (Tlicho),0,0,0,0,0
Yukon,60,Total - Sex,Gwich'in,80,80,0,5,0
Yukon,60,Total - Sex,Sarsi (Sarcee),0,0,0,0,0
Yukon,60,Total - Sex,Sekani,0,0,0,0,0
Yukon,60,Total - Sex,Slavey-Hare languages,0,5,0,0,0
Yukon,60,Total - Sex,North Slavey (Hare),0,5,0,0,0
Yukon,60,Total - Sex,South Slavey,0,0,0,0,0
Yukon,60,Total - Sex,"Slavey, n.o.s.",5,5,0,0,0
Yukon,60,Total - Sex,Tahltan languages,170,170,0,0,0
Yukon,60,Total - Sex,Kaska (Nahani),160,165,0,0,0
Yukon,60,Total - Sex,Tahltan,5,5,0,0,0
Yukon,60,Total - Sex,Tutchone languages,280,280,0,5,0
Yukon,60,Total - Sex,Northern Tutchone,210,210,0,5,0
Yukon,60,Total - Sex,Southern Tutchone,70,65,0,0,0
Yukon,60,Total - Sex,"Athabaskan languages, n.i.e.",15,10,0,5,0
Yukon,60,Total - Sex,Haida,0,0,0,0,0
Yukon,60,Total - Sex,Inuit languages,15,20,0,0,0
Yukon,60,Total - Sex,Inuinnaqtun (Inuvialuktun),10,5,0,0,0
Yukon,60,Total - Sex,Inuktitut,10,5,0,0,0
