Year,Dutch,German,Greek,Italian,Polish,Russian,Ukrainian
1901,F,152455,F,6245,5700,15240,7460
1911,5455,222370,F,40925,40110,42185,57520
1921,34005,275375,F,53410,59000,57720,131120
1931,44580,368850,7350,85520,118600,50760,252800
1941,67770,331660,8745,80260,128710,52435,313275
1951,100560,329305,8035,92240,129235,39225,352325
1961,184480,563710,40455,339625,161720,42900,361500
1971,171275,558965,103730,538765,136540,31955,309890
1981,158470,515510,123230,531290,127400,31355,285115
1991,139035,466245,126205,510995,189815,35305,187015
1996,139475,470500,128085,514415,222355,59630,174830
2001,133040,455545,126370,493990,215010,96910,157385
2006,133240,466655,123575,476905,217605,136230,141805
2011,116285,430055,117890,437725,201240,169950,120265
2016,107204,412257,117787,413766,194102,196813,113229
