Census Year,Boundary Type,Boundary Name,Boundary Number,Language English Only,Language English and French,Language Neither English nor French,Language French Only,Language Total,Language2 Tagalog,Language2 German,Language2 Ukrainian,Language2 Spanish,Language2 Polish,Language2 Punjabi,Language2 Portuguese,Language2 Chinese Other,Language2 Italian,Language2 All Other Languages,Language2 Russian,Language2 Hindi,Language2 Vietnamese,Language2 Cantonese,Language2 Ojibway,Language2 Arabic,Language2 Cree,Language2 Dutch,Language2 Korean,Language2 Hebrew,Language2 Mandarin,Language2 Farsi,Language2 Urdu,Language2 Greek,Language2 Amharic,Language2 Croatian,Language2 Hungarian,Language2 Yiddish,Language2 Japanese,Language2 Lao,Language2 Creoles,Language2 Serbian,Language2 Ilocano,Language2 Czech,Language2 Romanian,Language2 Gujarati,Language2 Swahili,Language2 Bosnian,Language2 Oji-Cree,Language2 Khmer,Language2 Somali,Language2 Tigrigna,Language2 Danish,Language2 Bengali,Language2 Kurdish,Language2 Serbo-Croatian,Language2 Slovak,Language2 Bisayan,Language2 Tamil,Language2 Sinhalese,Language2 Swedish,Language2 Slovenian,Language2 Malay,Language2 Flemish,Language2 Macedonian,Language2 Turkish,Language2 Finnish,Language2 Lithuanian,Language2 Latvian,Language2 Malayalam,Language2 Norwegian,Language2 Bulgarian,Language2 Inuktitut,Language2 Sioux,Language2 Pashto,Language2 Taiwanese,Language2 Telugu,Language2 Twi,Language2 Estonian,Language2 Dene,Language2 Maltese,Language2 Frisian,Language2 Armenian,Language2 Blackfoot,Language2 Mohawk,Language2 Sindhi,Language2 Other Languages,Language2 Algonquin,Language2 Atikamekw,Language2 Carrier,Language2 Chilcotin,Language2 Chipewyan,Language2 Dogrib,Language2 Gitksan,Language2 Hare,Language2 Inuinnaqtun,Language2 Kutchin-Gwich-in-Loucheux,Language2 Malecite,Language2 Mikmaq,Language2 Montagnais-Naskapi,Language2 Nisgaa,Language2 Shuswap,Language2 SouthSlave,Language2 Tlingit,Language2 Nonverbal,Language2 Gaelic,Language2 Micmac,Language2 Hakka,Language2 South Slave,Language2 Total
2001,City,City of Winnipeg,1,"537,285","67,010","5,480",680,"610,450","23,490","24,805","18,930","10,305","10,110","6,105","7,815","5,650","6,520","37,950","3,040","3,240","3,895","3,010","3,445","1,825","2,805","2,590",,,"1,480",,,"1,625",,"1,760","1,615",,940,,480,,,,,,,,,,,,325,,,,,,,,,,,,,,0,,,,,,80,,,,,,,,,,,,,,"3,715",,,,,0,0,,,,0,,15,0,,,,0,"1,905",160,0,0,0,"151,680"
2001,City,Downtown Winnipeg,5,"11,150","1,290",370,15,"12,820",705,595,240,395,140,40,85,360,205,"2,780",130,55,285,335,265,430,220,40,,,120,,,55,,45,55,,75,,40,,,,,,,,,,,,10,,,,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,555,,,,,0,0,,,,0,,0,0,,,,0,55,10,0,0,0,"5,545"
2001,City,Inner City,3,"104,575","13,000","1,845",250,"119,670","9,240","3,840","4,350","2,860","2,300",415,"2,215","1,380",975,"13,400",690,380,"1,925",840,"2,420",715,"2,050",370,,,525,,,255,,255,355,,320,,175,,,,,,,,,,,,80,,,,,,,,,,,,,,0,,,,,,20,,,,,,,,,,,,,,"1,600",,,,,0,0,,,,0,,0,0,,,,0,345,80,0,0,0,"40,975"
2001,City,Non-Inner City,4,"432,710","54,015","3,635",430,"490,780","14,245","20,970","14,585","7,440","7,815","5,690","5,605","4,265","5,545","24,545","2,350","2,860","1,970","2,170","1,030","1,110",755,"2,220",,,955,,,"1,370",,"1,510","1,255",,620,,300,,,,,,,,,,,,245,,,,,,,,,,,,,,0,,,,,,60,,,,,,,,,,,,,,"2,110",,,,,0,0,,,,0,,15,0,,,,0,"1,560",80,0,0,0,"110,705"
2001,City,Winnipeg Census Metropolitan Area,2,"581,670","73,690","5,595",770,"661,725","23,555","28,485","20,870","10,660","11,010","6,130","7,965","5,645","6,735","39,150","3,100","3,245","3,900","3,025","3,540","1,900","2,850","2,980",,,"1,490",,,"1,655",,"1,855","1,680",,975,,495,,,,,,,,,,,,355,,,,,,,,,,,,,,0,,,,,,85,,,,,,,,,,,,,,"3,765",,,,,0,0,,,,0,,15,0,,,,0,"2,085",155,0,0,0,"160,205"
2001,Community Area,Assiniboine South Community Area,2,"31,410","3,530",90,10,"35,035",115,"1,160",590,340,310,210,65,65,320,"1,570",210,190,10,135,15,110,20,85,,,50,,,265,,45,115,,30,,35,,,,,,,,,,,,35,,,,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,30,,,,,0,0,,,,0,,0,0,,,,0,190,0,0,0,0,"4,745"
2001,Community Area,Downtown Community Area,11,"57,725","5,135","1,425",65,"64,340","7,645","2,345","1,070","1,495",520,305,"2,345","1,130",800,"9,295",290,290,"1,775",715,"1,275",615,"1,350",210,,,415,,,185,,75,150,,270,,120,,,,,,,,,,,,35,,,,,,,,,,,,,,0,,,,,,20,,,,,,,,,,,,,,"1,215",,,,,0,0,,,,0,,0,0,,,,0,255,35,0,0,0,"26,950"
2001,Community Area,Fort Garry Community Area,3,"54,040","7,430",565,40,"62,075",590,"2,490",855,"1,165",460,945,295,"1,865","1,090","4,195",250,755,195,650,60,255,125,270,,,460,,,175,,75,195,,170,,45,,,,,,,,,,,,40,,,,,,,,,,,,,,0,,,,,,10,,,,,,,,,,,,,,245,,,,,0,0,,,,0,,0,0,,,,0,210,10,0,0,0,"13,950"
2001,Community Area,Inkster Community Area,9,"27,810","1,255",460,15,"29,535","5,120",395,635,280,380,"1,010",720,365,150,"2,300",45,405,500,220,255,15,210,75,,,95,,,10,,150,40,,10,,45,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,180,,,,,0,0,,,,0,,0,0,,,,0,45,0,0,0,0,"11,355"
2001,Community Area,Point Douglas Community Area,10,"34,265","1,640",510,10,"36,425","3,400",830,"3,020",535,"1,560",10,495,240,130,"2,920",375,10,230,50,"1,065",20,510,70,,,0,,,25,,100,125,,30,,25,,,,,,,,,,,,15,,,,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,170,,,,,0,0,,,,0,,0,0,,,,0,60,40,0,0,0,"13,140"
